au	PRP:det	au
début	NOM	début
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
nous	PRO:PER	nous
avions	VER:impf	avoir
publié	VER:pper	publier
un	DET:ART	un
article	NOM	article
sur	PRP	sur
le	DET:ART	le
petit	ADJ	petit
valentin	NOM	valentin
,	PUN	,
victime	NOM	victime
d'	PRP	de
un	DET:ART	un
accident	NOM	accident
cérébral	ADJ	cérébral
à	PRP	à
deux	NUM	deux
mois	NOM	moi|mois
.	SENT	.
nous	PRO:PER	nous
avons	VER:pres	avoir
reçu	VER:pper	recevoir
de	PRP	de
nombreux	ADJ	nombreux
appels	NOM	appel
de	PRP	de
lecteurs	NOM	lecteur
,	PUN	,
souhaitant	VER:ppre	souhaiter
aider	VER:infi	aider
l'	DET:ART	le
enfant	NOM	enfant
,	PUN	,
financièrement	ADV	financièrement
.	SENT	.
or	NOM	or
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
avère	VER:pres	avérer
que	KON	que
le	DET:ART	le
numéro	NOM	numéro
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
publié	VER:pper	publier
dans	PRP	dans
nos	DET:POS	notre
colonnes	NOM	colonne
est	VER:pres	être
celui	PRO:DEM	celui
d'	PRP	de
un	DET:ART	un
bar	NOM	bar
de	PRP	de
lure	NOM	lure
.	SENT	.
voici	ADV	voici
donc	ADV	donc
le	DET:ART	le
bon	ADJ	bon
numéro	NOM	numéro
,	PUN	,
celui	PRO:DEM	celui
de	PRP	de
m.	NOM	monsieur
de	PRP	de
clercq	NOM	clercq
,	PUN	,
le	DET:ART	le
grand-père	NOM	grand-père
belfortain	ADJ	belfortain
de	PRP	de
l'	DET:ART	le
enfant	NOM	enfant
:	PUN	:
03.84	NUM	@card@
.	SENT	.
90.03	NUM	@card@
.	SENT	.
53	NUM	@card@
nos	DET:POS	notre
excuses	NOM	excuse
.	SENT	.
