l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
françoise	ADJ	françoise
thomas	NOM	thomas
,	PUN	,
tél	ABR	téléphone
.	SENT	.
répondeur	NOM	répondeur
et	KON	et
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
80.47	NUM	@card@
.	SENT	.
76	NUM	@card@
messe	NOM	messe
:	PUN	:
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
chapelle	NOM	chapelle
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
services	NOM	service
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
visio	NOM	visio
assedic	NOM	assedic
;	PUN	;
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
:	PUN	:
mission	NOM	mission
locale	ADJ	local
sur	PRP	sur
rendez-vous	NOM	rendez-vous
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
86.25	NUM	@card@
.	SENT	.
26	NUM	@card@
;	PUN	;
familles	NOM	famille
rurales	ADJ	rural
:	PUN	:
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
et	KON	et
alaji-aprelor	NOM	alaji-aprelor
sur	PRP	sur
convocation	NOM	convocation
.	SENT	.
