aujourd'hui	ADV	aujourd'hui
:	PUN	:
salade	NOM	salade
composée	ADJ	composé
,	PUN	,
b	VER:simp	b
	ADJ	
uf	NOM	uf
bourguignon	ADJ	bourguignon
,	PUN	,
pâtes	NOM	pâte
,	PUN	,
fromage	NOM	fromage
,	PUN	,
pêche	NOM	pêche
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
mardi	NOM	mardi
:	PUN	:
friand	ADJ	friand
,	PUN	,
chili	NOM	chili
con	ADJ	con
carne	NOM	carne
,	PUN	,
fromage	NOM	fromage
,	PUN	,
clémentines	NOM	clémentine|clémentines
.	SENT	.
mercredi	NOM	mercredi
:	PUN	:
charcuterie	NOM	charcuterie
,	PUN	,
paupiettes	NOM	paupiette
,	PUN	,
petits	ADJ	petit
pois-carottes	NOM	pois-carottes
,	PUN	,
fromage	NOM	fromage
,	PUN	,
choux	NOM	chou
à	PRP	à
la	DET:ART	le
crème	NOM	crème
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
pizza	NOM	pizza
,	PUN	,
choux-fleurs	NOM	choux-fleurs
,	PUN	,
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
,	PUN	,
poisson	NOM	poisson
,	PUN	,
fromage	NOM	fromage
,	PUN	,
flan	NOM	flan
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
duo	NOM	duo
carottes-céleri	NOM	carottes-céleri
,	PUN	,
sauté	VER:pper	sauter
de	PRP	de
dinde	NOM	dinde
,	PUN	,
riz	NOM	riz
pilaf	NOM	pilaf
,	PUN	,
fromage	NOM	fromage
,	PUN	,
tarte	ADJ	tarte
aux	PRP:det	au
pommes	NOM	pomme
.	SENT	.
