ecole	NOM	ecole
de	PRP	de
musique	NOM	musique
:	PUN	:
au	PRP:det	au
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
du	PRP:det	du
placieux	NOM	placieux
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
27.75	NUM	@card@
.	SENT	.
13	NUM	@card@
et	KON	et
03.83	NUM	@card@
.	SENT	.
98.21	NUM	@card@
.	SENT	.
12	NUM	@card@
mairie	NOM	mairie
:	PUN	:
horaires	ADJ	horaire
d'	PRP	de
ouverture	NOM	ouverture
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
halte-garderie	NOM	halte-garderie
de	PRP	de
la	DET:ART	le
sapinière	NOM	sapinière
:	PUN	:
rue	NOM	rue
de	PRP	de
la	DET:ART	le
carrière	NOM	carrière
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
28.06	NUM	@card@
.	SENT	.
26	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
crèche	NOM	crèche
familiale	ADJ	familial
municipale	ADJ	municipal
centre	NOM	centre
de	PRP	de
l'	DET:ART	le
enfance	NOM	enfance
de	PRP	de
la	DET:ART	le
sapinière	NOM	sapinière
:	PUN	:
rue	NOM	rue
de	PRP	de
la	DET:ART	le
carrière	NOM	carrière
,	PUN	,
renseignements	NOM	renseignement
et	KON	et
inscriptions	NOM	inscription
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
90.12	NUM	@card@
.	SENT	.
69	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
15	NUM	@card@
bibliothèque-discothèque	NOM	bibliothèque-discothèque
:	PUN	:
117	NUM	@card@
avenue	NOM	avenue
du	PRP:det	du
général	ADJ	général
leclerc	NOM	leclerc
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
bibliothèques	NOM	bibliothèque
pour	PRP	pour
tous	PRO:IND	tout
:	PUN	:
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
«	PUN:cit	«
le	DET:ART	le
placieux	ADJ	placieux
»,	NOM	»,
16	NUM	@card@
bld	NOM	bld
cattenoz	NOM	cattenoz
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
au	PRP:det	au
centre	NOM	centre
jean	NOM	jean
savine	VER:impf	savine
de	PRP	de
clairlieu	NOM	clairlieu
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
cos	NOM	cos
villers	ADJ	villers
,	PUN	,
section	NOM	section
rugby	NOM	rugby
:	PUN	:
école	NOM	école
de	PRP	de
rugby	NOM	rugby
au	PRP:det	au
stade	NOM	stade
municipal	ADJ	municipal
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
club	NOM	club
chanteclair	NOM	chanteclair
:	PUN	:
à	PRP	à
la	DET:ART	le
résidence	NOM	résidence
«	PUN:cit	«
le	DET:ART	le
clairlieu	NOM	clairlieu
»,	ADJ	»,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
jeu	NOM	jeu
«	PUN:cit	«
le	DET:ART	le
grand	ADJ	grand
prix	NOM	prix
»	PUN:cit	»
correspondants	ADJ	correspondant
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
,	PUN	,
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
90.35	NUM	@card@
.	SENT	.
18	NUM	@card@
(	PUN	(
répondeur	NOM	répondeur
en	PRP	en
cas	NOM	cas
d'	PRP	de
absence	NOM	absence
et	KON	et
fax	NOM	fax
)	PUN	)
ou	KON	ou
au	PRP:det	au
06.08	NUM	@card@
.	SENT	.
31.19	NUM	@card@
.	SENT	.
44	NUM	@card@
et	KON	et
également	ADV	également
passer	VER:infi	passer
tout	ADV	tout
communiqué	VER:pper	communiquer
par	PRP	par
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
