aujourd'hui	ADV	aujourd'hui
:	PUN	:
19	NUM	@card@
h	ABR	heure
,	PUN	,
1	NUM	@card@
è	NOM	è
re	VER:subi	re
série	NOM	série
de	PRP	de
qualification	NOM	qualification
.	SENT	.
samedi	NOM	samedi
:	PUN	:
9	NUM	@card@
h	ABR	heure
:	PUN	:
2	NUM	@card@
e	ADJ	e
série	NOM	série
de	PRP	de
qualification	NOM	qualification
.	SENT	.
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
16	NUM	@card@
e	NOM	e
s	VER:subi	s
de	PRP	de
finale	NOM	finale
.	SENT	.
dimanche	NOM	dimanche
:	PUN	:
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
quarts	NOM	quart
de	PRP	de
finale	NOM	finale
11	NUM	@card@
h	ABR	heure
:	PUN	:
demi-finales	NOM	demi-finale
finale	ADJ	final
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
petites	ADJ	petit
finales	NOM	finale
14	NUM	@card@
h	ABR	heure
:	PUN	:
différentes	ADJ	différent
finales	NOM	finale
.	SENT	.
