m.	ABR	m.
coste	NOM	coste
,	PUN	,
géomètre	NOM	géomètre
chargé	VER:pper	charger
des	PRP:det	du
opérations	NOM	opération
de	PRP	de
remembrement	NOM	remembrement
sur	PRP	sur
la	DET:ART	le
commune	NOM	commune
,	PUN	,
a	VER:pres	avoir
présenté	VER:pper	présenter
aux	PRP:det	au
propriétaires	NOM	propriétaire
le	DET:ART	le
mode	NOM	mode
de	PRP	de
classement	NOM	classement
des	PRP:det	du
terrains	NOM	terrain
.	SENT	.
ceux-ci	VER:pper	ceux-ci
se	PRO:PER	se
divisent	VER:pres	diviser
en	PRP	en
10	NUM	@card@
catégories	NOM	catégorie
,	PUN	,
représentant	VER:ppre	représenter
chacune	PRO:IND	chacun
un	DET:ART	un
nombre	NOM	nombre
de	PRP	de
points	NOM	point
allant	VER:ppre	aller
de	PRP	de
1.000	NUM	@card@
à	PRP	à
10.000	NUM	@card@
.	SENT	.
une	DET:ART	un
parcelle	NOM	parcelle
de	PRP	de
référence	NOM	référence
a	VER:pres	avoir
été	VER:pper	être
choisie	VER:pper	choisir
pour	PRP	pour
chaque	PRO:IND	chaque
catégorie	NOM	catégorie
:	PUN	:
terre	NOM	terre
,	PUN	,
pré	NOM	pré
,	PUN	,
bois	NOM	bois
,	PUN	,
verger	NOM	verger
,	PUN	,
friche	NOM	friche
,	PUN	,
carrière	NOM	carrière
,	PUN	,
surface	NOM	surface
inculte	ADJ	inculte
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
à	PRP	à
préciser	VER:infi	préciser
que	KON	que
pour	PRP	pour
les	DET:ART	le
bois	NOM	bois
et	KON	et
vergers	NOM	verger
,	PUN	,
le	DET:ART	le
classement	NOM	classement
ne	ADV	ne
concerne	VER:pres	concerner
que	KON	que
le	DET:ART	le
sol	NOM	sol
,	PUN	,
les	DET:ART	le
arbres	NOM	arbre
et	KON	et
fruitiers	ADJ	fruitier
,	PUN	,
feront	VER:futu	faire
l'	DET:ART	le
objet	NOM	objet
de	PRP	de
démarches	NOM	démarche
entre	PRP	entre
les	DET:ART	le
propriétaires	NOM	propriétaire
.	SENT	.
dans	PRP	dans
l'	DET:ART	le
assistance	NOM	assistance
on	PRO:PER	on
peut	VER:pres	pouvoir
noter	VER:infi	noter
l'	DET:ART	le
inquiétude	NOM	inquiétude
des	PRP:det	du
petits	ADJ	petit
propriétaires	NOM	propriétaire
sur	PRP	sur
la	DET:ART	le
défensive	ADJ	défensif
au	PRP:det	au
vu	VER:pper	voir
des	PRP:det	du
questions	NOM	question
posées	ADJ	posé
,	PUN	,
elle	PRO:PER	elle
est	VER:pres	être
bien	ADV	bien
sûr	ADJ	sûr
légitime	ADJ	légitime
,	PUN	,
la	DET:ART	le
commission	NOM	commission
étant	VER:ppre	être
composée	VER:pper	composer
en	PRP	en
très	ADV	très
grande	ADJ	grand
majorité	NOM	majorité
des	PRP:det	du
principaux	NOM	principal
intéressés	VER:pper	intéresser
par	PRP	par
ces	PRO:DEM	ce
opérations	NOM	opération
de	PRP	de
remembrement	NOM	remembrement
.	SENT	.
le	DET:ART	le
classement	NOM	classement
terminé	VER:pper	terminer
,	PUN	,
chaque	PRO:IND	chaque
propriétaire	NOM	propriétaire
recevra	VER:futu	recevoir
la	DET:ART	le
liste	NOM	liste
de	PRP	de
ses	DET:POS	son
propriétés	NOM	propriété
nouvellement	ADV	nouvellement
classées	VER:pper	classer
et	KON	et
pourra	VER:futu	pouvoir
présenter	VER:infi	présenter
ses	DET:POS	son
réclamations	NOM	réclamation
ou	KON	ou
observations	NOM	observation
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
enquête	NOM	enquête
publique	ADJ	publique
de	PRP	de
15	NUM	@card@
jours	NOM	jour
qui	PRO:REL	qui
suivra	VER:futu	suivre
ce	PRO:DEM	ce
classement	NOM	classement
.	SENT	.
