c'	PRO:DEM	ce
est	VER:pres	être
toujours	ADV	toujours
un	DET:ART	un
plaisir	NOM	plaisir
de	PRP	de
retrouver	VER:infi	retrouver
l'	DET:ART	le
ensemble	ADV	ensemble
vocal	ADJ	vocal
chorus	NOM	chorus
2000	NUM	@card@
qui	PRO:REL	qui
ne	ADV	ne
s'	PRO:PER	se
était	VER:impf	être
pas	ADV	pas
produit	VER:pper	produire
dans	PRP	dans
l'	DET:ART	le
église	NOM	église
saint-basle	NOM	saint-basle
depuis	PRP	depuis
début	NOM	début
mars	NOM	mars
où	PRO:REL	où
ils	PRO:PER	il
avaient	VER:impf	avoir
interprété	VER:pper	interpréter
la	DET:ART	le
messe	NOM	messe
de	PRP	de
gounod	NOM	gounod
sans	PRP	sans
oublier	VER:infi	oublier
leur	DET:POS	leur
passage	NOM	passage
avec	PRP	avec
une	DET:ART	un
chorale	NOM	chorale
finlandaise	ADJ	finlandais
fin	ADJ	fin
mai	NOM	mai
.	SENT	.
samedi	NOM	samedi
soir	NOM	soir
,	PUN	,
les	DET:ART	le
nombreux	ADJ	nombreux
mélomanes	NOM	mélomane
présents	ADJ	présent
étaient	VER:impf	être
sous	PRP	sous
le	DET:ART	le
charme	NOM	charme
.	SENT	.
avec	PRP	avec
daniel	ADJ	daniel
guerber	NOM	guerber
à	PRP	à
la	DET:ART	le
baguette	NOM	baguette
,	PUN	,
les	DET:ART	le
chanteurs	NOM	chanteur
ont	VER:pres	avoir
interprété	VER:pper	interpréter
,	PUN	,
période	NOM	période
oblige	VER:pres	obliger
,	PUN	,
des	PRP:det	du
noël	NOM	noël
venus	VER:pper	venir
du	PRP:det	du
monde	NOM	monde
entier	ADJ	entier
comme	KON	comme
l'	DET:ART	le
espagne	NOM	espagne
ou	KON	ou
la	DET:ART	le
nouvelle	ADJ	nouveau
orléans	NOM	orléans
.	SENT	.
l'	DET:ART	le
avé	NOM	avé
maria	VER:simp	marier
de	PRP	de
charles	ADJ	charles
aznavour	NOM	aznavour
,	PUN	,
interprété	VER:pper	interpréter
entre	PRP	entre
autre	ADJ	autre
par	PRP	par
elijah	ADJ	elijah
rock	NOM	rock
,	PUN	,
a	VER:pres	avoir
suscité	VER:pper	susciter
des	PRP:det	du
applaudissements	NOM	applaudissement
nourris	VER:pper	nourrir
ainsi	KON	ainsi
que	KON	que
le	DET:ART	le
ch	NOM	ch
	ADJ	
ur	VER:pper	ur
des	PRP:det	du
esclaves	NOM	esclave
du	PRP:det	du
nabucco	NOM	nabucco
de	PRP	de
verdi	ADJ	verdi
.	SENT	.
les	DET:ART	le
interprétations	NOM	interprétation
étaient	VER:impf	être
,	PUN	,
comme	ADV	comme
d'	PRP	de
habitude	NOM	habitude
,	PUN	,
magnifiques	ADJ	magnifique
avec	PRP	avec
une	DET:ART	un
maîtrise	NOM	maîtrise
vocale	ADJ	vocal
qui	PRO:REL	qui
visiblement	ADV	visiblement
tend	VER:pres	tendre
à	PRP	à
la	DET:ART	le
perfection	NOM	perfection
.	SENT	.
un	DET:ART	un
vrai	ADJ	vrai
moment	NOM	moment
de	PRP	de
bonheur	NOM	bonheur
!	SENT	!
