«	PUN:cit	«
pinsons	NOM	pinson
du	PRP:det	du
nord	NOM	nord
,	PUN	,
la	DET:ART	le
nuée	NOM	nuée
fantastique	ADJ	fantastique
»,	ADJ	»,
tel	PRO:DEM	tel
est	VER:pres	être
le	DET:ART	le
titre	NOM	titre
du	PRP:det	du
remarquable	ADJ	remarquable
documentaire	NOM	documentaire
du	PRP:det	du
montbéliardais	NOM	montbéliardais
claude	NOM	claude
nardin	NOM	nardin
qui	PRO:REL	qui
sera	VER:futu	être
projeté	VER:pper	projeter
ce	PRO:DEM	ce
vendredi	NOM	vendredi
17	NUM	@card@
janvier	NOM	janvier
à	PRP	à
20	NUM	@card@
h	ABR	heure
au	PRP:det	au
pôle	NOM	pôle
universitaire	ADJ	universitaire
des	PRP:det	du
portes	NOM	porte
du	PRP:det	du
jura	VER:simp	jurer
à	PRP	à
montbéliard	NOM	montbéliard
(	PUN	(
entrée	NOM	entrée
gratuite	ADJ	gratuit
).	VER:simp	).
l'	DET:ART	le
auteur	NOM	auteur
a	VER:pres	avoir
filmé	VER:pper	filmer
le	DET:ART	le
ballet	NOM	ballet
incessant	ADJ	incessant
des	PRP:det	du
quinze	NUM	quinze
millions	NOM	million
de	PRP	de
pinsons	NOM	pinson
rassemblés	VER:pper	rassembler
l'	DET:ART	le
hiver	NOM	hiver
dernier	ADJ	dernier
à	PRP	à
porrentruy	NOM	porrentruy
.	SENT	.
un	DET:ART	un
document	NOM	document
étonnant	ADJ	étonnant
.	SENT	.
