l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
à	PRP	à
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
jusqu'au	NOM	jusqu'au
lundi	NOM	lundi
8	NUM	@card@
h	ABR	heure
,	PUN	,
régime	NOM	régime
général	ADJ	général
,	PUN	,
docteur	NOM	docteur
barre	NOM	barre
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.92	NUM	@card@
.	SENT	.
89	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
auxiliaire	NOM	auxiliaire
médicale	ADJ	médical
:	PUN	:
mme	VER:simp	mme
leroy	NOM	leroy
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.04	NUM	@card@
.	SENT	.
44	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
jusqu'à	NOM	jusqu'à
lundi	NOM	lundi
14	NUM	@card@
h	ABR	heure
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
messe	NOM	messe
pour	PRP	pour
tout	PRO:IND	tout
le	DET:ART	le
secteur	NOM	secteur
pastoral	ADJ	pastoral
:	PUN	:
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
d'	PRP	de
eton	NOM	eton
,	PUN	,
messe	NOM	messe
de	PRP	de
l'	DET:ART	le
epiphanie	NOM	epiphanie
.	SENT	.
harmonie	NOM	harmonie
municipale	ADJ	municipal
:	PUN	:
reprise	NOM	reprise
des	PRP:det	du
répétitions	NOM	répétition
,	PUN	,
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
musique	NOM	musique
.	SENT	.
asbb	NOM	asbb
football	NOM	football
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
brabois	NOM	brabois
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
seniors	NOM	senior
a	VER:pres	avoir
reçoit	VER:pres	recevoir
dugny	NAM	dugny
a	VER:pres	avoir
en	PRP	en
amical	NOM	amical
.	SENT	.
asjpb	NOM	asjpb
basket	NOM	basket
:	PUN	:
départ	NOM	départ
à	PRP	à
14	NUM	@card@
h	ABR	heure
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
seniors	NOM	senior
a	VER:pres	avoir
pour	PRP	pour
hayange	NOM	hayange
,	PUN	,
match	NOM	match
de	PRP	de
coupe	NOM	coupe
de	PRP	de
lorraine	NOM	lorrain
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
