ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
une	DET:ART	un
gageure	NOM	gageure
mais	KON	mais
l'	DET:ART	le
eau	NOM	eau
est	VER:pres	être
bien	ADV	bien
présente	ADJ	présent
au	PRP:det	au
centre	NOM	centre
culturel	ADJ	culturel
sportif	ADJ	sportif
et	KON	et
de	PRP	de
loisirs	NOM	loisir
sous	PRP	sous
forme	NOM	forme
d'	PRP	de
une	DET:ART	un
exposition	NOM	exposition
réalisée	VER:pper	réaliser
par	PRP	par
la	DET:ART	le
bibliothèque	NOM	bibliothèque
départementale	ADJ	départemental
du	PRP:det	du
doubs	NOM	doubs
.	SENT	.
14	NUM	@card@
panneaux	NOM	panneau
,	PUN	,
35	NUM	@card@
livres	NOM	livre
,	PUN	,
3	NUM	@card@
cd	ADJ	cd
rom	NOM	rom
,	PUN	,
9	NUM	@card@
vidéos	NOM	vidéo
et	KON	et
un	DET:ART	un
jeu	NOM	jeu
de	PRP	de
mémoire	NOM	mémoire
vous	PRO:PER	vous
permettent	VER:pres	permettre
de	PRP	de
comprendre	VER:infi	comprendre
que	KON	que
l'	DET:ART	le
eau	NOM	eau
est	VER:pres	être
essentielle	ADJ	essentiel
à	PRP	à
la	DET:ART	le
vie	NOM	vie
.	SENT	.
si	KON	si
elle	PRO:PER	elle
reste	VER:pres	rester
en	PRP	en
moyenne	NOM	moyenne
9	NUM	@card@
jours	NOM	jour
dans	PRP	dans
l'	DET:ART	le
atmosphère	NOM	atmosphère
,	PUN	,
un	DET:ART	un
an	NOM	an
dans	PRP	dans
les	DET:ART	le
cours	NOM	cour|cours
d'	PRP	de
eau	NOM	eau
,	PUN	,
7	NUM	@card@
ans	NOM	an
dans	PRP	dans
les	DET:ART	le
lacs	NOM	lac|lacs
,	PUN	,
3.000	NUM	@card@
ans	NOM	an
dans	PRP	dans
les	DET:ART	le
océans	NOM	océan
,	PUN	,
elle	PRO:PER	elle
se	PRO:PER	se
présente	VER:pres	présenter
sous	PRP	sous
3	NUM	@card@
formes	NOM	forme
:	PUN	:
liquide	ADJ	liquide
,	PUN	,
solide	ADJ	solide
,	PUN	,
gazeuse	ADJ	gazeuse|gazeux
.	SENT	.
elle	PRO:PER	elle
semble	VER:pres	sembler
indomptable	ADJ	indomptable
.	SENT	.
les	DET:ART	le
inondations	NOM	inondation
,	PUN	,
les	DET:ART	le
crues	NOM	crue
qui	PRO:REL	qui
viennent	VER:pres	venir
de	PRP	de
frapper	VER:infi	frapper
la	DET:ART	le
france	NOM	france
le	PRO:PER	le
prouvent	VER:pres	prouver
.	SENT	.
en	PRP	en
franche-comté	NOM	franche-comté
l'	DET:ART	le
eau	NOM	eau
crée	VER:pres	créer
un	DET:ART	un
relief	NOM	relief
particulier	ADJ	particulier
:	PUN	:
le	DET:ART	le
karst	NOM	karst
avec	PRP	avec
ses	DET:POS	son
gouffres	NOM	gouffre
,	PUN	,
ses	DET:POS	son
résurgences	NOM	résurgence
,	PUN	,
ses	DET:POS	son
stalactites	NOM	stalactite
et	KON	et
stalagmites	NOM	stalagmite
.	SENT	.
dans	PRP	dans
le	DET:ART	le
doubs	NOM	doubs
,	PUN	,
elle	PRO:PER	elle
s'	PRO:PER	se
écoule	VER:pres	écouler
dans	PRP	dans
9	NUM	@card@
cours	NOM	cour|cours
d'	PRP	de
eau	NOM	eau
majeurs	ADJ	majeur
;	PUN	;
allan	NOM	allan
,	PUN	,
audeux	ADJ	audeux
,	PUN	,
cusancin	ADJ	cusancin
,	PUN	,
dessoubre	ADJ	dessoubre
,	PUN	,
doubs	NOM	doubs
,	PUN	,
drugeon	NOM	drugeon
,	PUN	,
lison	NOM	lison
,	PUN	,
loue	NOM	loue
,	PUN	,
ognon	NOM	ognon
.	SENT	.
de	PRP	de
nombreux	ADJ	nombreux
ouvrages	NOM	ouvrage
d'	PRP	de
art	NOM	art
sont	VER:pres	être
liés	VER:pper	lier
à	PRP	à
son	DET:POS	son
passage	NOM	passage
:	PUN	:
lavoirs	NOM	lavoir
,	PUN	,
fontaines	NOM	fontaine
,	PUN	,
ponts	NOM	pont
,	PUN	,
moulins	NOM	moulin
,	PUN	,
fontaine	NOM	fontaine
galilée	ADJ	galilée
de	PRP	de
montbéliard	NOM	montbéliard
.	SENT	.
l'	DET:ART	le
eau	NOM	eau
est	VER:pres	être
captée	VER:pper	capter
,	PUN	,
transportée	VER:pper	transporter
,	PUN	,
traitée	VER:pper	traiter
,	PUN	,
distribuée	VER:pper	distribuer
,	PUN	,
consommée	VER:pper	consommer
(	PUN	(
150	NUM	@card@
l	NOM	l
par	PRP	par
jour	NOM	jour
et	KON	et
par	PRP	par
habitant	NOM	habitant
),	ADJ	),
rejetée	VER:pper	rejeter
sous	PRP	sous
forme	NOM	forme
d'	PRP	de
eaux	NOM	eau
usées	VER:pper	user
,	PUN	,
agricoles	ADJ	agricole
,	PUN	,
industrielles	ADJ	industriel
.	SENT	.
pour	PRP	pour
la	PRO:PER	la
déclarer	VER:infi	déclarer
potable	ADJ	potable
,	PUN	,
63	NUM	@card@
paramètres	NOM	paramètre
doivent	VER:pres	devoir
être	VER:infi	être
observés	VER:pper	observer
.	SENT	.
depuis	PRP	depuis
1989	NUM	@card@
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
et	KON	et
l'	DET:ART	le
agence	NOM	agence
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
ont	VER:pres	avoir
engagé	VER:pper	engager
le	DET:ART	le
pari	NOM	pari
d'	PRP	de
un	DET:ART	un
doubs	NOM	doubs
propre	ADJ	propre
.	SENT	.
l'	DET:ART	le
eau	NOM	eau
engendre	VER:pres	engendrer
la	DET:ART	le
vie	NOM	vie
,	PUN	,
favorise	VER:pres	favoriser
la	DET:ART	le
faune	NOM	faune
,	PUN	,
la	DET:ART	le
flore	NOM	flore
.	SENT	.
les	DET:ART	le
tourbières	NOM	tourbier|tourbière
sont	VER:pres	être
le	DET:ART	le
résultat	NOM	résultat
de	PRP	de
comblement	NOM	comblement
progressif	ADJ	progressif
d'	PRP	de
un	DET:ART	un
étang	NOM	étang
,	PUN	,
d'	PRP	de
un	DET:ART	un
lac	NOM	lac
,	PUN	,
par	PRP	par
des	PRP:det	du
mousses	NOM	mousse
(	PUN	(
des	PRP:det	du
sphaignes	NOM	sphaigne
).	VER:cond	).
l'	DET:ART	le
eau	NOM	eau
est	VER:pres	être
source	NOM	source
de	PRP	de
plaisir	NOM	plaisir
:	PUN	:
natation	NOM	natation
,	PUN	,
voile	NOM	voile
,	PUN	,
navigation	NOM	navigation
,	PUN	,
ski	NOM	ski
.	SENT	.
elle	PRO:PER	elle
suscite	VER:pres	susciter
bien	ADV	bien
des	PRP:det	du
dictons	NOM	dicton
et	KON	et
des	PRP:det	du
proverbes	NOM	proverbe
:	PUN	:
suer	VER:infi	suer
sang	NOM	sang
et	KON	et
eau	NOM	eau
,	PUN	,
vivre	VER:infi	vivre
d'	PRP	de
amour	NOM	amour
et	KON	et
d'	PRP	de
eau	NOM	eau
fraîche	ADJ	frais
,	PUN	,
les	DET:ART	le
petits	ADJ	petit
ruisseaux	NOM	ruisseau
font	VER:pres	faire
les	DET:ART	le
grandes	ADJ	grand
rivières	NOM	rivière
.	SENT	.
elle	PRO:PER	elle
apparaît	VER:pres	apparaître
comme	ADV	comme
un	DET:ART	un
enjeu	NOM	enjeu
majeur	ADJ	majeur
du	PRP:det	du
21	NUM	@card@
e	NOM	e
siècle	NOM	siècle
.	SENT	.
l'	DET:ART	le
exposition	NOM	exposition
est	VER:pres	être
ouverte	VER:pper	ouvrir
jusqu'au	NOM	jusqu'au
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
.	SENT	.
entrée	NOM	entrée
gratuite	ADJ	gratuit
.	SENT	.
