hier	ADV	hier
matin	NOM	matin
le	DET:ART	le
maire	NOM	maire
de	PRP	de
blénod	NOM	blénod
,	PUN	,
guy	ADJ	guy
souhait	NOM	souhait
,	PUN	,
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
irsan	NOM	irsan
altun	ADJ	altun
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
domicilié	VER:pper	domicilier
2	NUM	@card@
rue	NOM	rue
daniel-paul	ADJ	daniel-paul
cavalier	ADJ	cavalier
,	PUN	,
et	KON	et
de	PRP	de
nasli	NOM	nasli
kahraman	NOM	kahraman
,	PUN	,
étudiante	ADJ	étudiant
,	PUN	,
résidant	VER:ppre	résider
à	PRP	à
la	DET:ART	le
même	ADJ	même
adresse	NOM	adresse
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
aux	PRP:det	au
jeunes	NOM	jeune
mariés	VER:pper	marier
.	SENT	.
