m.	ABR	m.
kipffer	NOM	kipffer
,	PUN	,
maire	NOM	maire
de	PRP	de
brognard	ADJ	brognard
,	PUN	,
a	VER:pres	avoir
présenté	VER:pper	présenter
ses	DET:POS	son
voeux	NOM	vœu
et	KON	et
ceux	PRO:DEM	celui
des	PRP:det	du
élus	NOM	élu
à	PRP	à
des	PRP:det	du
invités	NOM	invité
nombreux	ADJ	nombreux
et	KON	et
attentifs	ADJ	attentif
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
tour	NOM	tour
des	PRP:det	du
événements	NOM	événement
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
avant	PRP	avant
de	PRP	de
remercier	VER:infi	remercier
les	DET:ART	le
gendarmes	NOM	gendarme
pour	PRP	pour
le	DET:ART	le
travail	NOM	travail
de	PRP	de
prévention	NOM	prévention
effectué	VER:pper	effectuer
en	PRP	en
parfaite	ADJ	parfait
collaboration	NOM	collaboration
avec	PRP	avec
la	DET:ART	le
mairie	NOM	mairie
dont	PRO:REL	dont
les	DET:ART	le
effets	NOM	effet
ont	VER:pres	avoir
été	VER:pper	être
perçus	VER:pper	percevoir
rapidement	ADV	rapidement
.	SENT	.
les	DET:ART	le
élus	NOM	élu
travaillent	VER:pres	travailler
aussi	ADV	aussi
avec	PRP	avec
les	DET:ART	le
services	NOM	service
de	PRP	de
l'	DET:ART	le
équipement	NOM	équipement
pour	PRP	pour
trouver	VER:infi	trouver
une	DET:ART	un
solution	NOM	solution
efficace	ADJ	efficace
afin	KON	afin
de	PRP	de
renforcer	VER:infi	renforcer
la	DET:ART	le
sécurité	NOM	sécurité
en	PRP	en
particulier	NOM	particulier
aux	PRP:det	au
abords	NOM	abord
de	PRP	de
l'	DET:ART	le
école	NOM	école
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
parlé	VER:pper	parler
également	ADV	également
des	PRP:det	du
programmes	NOM	programme
de	PRP	de
voirie	NOM	voirie
décidés	VER:pper	décider
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
mais	KON	mais
qui	PRO:REL	qui
attendent	VER:pres	attendre
pour	PRP	pour
commencer	VER:infi	commencer
,	PUN	,
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
assainissement	NOM	assainissement
qui	PRO:REL	qui
doivent	VER:pres	devoir
être	VER:infi	être
faits	VER:pper	faire
par	PRP	par
la	DET:ART	le
capm	NOM	capm
.	SENT	.
«	PUN:cit	«
l'	DET:ART	le
achat	NOM	achat
de	PRP	de
la	DET:ART	le
ferme	NOM	ferme
des	PRP:det	du
consorts	ADJ	consort
besançon	NOM	besançon
sera	VER:futu	être
inscrit	VER:pper	inscrire
au	PRP:det	au
budget	NOM	budget
2003	NUM	@card@
et	KON	et
cela	PRO:DEM	cela
implique	VER:pres	impliquer
une	DET:ART	un
longue	ADJ	longue
étude	NOM	étude
de	PRP	de
faisabilité	NOM	faisabilité
,	PUN	,
de	PRP	de
circulation	NOM	circulation
,	PUN	,
d'	PRP	de
amélioration	NOM	amélioration
de	PRP	de
distribution	NOM	distribution
des	PRP:det	du
eaux	NOM	eau
»,	ADJ	»,
a-t-il	ADJ	a-t-il
précisé	VER:pper	préciser
.	SENT	.
«	PUN:cit	«
comment	ADV	comment
réaliser	VER:infi	réaliser
des	PRP:det	du
locaux	NOM	local
techniques	ADJ	technique
dans	PRP	dans
cette	PRO:DEM	ce
acquisition	NOM	acquisition
,	PUN	,
locaux	ADJ	local
dont	PRO:REL	dont
le	DET:ART	le
besoin	NOM	besoin
est	VER:pres	être
plus	ADV	plus
que	KON	que
pressant	VER:ppre	presser
».	VER:pper	».
il	PRO:PER	il
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
voulu	VER:pper	vouloir
passer	VER:infi	passer
sous	PRP	sous
silence	NOM	silence
un	DET:ART	un
sujet	NOM	sujet
qui	PRO:REL	qui
passionne	VER:pres	passionner
