ce	PRO:DEM	ce
week-end	NOM	week-end
au	PRP:det	au
russey	NOM	russey
sera	VER:futu	être
sous	PRP	sous
le	DET:ART	le
signe	NOM	signe
des	PRP:det	du
trappeurs	NOM	trappeur
.	SENT	.
dès	PRP	dès
samedi	NOM	samedi
matin	NOM	matin
,	PUN	,
accueil	NOM	accueil
des	PRP:det	du
trappeurs	NOM	trappeur
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
a	VER:pres	avoir
12	NUM	@card@
h	ABR	heure
,	PUN	,
départ	NOM	départ
en	PRP	en
masse	NOM	masse
de	PRP	de
la	DET:ART	le
raquette	NOM	raquette
,	PUN	,
orientation	NOM	orientation
,	PUN	,
compétition	NOM	compétition
en	PRP	en
parallèle	NOM	parallèle
de	PRP	de
12	NUM	@card@
h	ABR	heure
à	PRP	à
13	NUM	@card@
h	ABR	heure
,	PUN	,
accueil	NOM	accueil
et	KON	et
départ	NOM	départ
libre	ADJ	libre
de	PRP	de
la	DET:ART	le
raquette	NOM	raquette
orientation	NOM	orientation
loisirs	NOM	loisir
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
épreuve	NOM	épreuve
comptant	VER:ppre	compter
pour	PRP	pour
le	DET:ART	le
championnat	NOM	championnat
de	PRP	de
france	NOM	france
ffme	ADJ	ffme
accueil	NOM	accueil
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
11	NUM	@card@
h	ABR	heure
,	PUN	,
départ	NOM	départ
en	PRP	en
masse	NOM	masse
et	KON	et
randonnée	VER:pper	randonner
avec	PRP	avec
accueil	NOM	accueil
et	KON	et
départ	NOM	départ
libre	ADJ	libre
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
pour	PRP	pour
tous	PRO:IND	tout
renseignements	NOM	renseignement
,	PUN	,
adorr	NOM	adorr
,	PUN	,
7	NUM	@card@
rue	NOM	rue
de	PRP	de
loisy	NOM	loisy
à	PRP	à
besançon	NOM	besançon
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
52.71	NUM	@card@
.	SENT	.
48	NUM	@card@
