«	PUN:cit	«
désormais	ADV	désormais
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
interdit	VER:pper	interdire
de	PRP	de
se	PRO:PER	se
laisser	VER:infi	laisser
impressionner	VER:infi	impressionner
par	PRP	par
une	DET:ART	un
souris	NOM	souris
,	PUN	,
laissez-vous	NOM	laissez-vous
guidez	VER:pres	guider
»,	NOM	»,
proclament	VER:pres	proclamer
les	DET:ART	le
affiches	NOM	affiche
de	PRP	de
la	DET:ART	le
cyberbase	NOM	cyberbase
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
cette	PRO:DEM	ce
formule	NOM	formule
magique	ADJ	magique
que	KON	que
les	DET:ART	le
deux	NUM	deux
animateurs	NOM	animateur
de	PRP	de
la	DET:ART	le
cyberbase	NOM	cyberbase
de	PRP	de
tomblaine	NOM	tomblaine
vont	VER:pres	aller
devoir	VER:infi	devoir
appliquer	VER:infi	appliquer
à	PRP	à
la	DET:ART	le
lettre	NOM	lettre
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
demain	ADV	demain
,	PUN	,
jour	NOM	jour
d'	PRP	de
ouverture	NOM	ouverture
.	SENT	.
jean-louis	NOM	jean-louis
bollinger	NOM	bollinger
n'	ADV	ne
a	VER:pres	avoir
plus	ADV	plus
besoin	NOM	besoin
d'	PRP	de
être	VER:infi	être
présenté	VER:pper	présenter
dans	PRP	dans
la	DET:ART	le
commune	NOM	commune
.	SENT	.
on	PRO:PER	on
le	PRO:PER	le
connaît	VER:pres	connaître
comme	ADV	comme
étant	VER:ppre	être
,	PUN	,
entre	PRP	entre
autres	ADJ	autre
,	PUN	,
le	DET:ART	le
président	NOM	président
du	PRP:det	du
ciiber	NOM	ciiber
club	NOM	club
,	PUN	,
une	DET:ART	un
association	NOM	association
qui	PRO:REL	qui
pratique	VER:pres	pratiquer
l'	DET:ART	le
informatique	NOM	informatique
et	KON	et
l'	DET:ART	le
internet	NOM	Internet
.	SENT	.
en	PRO:PER	en
rejoignant	VER:ppre	rejoindre
cette	PRO:DEM	ce
fois	NOM	foi|fois
le	DET:ART	le
grand	ADJ	grand
nancy	NOM	nancy
,	PUN	,
pour	PRP	pour
animer	VER:infi	animer
la	DET:ART	le
cyberbase	NOM	cyberbase
de	PRP	de
tomblaine	NOM	tomblaine
dès	PRP	dès
son	DET:POS	son
ouverture	NOM	ouverture
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
sans	PRP	sans
conteste	NOM	conteste
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
hommes	NOM	homme
de	PRP	de
la	DET:ART	le
situation	NOM	situation
.	SENT	.
son	DET:POS	son
jeune	ADJ	jeune
collègue	NOM	collègue
manuel	ADJ	manuel
dartois	NOM	dartois
a	VER:pres	avoir
déjà	ADV	déjà
travaillé	VER:pper	travailler
sur	PRP	sur
les	DET:ART	le
cyberbases	NOM	cyberbases
de	PRP	de
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
et	KON	et
ludres	NOM	ludres
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
donc	ADV	donc
,	PUN	,
tout	ADV	tout
comme	ADV	comme
jean-louis	NOM	jean-louis
,	PUN	,
parfaitement	ADV	parfaitement
au	PRP:det	au
courant	NOM	courant
des	PRP:det	du
développements	NOM	développement
possibles	ADJ	possible
et	KON	et
des	PRP:det	du
demandes	NOM	demande
du	PRP:det	du
public	NOM	public
.	SENT	.
de	PRP	de
plus	ADV	plus
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
titulaire	ADJ	titulaire
d'	PRP	de
un	DET:ART	un
dut	VER:simp	devoir
de	PRP	de
moyens	NOM	moyen
numériques	ADJ	numérique
et	KON	et
d'	PRP	de
un	DET:ART	un
dit	NOM	dit
en	PRP	en
idea	NOM	idea
(	PUN	(
infographie	NOM	infographie
,	PUN	,
design	NOM	design
,	PUN	,
esthétique	ADJ	esthétique
et	KON	et
architecture	VER:pres	architecturer
).	VER:pper	).
des	PRP:det	du
atouts	NOM	atout
que	KON	que
bien	ADV	bien
évidement	NOM	évidement
il	PRO:PER	il
saura	VER:simp	saurer
mettre	VER:infi	mettre
en	PRP	en
pratique	NOM	pratique
pour	PRP	pour
apporter	VER:infi	apporter
des	PRP:det	du
services	NOM	service
complémentaires	ADJ	complémentaire
aux	PRP:det	au
usagers	NOM	usager
de	PRP	de
la	DET:ART	le
cyberbase	NOM	cyberbase
.	SENT	.
-	PUN	-
quelles	PRO:REL	quel
seront	VER:futu	être
vos	DET:POS	votre
missions	NOM	mission
?	SENT	?
-	PUN	-
donner	VER:infi	donner
à	PRP	à
tous	PRO:IND	tout
l'	DET:ART	le
accès	NOM	accès
à	PRP	à
l'	DET:ART	le
informatique	NOM	informatique
,	PUN	,
et	KON	et
aux	PRP:det	au
services	NOM	service
que	PRO:REL	que
peut	VER:pres	pouvoir
proposer	VER:infi	proposer
internet	NOM	Internet
.	SENT	.
que	KON	que
ce	PRO:DEM	ce
soit	VER:subp	être
des	PRP:det	du
jeunes	NOM	jeune
ou	KON	ou
des	PRP:det	du
personnes	NOM	personne
plus	ADV	plus
âgées	ADJ	âgé
,	PUN	,
nous	PRO:PER	nous
les	PRO:PER	la|le
guiderons	VER:futu	guider
dans	PRP	dans
leur	DET:POS	leur
découverte	NOM	découverte
d'	PRP	de
un	DET:ART	un
ordinateur	NOM	ordinateur
et	KON	et
dans	PRP	dans
le	DET:ART	le
maniement	NOM	maniement
de	PRP	de
la	DET:ART	le
souris	NOM	souris
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
inconcevable	ADJ	inconcevable
,	PUN	,
en	PRP	en
2003	NUM	@card@
que	KON	que
certaines	PRO:IND	certain
personnes	NOM	personne
ne	ADV	ne
puissent	VER:subp	pouvoir
profiter	VER:infi	profiter
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
services	NOM	service
offerts	ADJ	offert
,	PUN	,
sous	PRP	sous
prétexte	NOM	prétexte
qu'	KON	que
elles	PRO:PER	elle
ne	ADV	ne
savent	VER:pres	savoir
pas	ADV	pas
utiliser	VER:infi	utiliser
un	DET:ART	un
ordinateur	NOM	ordinateur
.	SENT	.
démystifier	VER:infi	démystifier
l'	DET:ART	le
informatique	NOM	informatique
pour	PRP	pour
tous	PRO:IND	tout
les	DET:ART	le
usagers	NOM	usager
est	VER:pres	être
une	DET:ART	un
de	PRP	de
nos	DET:POS	notre
missions	NOM	mission
.	SENT	.
-	PUN	-
des	PRP:det	du
ateliers	NOM	atelier
seront	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
.	SENT	.
quels	PRO:REL	quel
seront	VER:futu	être
leurs	DET:POS	leur
fonctions	NOM	fonction
?	SENT	?
-	PUN	-
chaque	PRO:IND	chaque
cyberbase	NOM	cyberbase
a	VER:pres	avoir
plusieurs	PRO:IND	plusieurs
ateliers	NOM	atelier
de	PRP	de
découverte	NOM	découverte
dans	PRP	dans
des	PRP:det	du
domaines	NOM	domaine
précis	ADJ	précis
.	SENT	.
ici	ADV	ici
,	PUN	,
à	PRP	à
tomblaine	NOM	tomblaine
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
techniques	NOM	technique
du	PRP:det	du
multimédia	ADJ	multimédia
,	PUN	,
du	PRP:det	du
dessin	NOM	dessin
animé	VER:pper	animer
et	KON	et
du	PRP:det	du
montage	NOM	montage
vidéo	ADJ	vidéo
(	PUN	(
à	PRP	à
partir	VER:infi	partir
de	PRP	de
film	NOM	film
caméscope	NOM	caméscope
analogique	ADJ	analogique
ou	KON	ou
numérique	ADJ	numérique
vers	PRP	vers
des	PRP:det	du
cdrom	NOM	cdrom
)	PUN	)
et	KON	et
audio	NOM	audio
(	PUN	(
compiler	VER:infi	compiler
ses	DET:POS	son
propres	ADJ	propre
vinyles	NOM	vinyle
sur	PRP	sur
cdrom	NOM	cdrom
),	ADJ	),
ainsi	ADV	ainsi
que	KON	que
la	DET:ART	le
retouche	NOM	retouche
d'	PRP	de
images	NOM	image
(	PUN	(
argentiques	ADJ	argentique
ou	KON	ou
numériques	ADJ	numérique
et	KON	et
assemblage	NOM	assemblage
de	PRP	de
plusieurs	PRO:IND	plusieurs
images	NOM	image
),	ADJ	),
qui	PRO:REL	qui
seront	VER:futu	être
proposées	VER:pper	proposer
.	SENT	.
les	DET:ART	le
ateliers	NOM	atelier
seront	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
après	PRP	après
la	DET:ART	le
période	NOM	période
de	PRP	de
découverte	NOM	découverte
,	PUN	,
avec	PRP	avec
inscriptions	NOM	inscription
et	KON	et
réservations	NOM	réservation
préalables	ADJ	préalable
.	SENT	.
-	PUN	-
quelle	PRO:REL	quel
sont	VER:pres	être
les	DET:ART	le
possibilités	NOM	possibilité
pour	PRP	pour
les	DET:ART	le
usagers	NOM	usager
des	PRP:det	du
cyberbases	NOM	cyberbases
?	SENT	?
-	PUN	-
tout	ADV	tout
usager	ADJ	usager
dispose	VER:pres	disposer
de	PRP	de
deux	NUM	deux
heures	NOM	heure
gratuites	ADJ	gratuit
,	PUN	,
et	KON	et
,	PUN	,
ensuite	ADV	ensuite
,	PUN	,
peut	VER:pres	pouvoir
avoir	VER:infi	avoir
un	DET:ART	un
accès	NOM	accès
en	PRP	en
libre	ADJ	libre
consultation	NOM	consultation
.	SENT	.
les	DET:ART	le
tarifs	NOM	tarif
horaires	ADJ	horaire
sont	VER:pres	être
de	PRP	de
1	NUM	@card@
	NOM	
par	PRP	par
heure	NOM	heure
mais	KON	mais
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
des	PRP:det	du
possibilités	NOM	possibilité
d'	PRP	de
abonnement	NOM	abonnement
pour	PRP	pour
20	NUM	@card@
heures	NOM	heure
(	PUN	(
15	NUM	@card@
),	NOM	),
ou	KON	ou
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
(	PUN	(
100	NUM	@card@
).	ABR	).
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
aussi	ADV	aussi
des	PRP:det	du
tarifs	NOM	tarif
aidés	VER:pper	aider
.	SENT	.
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
là	ADV	là
pour	PRP	pour
écouter	VER:infi	écouter
les	DET:ART	le
usagers	NOM	usager
et	KON	et
tenter	VER:infi	tenter
de	PRP	de
leur	PRO:PER	lui
apporter	VER:infi	apporter
toutes	PRO:IND	tout
les	DET:ART	le
solutions	NOM	solution
à	PRP	à
leurs	DET:POS	leur
problèmes	NOM	problème
d'	PRP	de
informatique	NOM	informatique
ou	KON	ou
d'	PRP	de
internet	NOM	Internet
et	KON	et
les	PRO:PER	la|le
aider	VER:infi	aider
à	PRP	à
créer	VER:infi	créer
un	DET:ART	un
site	NOM	site
,	PUN	,
par	PRP	par
exemple	NOM	exemple
.	SENT	.
propos	NOM	propos
recueillis	VER:pper	recueillir
par	PRP	par
