l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
danielle	ADJ	danielle
noël	NOM	noël
à	PRP	à
woinville	NOM	woinville
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.33	NUM	@card@
.	SENT	.
84	NUM	@card@
fax	NOM	fax
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.37	NUM	@card@
.	SENT	.
00	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
à	PRP	à
vigneulles	NOM	vigneulles
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
permanences	NOM	permanence
en	PRP	en
mairie	NOM	mairie
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
:	PUN	:
du	PRP:det	du
maire	NOM	maire
,	PUN	,
des	PRP:det	du
adjoints	NOM	adjoint
.	SENT	.
déchetterie	NOM	déchetterie
cantonale	ADJ	cantonal
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
judo	NOM	judo
:	PUN	:
au	PRP:det	au
mille-club	NOM	mille-club
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
et	KON	et
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
plus	ADV	plus
grands	ADJ	grand
.	SENT	.
danse	NOM	danse
avec	PRP	avec
les	DET:ART	le
«	PUN:cit	«
amis	NOM	ami
de	PRP	de
la	DET:ART	le
danse	NOM	danse
»	PUN:cit	»
à	PRP	à
la	DET:ART	le
salle	NOM	salle
saint-rémy	NOM	saint-rémy
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
:	PUN	:
jazz	NOM	jazz
,	PUN	,
claquettes	NOM	claquette
et	KON	et
classique	ADJ	classique
,	PUN	,
adolescentes	ADJ	adolescent
et	KON	et
jeunes	ADJ	jeune
adultes	NOM	adulte
.	SENT	.
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
84.75	NUM	@card@
.	SENT	.
15	NUM	@card@
en	PRP	en
cas	NOM	cas
d'	PRP	de
extrême	ADJ	extrême
urgence	NOM	urgence
téléphoner	VER:infi	téléphoner
au	PRP:det	au
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
ce	PRO:DEM	ce
soir	NOM	soir
à	PRP	à
partir	VER:infi	partir
de	PRP	de
18	NUM	@card@
h	ABR	heure
et	KON	et
demain	ADV	demain
,	PUN	,
pharmacie	NOM	pharmacie
des	PRP:det	du
roches	NOM	roche
à	PRP	à
saint-mihiel	NOM	saint-mihiel
.	SENT	.
messes	NOM	messe
dominicales	ADJ	dominical
:	PUN	:
demain	ADV	demain
,	PUN	,
beney	NOM	beney
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
vigneulles	NOM	vigneulles
à	PRP	à
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
pas	NOM	pas
de	PRP	de
messes	NOM	messe
sur	PRP	sur
le	DET:ART	le
secteur	NOM	secteur
d'	PRP	de
heudicourt	NOM	heudicourt
.	SENT	.
