aujourd'hui	ADV	aujourd'hui
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
,	PUN	,
salle	NOM	salle
du	PRP:det	du
conseil	NOM	conseil
,	PUN	,
mise	VER:pper	mettre
en	PRP	en
place	NOM	place
des	PRP:det	du
commissions	NOM	commission
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
d'	PRP	de
enfants	NOM	enfant
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
foyer	NOM	foyer
des	PRP:det	du
retraités	NOM	retraité
du	PRP:det	du
château	NOM	château
,	PUN	,
concours	NOM	concours
de	PRP	de
belote	NOM	belote
des	PRP:det	du
rùetraités	NOM	rùetraités
.	SENT	.
inscription	NOM	inscription
sur	PRP	sur
place	NOM	place
.	SENT	.
4	NUM	@card@
.	ABR	.
vendredi	NOM	vendredi
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
,	PUN	,
permanence	NOM	permanence
sans	PRP	sans
rendez-vous	NOM	rendez-vous
du	PRP:det	du
maire	NOM	maire
.	SENT	.
samedi	NOM	samedi
:	PUN	:
soirée	NOM	soirée
dansante	ADJ	dansant
de	PRP	de
la	DET:ART	le
champigneullaise	NOM	champigneullaise
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
animée	VER:pper	animer
par	PRP	par
«	PUN:cit	«
millésime	NOM	millésime
62	NUM	@card@
».	ABR	».
dimanche	NOM	dimanche
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
loto	NOM	loto
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
donneurs	NOM	donneur
de	PRP	de
sang	NOM	sang
bénévoles	ADJ	bénévole
.	SENT	.
