c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
chardonnerets	NOM	chardonneret
de	PRP	de
hymont	NOM	hymont
que	KON	que
mme	VER:simp	mme
augustine	ADJ	augustin
huet	NOM	huet
,	PUN	,
née	VER:pper	naître
caplain	NOM	caplain
,	PUN	,
a	VER:pres	avoir
soufflé	VER:pper	souffler
les	DET:ART	le
100	NUM	@card@
bougies	NOM	bougie
d'	PRP	de
une	DET:ART	un
énorme	ADJ	énorme
pièce	NOM	pièce
montée	VER:pper	monter
.	SENT	.
l'	DET:ART	le
alerte	NOM	alerte
centenaire	ADJ	centenaire
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
1903	NUM	@card@
à	PRP	à
pont-audener	VER:infi	pont-audener
dans	PRP	dans
l'	DET:ART	le
eure	NOM	eure
.	SENT	.
ses	DET:POS	son
parents	NOM	parent|parents
étaient	VER:impf	être
ouvriers	ADJ	ouvrier
,	PUN	,
son	DET:POS	son
père	NOM	père
travaillait	VER:impf	travailler
en	PRP	en
scierie	NOM	scierie
et	KON	et
sa	DET:POS	son
mère	NOM	mère
était	VER:impf	être
vendeuse	ADJ	vendeur
de	PRP	de
poissons	NOM	poisson
.	SENT	.
a	VER:pres	avoir
19	NUM	@card@
ans	NOM	an
,	PUN	,
elle	PRO:PER	elle
épouse	VER:pres	épouser
joseph	ADJ	joseph
chollais	NOM	chollais
,	PUN	,
avec	PRP	avec
qui	PRO:REL	qui
elle	PRO:PER	elle
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
fils	NOM	fil|fils
,	PUN	,
jean	NOM	jean
.	SENT	.
augustine	ADJ	augustin
huet	NOM	huet
a	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
douleur	NOM	douleur
de	PRP	de
perdre	VER:infi	perdre
son	DET:POS	son
mari	NOM	mari
deux	NUM	deux
ans	NOM	an
plus	ADV	plus
tard	ADV	tard
.	SENT	.
en	PRP	en
seconde	NUM	second
noce	NOM	noce
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
épousé	VER:pper	épouser
maurice	ADJ	maurice
caplain	NOM	caplain
.	SENT	.
le	DET:ART	le
couple	NOM	couple
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
fils	NOM	fil|fils
,	PUN	,
gérard	NOM	gérard
,	PUN	,
né	VER:pper	naître
en	PRP	en
1935	NUM	@card@
marié	VER:pper	marier
en	PRP	en
1975	NUM	@card@
à	PRP	à
simone	ADJ	simone
guilleray	NOM	guilleray
,	PUN	,
de	PRP	de
hymont	NOM	hymont
.	SENT	.
augustine	ADJ	augustin
caplain	NOM	caplain
a	VER:pres	avoir
travaillé	VER:pper	travailler
en	PRP	en
usine	NOM	usine
de	PRP	de
tannerie	NOM	tannerie
,	PUN	,
puis	ADV	puis
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
employée	NOM	employé
de	PRP	de
maison	NOM	maison
,	PUN	,
jusqu'à	NOM	jusqu'à
sa	DET:POS	son
retraite	NOM	retraite
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
connu	VER:pper	connaître
deux	NUM	deux
autres	ADJ	autre
épreuves	NOM	épreuve
,	PUN	,
le	DET:ART	le
décès	NOM	décès
de	PRP	de
son	DET:POS	son
premier	NUM	premier
fils	NOM	fil|fils
,	PUN	,
jean	NOM	jean
,	PUN	,
en	PRP	en
1964	NUM	@card@
puis	ADV	puis
son	DET:POS	son
mari	NOM	mari
maurice	NAM	Maurice
en	PRP	en
1997	NUM	@card@
depuis	PRP	depuis
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
passé	VER:pper	passer
les	DET:ART	le
hivers	NOM	hiver
chez	PRP	chez
son	DET:POS	son
fils	NOM	fil|fils
gérard	ADJ	gérard
à	PRP	à
mirecourt	NOM	mirecourt
et	KON	et
s'	PRO:PER	se
est	VER:pres	être
installée	VER:pper	installer
définitivement	ADV	définitivement
en	PRP	en
2000	NUM	@card@
où	PRO:REL	où
elle	PRO:PER	elle
recevait	VER:impf	recevoir
les	DET:ART	le
soins	NOM	soin
de	PRP	de
sa	DET:POS	son
belle-fille	NOM	belle-fille
.	SENT	.
bien	ADV	bien
que	KON	que
souffrant	VER:ppre	souffrir
de	PRP	de
surdité	NOM	surdité
,	PUN	,
mme	VER:simp	mme
caplain	ADJ	caplain
,	PUN	,
très	ADV	très
alerte	ADJ	alerte
et	KON	et
active	ADJ	actif
,	PUN	,
occupe	VER:pres	occuper
ses	DET:POS	son
loisirs	NOM	loisir
à	PRP	à
la	DET:ART	le
lecture	NOM	lecture
.	SENT	.
nous	PRO:PER	nous
lui	PRO:PER	lui
souhaitons	VER:pres	souhaiter
un	DET:ART	un
joyeux	ADJ	joyeux
anniversaire	NOM	anniversaire
.	SENT	.
