toutes	PRO:IND	tout
les	DET:ART	le
îles	NOM	île
offrent	VER:pres	offrir
d'	PRP	de
immenses	ADJ	immense
plages	NOM	plage
de	PRP	de
sable	NOM	sable
blanc	ADJ	blanc
,	PUN	,
comme	ADV	comme
ici	ADV	ici
grenade	NOM	grenade
.	SENT	.
une	DET:ART	un
flore	NOM	flore
somptueuse	ADJ	somptueux
.	SENT	.
le	DET:ART	le
costa	NOM	costa
romantica	NOM	romantica
,	PUN	,
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
fleurons	NOM	fleuron
de	PRP	de
la	DET:ART	le
compagnie	NOM	compagnie
.	SENT	.
excursion	NOM	excursion
dans	PRP	dans
la	DET:ART	le
lagune	NOM	lagune
sauvage	ADJ	sauvage
de	PRP	de
margarita	NOM	margarita
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
rencontre	NOM	rencontre
des	PRP:det	du
étoiles	NOM	étoile
de	PRP	de
mer	NOM	mer
et	KON	et
des	PRP:det	du
hippocampes	NOM	hippocampe
.	SENT	.
fêter	VER:infi	fêter
le	DET:ART	le
nouvel	ADJ	nouveau
an	NOM	an
chinois	ADJ	chinois
à	PRP	à
hong	ADJ	hong
kong	NOM	kong
.	SENT	.
emotions	NOM	emotions
garanties	VER:pper	garantir
en	PRP	en
savoie	NOM	savoie
et	KON	et
haute-savoie	NOM	haute-savoie
.	SENT	.
