hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
jean-michel	NOM	jean-michel
bouillot	ADJ	bouillot
,	PUN	,
adjoint	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
par	PRP	par
les	DET:ART	le
liens	NOM	lien
du	PRP:det	du
mariage	NOM	mariage
nadir	NOM	nadir
benzerari	NOM	benzerari
,	PUN	,
électricien	NOM	électricien
,	PUN	,
demeurant	VER:ppre	demeurer
aux	PRP:det	au
aiglons	NOM	aiglon
,	PUN	,
5	NUM	@card@
rue	NOM	rue
de	PRP	de
gembloux	NOM	gembloux
,	PUN	,
et	KON	et
samira	VER:futu	samira
abrantchou	NOM	abrantchou
,	PUN	,
agent	NOM	agent
de	PRP	de
service	NOM	service
,	PUN	,
domicilié	VER:pper	domicilier
aux	PRP:det	au
canaris	NOM	canari
,	PUN	,
4	NUM	@card@
place	NOM	place
d'	PRP	de
irlande	NOM	irlande
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
