quatre	NUM	quatre
salles	NOM	salle
ont	VER:pres	avoir
été	VER:pper	être
retenues	VER:pper	retenir
pour	PRP	pour
les	DET:ART	le
éliminatoires	NOM	éliminatoire
qui	PRO:REL	qui
se	PRO:PER	se
dérouleront	VER:futu	dérouler
demain	ADV	demain
à	PRP	à
verdun	NOM	verdun
(	PUN	(
salle	NOM	salle
gassin	ADJ	gassin
),	ADJ	),
vigneulles	NOM	vigneulles
(	PUN	(
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
),	ADJ	),
vignot	NOM	vignot
(	PUN	(
salle	NOM	salle
des	PRP:det	du
ouillons	VER:pres	ouiller
)	PUN	)
et	KON	et
bar-le-duc	NOM	bar-le-duc
(	PUN	(
côte	NOM	côte
sainte-catherine	ADJ	sainte-catherine
).	VER:simp	).
un	DET:ART	un
premier	NUM	premier
groupe	NOM	groupe
de	PRP	de
cinq	NUM	cinq
ou	KON	ou
six	NUM	six
équipes	NOM	équipe
sera	VER:futu	être
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
le	DET:ART	le
matin	NOM	matin
,	PUN	,
suivi	VER:pper	suivre
d'	PRP	de
un	DET:ART	un
second	NOM	second
l'	DET:ART	le
après-midi	NOM	après-midi
.	SENT	.
les	DET:ART	le
deux	NUM	deux
premiers	NOM	premier
de	PRP	de
chaque	PRO:IND	chaque
groupe	NOM	groupe
participeront	VER:futu	participer
à	PRP	à
la	DET:ART	le
finale	NOM	finale
départementale	ADJ	départemental
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
à	PRP	à
bouligny	NAM	bouligny
.	SENT	.
les	DET:ART	le
deux	NUM	deux
finalistes	NOM	finaliste
participeront	VER:futu	participer
,	PUN	,
quant	PRP	quant
à	PRP	à
eux	PRO:PER	eux
,	PUN	,
à	PRP	à
la	DET:ART	le
finale	NOM	finale
régionale	ADJ	régional
.	SENT	.
groupe	NOM	groupe
1	NUM	@card@
(	PUN	(
verdun	NOM	verdun
)	PUN	)
equipes	NOM	equipes
engagées	VER:pper	engager
le	DET:ART	le
matin	NOM	matin
:	PUN	:
ancemont	ADJ	ancemont
,	PUN	,
dugny	NAM	dugny
,	PUN	,
bouligny	NAM	bouligny
,	PUN	,
beausite	NOM	beausite
(	PUN	(
1	NUM	@card@
)	PUN	)
et	KON	et
val	NOM	val
dunois	NOM	dunois
.	SENT	.
ordre	NOM	ordre
des	PRP:det	du
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
10	NUM	@card@
h	ABR	heure
)	PUN	)
ancemont-dugny	NAM	ancemont-dugny
,	PUN	,
bouligny-beausite	NOM	bouligny-beausite
(	PUN	(
1	NUM	@card@
),	NOM	),
dugny-bouligny	NAM	dugny-bouligny
,	PUN	,
beausite	NOM	beausite
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
val	NOM	val
dunois	NOM	dunois
,	PUN	,
ancemont-bouligny	NAM	ancemont-bouligny
,	PUN	,
dugny-val	NOM	dugny-val
dunois	NOM	dunois
,	PUN	,
ancemont-beausite	NOM	ancemont-beausite
(	PUN	(
1	NUM	@card@
),	NOM	),
bouligny-val	ADJ	bouligny-val
dunois	NOM	dunois
,	PUN	,
dugny-beausite	NOM	dugny-beausite
(	PUN	(
1	NUM	@card@
),	NOM	),
ancemont-val	ADJ	ancemont-val
dunois	NOM	dunois
.	SENT	.
equipes	NOM	equipes
engagées	VER:pper	engager
l'	DET:ART	le
après-midi	NOM	après-midi
:	PUN	:
dieue/sommedieue	NOM	dieue/sommedieue
,	PUN	,
verdun/belleville	NOM	verdun/belleville
,	PUN	,
beausite	NOM	beausite
(	PUN	(
2	NUM	@card@
),	NOM	),
saint-mihiel	ADJ	saint-mihiel
(	PUN	(
2	NUM	@card@
)	PUN	)
et	KON	et
thierville	NOM	thierville
.	SENT	.
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
dieue/sommedieue-verdun/belleville	NOM	dieue/sommedieue-verdun/belleville
,	PUN	,
beausite	NOM	beausite
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
saint-mihiel	ADJ	saint-mihiel
(	PUN	(
2	NUM	@card@
),	NOM	),
verdun/belleville-beausite	NOM	verdun/belleville-beausite
(	PUN	(
2	NUM	@card@
),	NOM	),
saint-mihiel	ADJ	saint-mihiel
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
thierville	NOM	thierville
,	PUN	,
dieue/sommedieue	NOM	dieue/sommedieue
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
beausite	NOM	beausite
(	PUN	(
2	NUM	@card@
),	NOM	),
verdun/belleville-thierville	NOM	verdun/belleville-thierville
,	PUN	,
dieue/sommedieue-saint-mihiel	ADJ	dieue/sommedieue-saint-mihiel
(	PUN	(
2	NUM	@card@
),	NOM	),
beausite	NOM	beausite
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
thierville	NOM	thierville
,	PUN	,
