a	VER:pres	avoir
lunéville	ADJ	lunéville
,	PUN	,
la	DET:ART	le
journée	NOM	journée
de	PRP	de
la	DET:ART	le
femme	NOM	femme
du	PRP:det	du
8	NUM	@card@
mars	NOM	mars
s'	PRO:PER	se
échelonnera	VER:futu	échelonner
sur	PRP	sur
une	DET:ART	un
semaine	NOM	semaine
.	SENT	.
chaque	PRO:IND	chaque
association	NOM	association
développera	VER:futu	développer
ses	DET:POS	son
actions	NOM	action
.	SENT	.
au	PRP:det	au
salon	NOM	salon
des	PRP:det	du
halles	NOM	halle
,	PUN	,
l'	DET:ART	le
asal	NOM	asal
donnera	VER:futu	donner
un	DET:ART	un
spectacle	NOM	spectacle
sur	PRP	sur
l'	DET:ART	le
évolution	NOM	évolution
des	PRP:det	du
femmes	NOM	femme
à	PRP	à
travers	NOM	travers
les	DET:ART	le
arts	NOM	art
et	KON	et
exposera	VER:futu	exposer
des	PRP:det	du
travaux	NOM	travail
féminins	ADJ	féminin
.	SENT	.
sur	PRP	sur
le	DET:ART	le
même	ADJ	même
site	NOM	site
,	PUN	,
le	DET:ART	le
cidf	NOM	cidf
ouvrira	VER:futu	ouvrir
des	PRP:det	du
mini-ateliers	NOM	mini-ateliers
artistiques	ADJ	artistique
.	SENT	.
il	PRO:PER	il
organisera	VER:futu	organiser
un	DET:ART	un
grand	ADJ	grand
jeux	NOM	jeu
qui	PRO:REL	qui
permettra	VER:futu	permettre
aux	PRP:det	au
femmes	NOM	femme
de	PRP	de
s'	PRO:PER	se
exprimer	VER:infi	exprimer
.	SENT	.
l'	DET:ART	le
espace	NOM	espace
femmes	NOM	femme
programmera	VER:futu	programmer
à	PRP	à
l'	DET:ART	le
impérial	ADJ	impérial
un	DET:ART	un
film	NOM	film
sur	PRP	sur
la	DET:ART	le
condition	NOM	condition
de	PRP	de
la	DET:ART	le
femme	NOM	femme
européenne	ADJ	européen
.	SENT	.
un	DET:ART	un
débat	NOM	débat
suivra	VER:futu	suivre
.	SENT	.
des	PRP:det	du
portraits	NOM	portrait
de	PRP	de
femmes	NOM	femme
réalisés	VER:pper	réaliser
par	PRP	par
des	PRP:det	du
patients	NOM	patient
du	PRP:det	du
centre	NOM	centre
thérapeutique	ADJ	thérapeutique
à	PRP	à
temps	NOM	temps
partiel	ADJ	partiel
les	DET:ART	le
arcades	NOM	arcade
seront	VER:futu	être
exposés	VER:pper	exposer
à	PRP	à
son	DET:POS	son
local	NOM	local
.	SENT	.
