c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
28	NUM	@card@
décembre	NOM	décembre
que	KON	que
julie	NOM	julie
a	VER:pres	avoir
poussé	VER:pper	pousser
son	DET:POS	son
premier	NUM	premier
cri	NOM	cri
à	PRP	à
la	DET:ART	le
clinique	ADJ	clinique
majorelle	NOM	majorelle
.	SENT	.
premier	NUM	premier
enfant	NOM	enfant
de	PRP	de
delphine	NOM	delphine
et	KON	et
christophe	NOM	christophe
déthorey	ADJ	déthorey
,	PUN	,
julie	NOM	julie
pesait	VER:impf	peser
2,620	NUM	@card@
kg	ABR	kg
et	KON	et
mesurait	VER:impf	mesurer
46	NUM	@card@
cm	NOM	cm
à	PRP	à
sa	DET:POS	son
naissance	NOM	naissance
.	SENT	.
toute	PRO:IND	tout
la	DET:ART	le
petite	ADJ	petit
famille	NOM	famille
est	VER:pres	être
domiciliée	VER:pper	domicilier
28	NUM	@card@
rue	NOM	rue
de	PRP	de
guise	NOM	guise
.	SENT	.
félicitations	NOM	félicitation
aux	PRP:det	au
jeunes	ADJ	jeune
parents	NOM	parent|parents
et	KON	et
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
bébé	NOM	bébé
.	SENT	.
