c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
automobiliste	NOM	automobiliste
de	PRP	de
passage	NOM	passage
qui	PRO:REL	qui
a	VER:pres	avoir
donné	VER:pper	donner
l'	DET:ART	le
alerte	NOM	alerte
aux	PRP:det	au
pompiers	NOM	pompier
.	SENT	.
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
vendredi	NOM	vendredi
à	PRP	à
samedi	NOM	samedi
,	PUN	,
aux	PRP:det	au
alentours	NOM	alentour
de	PRP	de
minuit	NOM	minuit
et	KON	et
demi	NOM	demi
,	PUN	,
une	DET:ART	un
belle	ADJ	beau
bâtisse	NOM	bâtisse
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
lods	NOM	lods
était	VER:impf	être
la	DET:ART	le
proie	NOM	proie
des	PRP:det	du
flammes	NOM	flamme
.	SENT	.
le	DET:ART	le
bâtiment	NOM	bâtiment
,	PUN	,
résidence	NOM	résidence
secondaire	ADJ	secondaire
d'	PRP	de
une	DET:ART	un
famille	NOM	famille
suisse	ADJ	suisse
,	PUN	,
se	PRO:PER	se
trouve	VER:pres	trouver
à	PRP	à
l'	DET:ART	le
entrée	NOM	entrée
du	PRP:det	du
village	NOM	village
,	PUN	,
sur	PRP	sur
la	DET:ART	le
rn	NOM	rn
67	NUM	@card@
en	PRP	en
venant	VER:ppre	venir
de	PRP	de
pontarlier	NOM	pontarlier
.	SENT	.
les	DET:ART	le
hommes	NOM	homme
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
lutté	VER:pper	lutter
un	DET:ART	un
long	ADJ	long
moment	NOM	moment
pour	PRP	pour
circonscrire	VER:infi	circonscrire
l'	DET:ART	le
incendie	NOM	incendie
dont	PRO:REL	dont
l'	DET:ART	le
origine	NOM	origine
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
déterminée	VER:pper	déterminer
.	SENT	.
un	DET:ART	un
piquet	NOM	piquet
de	PRP	de
vigilance	NOM	vigilance
a	VER:pres	avoir
été	VER:pper	être
installé	VER:pper	installer
.	SENT	.
