profitant	VER:ppre	profiter
de	PRP	de
la	DET:ART	le
trêve	NOM	trêve
des	PRP:det	du
matchs	NOM	match
et	KON	et
de	PRP	de
la	DET:ART	le
fin	NOM	fin
des	PRP:det	du
vacances	NOM	vacance
,	PUN	,
le	DET:ART	le
président	NOM	président
philippe	ADJ	philippe
maliverney	ADJ	maliverney
,	PUN	,
entouré	VER:pper	entourer
de	PRP	de
son	DET:POS	son
comité	NOM	comité
,	PUN	,
avait	VER:impf	avoir
rassemblé	VER:pper	rassembler
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
bergerie	NOM	bergerie
,	PUN	,
les	DET:ART	le
jeunes	ADJ	jeune
espoirs	NOM	espoir
du	PRP:det	du
football	NOM	football
.	SENT	.
soit	KON	soit
les	DET:ART	le
joueurs	NOM	joueur
des	PRP:det	du
équipes	NOM	équipe
de	PRP	de
benjamins	NOM	benjamin
et	KON	et
les	DET:ART	le
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
.	SENT	.
un	DET:ART	un
goûter	NOM	goûter
arrosé	VER:pper	arroser
de	PRP	de
jus	NOM	jus
de	PRP	de
fruits	NOM	fruit
a	VER:pres	avoir
été	VER:pper	être
partagé	VER:pper	partager
.	SENT	.
les	DET:ART	le
parents	NOM	parent|parents
étaient	VER:impf	être
invités	VER:pper	inviter
à	PRP	à
cette	PRO:DEM	ce
rencontre	NOM	rencontre
fort	ADV	fort
sympathique	ADJ	sympathique
.	SENT	.
