pharmacie	NOM	pharmacie
:	PUN	:
sidot	NOM	sidot
et	KON	et
minster	NOM	minster
;	PUN	;
25	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général-de-gaulle	NOM	général-de-gaulle
,	PUN	,
à	PRP	à
ligny	NAM	ligny
,	PUN	,
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.40	NUM	@card@
.	SENT	.
11.	ABR	@ord@
).	ABR	).
admr	NOM	admr
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
mairie	NOM	mairie
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
permanence	NOM	permanence
assurée	VER:pper	assurer
par	PRP	par
le	DET:ART	le
maire	NOM	maire
et	KON	et
des	PRP:det	du
adjoints	NOM	adjoint
jusqu'à	NOM	jusqu'à
19	NUM	@card@
h.	ABR	h.
tickets	NOM	ticket
sportifs	ADJ	sportif
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
football	NOM	football
(	PUN	(
12	NUM	@card@
ans	NOM	an
et	KON	et
plus	ADV	plus
)	PUN	)
;	PUN	;
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
piscine	NOM	piscine
(	PUN	(
8	NUM	@card@
/	PUN	/
15	NUM	@card@
ans	NOM	an
)	PUN	)
;	PUN	;
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
badminton	NOM	badminton
(	PUN	(
10	NUM	@card@
ans	NOM	an
et	KON	et
plus	ADV	plus
).	ADJ	).
rendez-vous	NOM	rendez-vous
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
