chaque	PRO:IND	chaque
semaine	NOM	semaine
,	PUN	,
les	DET:ART	le
élèves	NOM	élève
du	PRP:det	du
collège	NOM	collège
saint-clément	NOM	saint-clément
bénéficient	VER:pres	bénéficier
d'	PRP	de
initiation	NOM	initiation
aux	PRP:det	au
premiers	NUM	premier
secours	NOM	secours
.	SENT	.
mme	NOM	madame
laurin	ADJ	laurin
,	PUN	,
responsable	ADJ	responsable
de	PRP	de
la	DET:ART	le
croix-rouge	NOM	croix-rouge
,	PUN	,
est	VER:pres	être
chargée	VER:pper	charger
de	PRP	de
l'	DET:ART	le
encadrement	NOM	encadrement
.	SENT	.
les	DET:ART	le
élèves	NOM	élève
apprennent	VER:pres	apprendre
les	DET:ART	le
premiers	NUM	premier
gestes	NOM	geste
pour	PRP	pour
les	DET:ART	le
accidents	NOM	accident
de	PRP	de
la	DET:ART	le
route	NOM	route
,	PUN	,
les	DET:ART	le
accidents	NOM	accident
sportifs	ADJ	sportif
ou	KON	ou
domestiques	ADJ	domestique
.	SENT	.
protéger	VER:infi	protéger
,	PUN	,
alerter	VER:infi	alerter
et	KON	et
rassurer	VER:infi	rassurer
sont	VER:pres	être
les	DET:ART	le
premiers	NOM	premier
réflexes	ADJ	réflexe
à	PRP	à
adopter	VER:infi	adopter
.	SENT	.
une	DET:ART	un
rencontre	NOM	rencontre
particulièrement	ADV	particulièrement
bénéfique	ADJ	bénéfique
.	SENT	.
