chaque	PRO:IND	chaque
jour	NOM	jour
,	PUN	,
110	NUM	@card@
malades	NOM	malade
ont	VER:pres	avoir
besoin	NOM	besoin
de	PRP	de
sang	NOM	sang
;	PUN	;
250	NUM	@card@
poches	NOM	poche
de	PRP	de
sang	NOM	sang
sont	VER:pres	être
nécessaires	ADJ	nécessaire
pour	PRP	pour
assurer	VER:infi	assurer
le	DET:ART	le
traitement	NOM	traitement
des	PRP:det	du
malades	NOM	malade
qui	PRO:REL	qui
dépendent	VER:pres	dépendre
de	PRP	de
son	DET:POS	son
activité	NOM	activité
.	SENT	.
l'	DET:ART	le
établissement	NOM	établissement
français	ADJ	français
du	PRP:det	du
sang	NOM	sang
lorraine-champagne	NOM	lorraine-champagne
organise	VER:pres	organiser
une	DET:ART	un
collecte	NOM	collecte
le	DET:ART	le
vendredi	NOM	vendredi
14	NUM	@card@
février	NOM	février
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
maison	NOM	maison
commune	ADJ	commun
.	SENT	.
