pendant	PRP	pendant
les	DET:ART	le
vacances	NOM	vacance
d'	PRP	de
hiver	NOM	hiver
,	PUN	,
depuis	PRP	depuis
le	DET:ART	le
8	NUM	@card@
février	NOM	février
et	KON	et
jusqu'au	NOM	jusqu'au
9	NUM	@card@
mars	NOM	mars
,	PUN	,
les	DET:ART	le
hautes-mynes	NOM	hautes-mynes
du	PRP:det	du
thillot	NOM	thillot
sont	VER:pres	être
ouvertes	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
.	SENT	.
visite	NOM	visite
guidée	VER:pper	guider
de	PRP	de
la	DET:ART	le
mine	NOM	mine
:	PUN	:
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
visite	NOM	visite
supplémentaire	ADJ	supplémentaire
à	PRP	à
15	NUM	@card@
h	ABR	heure
15	NUM	@card@
les	DET:ART	le
jours	NOM	jour
très	ADV	très
fréquentés	VER:pper	fréquenter
.	SENT	.
autres	ADJ	autre
horaires	NOM	horaire
possibles	ADJ	possible
,	PUN	,
le	DET:ART	le
matin	NOM	matin
et	KON	et
après	PRP	après
18	NUM	@card@
h	ABR	heure
,	PUN	,
sur	PRP	sur
réservation	NOM	réservation
à	PRP	à
partir	VER:infi	partir
de	PRP	de
six	NUM	six
personnes	NOM	personne
.	SENT	.
deux	NUM	deux
parcours	NOM	parcours
au	PRP:det	au
choix	NOM	choix
:	PUN	:
avec	PRP	avec
ou	KON	ou
sans	PRP	sans
la	DET:ART	le
galerie	NOM	galerie
de	PRP	de
la	DET:ART	le
rouge-montagne	NOM	rouge-montagne
.	SENT	.
découverte	NOM	découverte
des	PRP:det	du
galeries	NOM	galerie
,	PUN	,
puits	NOM	puits
,	PUN	,
haldes	NOM	haldes
,	PUN	,
voies	NOM	voie
de	PRP	de
roulage	NOM	roulage
,	PUN	,
pompes	NOM	pompe
...	PUN	...
un	DET:ART	un
kilomètre	NOM	kilomètre
à	PRP	à
1,5	NUM	@card@
kilomètre	NOM	kilomètre
de	PRP	de
marche	NOM	marche
,	PUN	,
60	NUM	@card@
à	PRP	à
170	NUM	@card@
mètres	NOM	mètre
de	PRP	de
galerie	NOM	galerie
.	SENT	.
casques	NOM	casque
et	KON	et
éclairage	NOM	éclairage
fournis	VER:pper	fournir
.	SENT	.
prévoir	VER:infi	prévoir
de	PRP	de
bonnes	ADJ	bon
chaussures	NOM	chaussure
.	SENT	.
durée	NOM	durée
des	PRP:det	du
visites	NOM	visite
guidées	VER:pper	guider
:	PUN	:
une	DET:ART	un
heure	NOM	heure
trente	NUM	trente
à	PRP	à
deux	NUM	deux
heures	NOM	heure
.	SENT	.
rendez-vous	NOM	rendez-vous
et	KON	et
inscription	NOM	inscription
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
hautes-mynes	NOM	hautes-mynes
.	SENT	.
visite	NOM	visite
de	PRP	de
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
hautes-mynes	NOM	hautes-mynes
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
le	DET:ART	le
complément	NOM	complément
indispensable	ADJ	indispensable
à	PRP	à
la	DET:ART	le
visite	NOM	visite
de	PRP	de
la	DET:ART	le
mine	NOM	mine
:	PUN	:
reconstitutions	NOM	reconstitution
de	PRP	de
galeries	NOM	galerie
,	PUN	,
matériel	ADJ	matériel
d'	PRP	de
époque	NOM	époque
,	PUN	,
maquettes	NOM	maquette
,	PUN	,
vidéos	NOM	vidéo
,	PUN	,
reproductions	NOM	reproduction
d'	PRP	de
archives	NOM	archives
.	SENT	.
durée	VER:pper	durer
de	PRP	de
la	DET:ART	le
visite	NOM	visite
:	PUN	:
environ	PRP	environ
trois	NUM	trois
quarts	NOM	quart
d'	PRP	de
heure	NOM	heure
.	SENT	.
tarifs	NOM	tarif
:	PUN	:
visite	NOM	visite
guidée	VER:pper	guider
du	PRP:det	du
site	NOM	site
minier	ADJ	minier
et	KON	et
de	PRP	de
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
hautes-mynes	NOM	hautes-mynes
,	PUN	,
5	NUM	@card@
euros	NOM	euro
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
et	KON	et
2,50	NUM	@card@
euros	NOM	euro
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
de	PRP	de
6	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
.	SENT	.
avec	PRP	avec
la	DET:ART	le
rouge-montagne	NOM	rouge-montagne
:	PUN	:
7	NUM	@card@
euros	NOM	euro
adultes	ADJ	adulte
et	KON	et
4	NUM	@card@
euros	NOM	euro
enfants	NOM	enfant
.	SENT	.
maison	NOM	maison
des	PRP:det	du
hautes-mynes	NOM	hautes-mynes
seule	ADJ	seul
:	PUN	:
2,50	NUM	@card@
euros	NOM	euro
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
et	KON	et
1,25	NUM	@card@
euros	NOM	euro
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
.	SENT	.
renseignements	NOM	renseignement
et	KON	et
réservations	NOM	réservation
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
25.03	NUM	@card@
.	SENT	.
33	NUM	@card@
les	DET:ART	le
hautes-mynes	NOM	hautes-mynes
,	PUN	,
place	NOM	place
de	PRP	de
la	DET:ART	le
gare	NOM	gare
,	PUN	,
88160	NUM	@card@
le	DET:ART	le
thillot	NOM	thillot
.	SENT	.
