c'	PRO:DEM	ce
est	VER:pres	être
un	NUM	un
avec	PRP	avec
un	DET:ART	un
pincement	NOM	pincement
au	PRP:det	au
c	NOM	c
	ADJ	
ur	VER:simp	ur
que	KON	que
nous	PRO:PER	nous
venons	VER:pres	venir
d'	PRP	de
apprendre	VER:infi	apprendre
le	DET:ART	le
décès	NOM	décès
de	PRP	de
marguerite	NOM	marguerite
gallois	ADJ	gallois
,	PUN	,
survenu	VER:pper	survenir
mercredi	NOM	mercredi
soir	NOM	soir
,	PUN	,
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
de	PRP	de
bar-le-duc	NOM	bar-le-duc
,	PUN	,
dans	PRP	dans
sa	DET:POS	son
95	NUM	@card@
e	NOM	e
année	NOM	année
.	SENT	.
marguerite	NOM	marguerite
gallois	ADJ	gallois
née	VER:pper	naître
bonnerave	NOM	bonnerave
avait	VER:impf	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
le	DET:ART	le
12	NUM	@card@
février	NOM	février
1908	NUM	@card@
à	PRP	à
laheycourt	NOM	laheycourt
,	PUN	,
où	PRO:REL	où
elle	PRO:PER	elle
a	VER:pres	avoir
passé	VER:pper	passer
toute	PRO:IND	tout
sa	DET:POS	son
jeunesse	NOM	jeunesse
.	SENT	.
en	PRP	en
septembre	NOM	septembre
1927	NUM	@card@
elle	PRO:PER	elle
épouse	VER:pres	épouser
camille	NOM	camille
gallois	ADJ	gallois
qui	PRO:REL	qui
exerce	VER:pres	exercer
le	DET:ART	le
métier	NOM	métier
de	PRP	de
charron	NOM	charron
.	SENT	.
de	PRP	de
leur	DET:POS	leur
union	NOM	union
naissent	VER:pres	naître
trois	NUM	trois
enfants	NOM	enfant
:	PUN	:
charles	NOM	charles
,	PUN	,
ginette	NOM	ginette
et	KON	et
jean	NOM	jean
qui	PRO:REL	qui
,	PUN	,
à	PRP	à
leur	DET:POS	leur
tour	NOM	tour
,	PUN	,
lui	PRO:PER	lui
donneront	VER:futu	donner
cinq	NUM	cinq
petits-enfants	NOM	petits-enfants
et	KON	et
huit	NUM	huit
arrière	ADJ	arrière
petits-enfants	NOM	petits-enfants
.	SENT	.
elle	PRO:PER	elle
fut	VER:simp	être
profondément	ADV	profondément
marquée	VER:pper	marquer
par	PRP	par
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
son	DET:POS	son
époux	NOM	époux
,	PUN	,
survenu	VER:pper	survenir
en	PRP	en
juin	NOM	juin
1976	NUM	@card@
elle	PRO:PER	elle
aimait	VER:impf	aimer
s'	PRO:PER	se
occuper	VER:infi	occuper
de	PRP	de
son	DET:POS	son
jardin	NOM	jardin
,	PUN	,
ainsi	KON	ainsi
que	KON	que
de	PRP	de
ses	DET:POS	son
poules	NOM	poule
et	KON	et
lapins	NOM	lapin
.	SENT	.
elle	PRO:PER	elle
était	VER:impf	être
encore	ADV	encore
très	ADV	très
alerte	ADJ	alerte
et	KON	et
adhérait	VER:impf	adhérer
au	PRP:det	au
club	NOM	club
des	PRP:det	du
«	PUN:cit	«
hirondelles	NOM	hirondelle
»,	ADJ	»,
où	PRO:REL	où
elle	PRO:PER	elle
se	PRO:PER	se
plaisait	VER:impf	plaire
beaucoup	ADV	beaucoup
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
religieuses	ADJ	religieux
seront	VER:futu	être
célébrées	VER:pper	célébrer
aujourd'hui	ADV	aujourd'hui
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
laheycourt	NOM	laheycourt
,	PUN	,
suivies	VER:pper	suivre
de	PRP	de
son	DET:POS	son
inhumation	NOM	inhumation
au	PRP:det	au
cimetière	NOM	cimetière
de	PRP	de
laheycourt	NOM	laheycourt
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
