«	PUN:cit	«
juste	ADJ	juste
à	PRP	à
temps	NOM	temps
»,	ADJ	»,
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
célérité	NOM	célérité
de	PRP	de
l'	DET:ART	le
administration	NOM	administration
,	PUN	,
le	DET:ART	le
grand	ADJ	grand
télésiège	NOM	télésiège
de	PRP	de
la	DET:ART	le
bresse	NOM	bresse
va	VER:pres	aller
ouvrir	VER:infi	ouvrir
.	SENT	.
la	DET:ART	le
construction	NOM	construction
du	PRP:det	du
télésiège	NOM	télésiège
avait	VER:impf	avoir
été	VER:pper	être
émaillée	VER:pper	émailler
d'	PRP	de
incidents	NOM	incident
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
la	DET:ART	le
nuit	NOM	nuit
du	PRP:det	du
31	NUM	@card@
octobre	NOM	octobre
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
novembre	NOM	novembre
2002	NUM	@card@
la	DET:ART	le
mise	NOM	mise
en	PRP	en
sécurité	NOM	sécurité
du	PRP:det	du
site	NOM	site
interdisant	VER:ppre	interdire
l'	DET:ART	le
accès	NOM	accès
au	PRP:det	au
public	NOM	public
avait	VER:impf	avoir
été	VER:pper	être
prise	NOM	prise
par	PRP	par
arrêté	NOM	arrêté
du	PRP:det	du
maire	NOM	maire
le	DET:ART	le
lendemain	NOM	lendemain
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
initiative	NOM	initiative
du	PRP:det	du
préfet	NOM	préfet
michel	ADJ	michel
guillot	NOM	guillot
,	PUN	,
une	DET:ART	un
réunion	NOM	réunion
de	PRP	de
concertation	NOM	concertation
,	PUN	,
réunissant	VER:ppre	réunir
les	DET:ART	le
acteurs	NOM	acteur
intéressés	ADJ	intéressé
,	PUN	,
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
à	PRP	à
epinal	NOM	epinal
le	DET:ART	le
20	NUM	@card@
décembre	NOM	décembre
,	PUN	,
afin	KON	afin
de	PRP	de
préparer	VER:infi	préparer
la	DET:ART	le
demande	NOM	demande
d'	PRP	de
autorisation	NOM	autorisation
de	PRP	de
la	DET:ART	le
mise	NOM	mise
en	PRP	en
exploitation	NOM	exploitation
du	PRP:det	du
télésiège	NOM	télésiège
.	SENT	.
cette	PRO:DEM	ce
autorisation	NOM	autorisation
relève	VER:pres	relever
de	PRP	de
la	DET:ART	le
seule	ADJ	seul
responsabilité	NOM	responsabilité
du	PRP:det	du
maire	NOM	maire
,	PUN	,
mais	KON	mais
après	PRP	après
avis	NOM	avis
conforme	ADJ	conforme
du	PRP:det	du
préfet	NOM	préfet
.	SENT	.
les	DET:ART	le
différents	ADJ	différent
services	NOM	service
concernés	VER:pper	concerner
par	PRP	par
l'	DET:ART	le
examen	NOM	examen
de	PRP	de
cette	PRO:DEM	ce
demande	NOM	demande
d'	PRP	de
autorisation	NOM	autorisation
ont	VER:pres	avoir
un	DET:ART	un
délai	NOM	délai
de	PRP	de
trois	NUM	trois
mois	NOM	moi|mois
pour	PRP	pour
rendre	VER:infi	rendre
leur	DET:POS	leur
avis	NOM	avis
.	SENT	.
les	DET:ART	le
travaux	NOM	travail
demandés	VER:pper	demander
ont	VER:pres	avoir
été	VER:pper	être
entrepris	VER:pper	entreprendre
conformément	ADV	conformément
aux	PRP:det	au
prescriptions	NOM	prescription
et	KON	et
terminés	VER:pper	terminer
pour	PRP	pour
fin	NOM	fin
2002	NUM	@card@
ce	PRO:DEM	ce
qui	PRO:REL	qui
a	VER:pres	avoir
permis	VER:pper	permettre
à	PRP	à
la	DET:ART	le
société	NOM	société
remy	ADJ	remy
de	PRP	de
procéder	VER:infi	procéder
aux	PRP:det	au
essais	NOM	essai
début	NOM	début
janvier	NOM	janvier
.	SENT	.
la	DET:ART	le
demande	NOM	demande
d'	PRP	de
autorisation	NOM	autorisation
de	PRP	de
mise	NOM	mise
en	PRP	en
exploitation	NOM	exploitation
a	VER:pres	avoir
été	VER:pper	être
déposée	VER:pper	déposer
le	DET:ART	le
jeudi	NOM	jeudi
9	NUM	@card@
janvier	NOM	janvier
(	PUN	(
amenant	VER:ppre	amener
le	DET:ART	le
délai	NOM	délai
de	PRP	de
réponse	NOM	réponse
au	PRP:det	au
9	NUM	@card@
avril	NOM	avril
).	ADJ	).
a	VER:pres	avoir
la	DET:ART	le
diligence	NOM	diligence
de	PRP	de
michel	NOM	michel
guillot	ADJ	guillot
,	PUN	,
une	DET:ART	un
seconde	NUM	second
réunion	NOM	réunion
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
le	DET:ART	le
lundi	NOM	lundi
13	NUM	@card@
janvier	NOM	janvier
avec	PRP	avec
les	DET:ART	le
principaux	ADJ	principal
intervenants	NOM	intervenant
,	PUN	,
pour	PRP	pour
étudier	VER:infi	étudier
la	DET:ART	le
recevabilité	NOM	recevabilité
du	PRP:det	du
dossier	NOM	dossier
et	KON	et
,	PUN	,
les	DET:ART	le
différents	ADJ	différent
services	NOM	service
l'	PRO:PER	la|le
ont	VER:pres	avoir
examiné	VER:pper	examiner
dans	PRP	dans
un	DET:ART	un
temps	NOM	temps
record	NOM	record
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
