«	PUN:cit	«
la	DET:ART	le
vie	NOM	vie
rêvée	VER:pper	rêver
d'	PRP	de
amanda	NOM	amanda
»,	VER:subi	»,
durée	VER:pper	durer
52	NUM	@card@
minutes	NOM	minute
.	SENT	.
production	NOM	production
les	DET:ART	le
films	NOM	film
du	PRP:det	du
grain	NOM	grain
de	PRP	de
sable	NOM	sable
.	SENT	.
diffusion	NOM	diffusion
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
à	PRP	à
16	NUM	@card@
h	ABR	heure
35	NUM	@card@
sur	PRP	sur
france	NOM	france
5	NUM	@card@
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
à	PRP	à
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
sur	PRP	sur
france	NOM	france
3	NUM	@card@
bourgogne-franche-comté	NOM	bourgogne-franche-comté
,	PUN	,
mardi	NOM	mardi
28	NUM	@card@
janvier	NOM	janvier
à	PRP	à
23	NUM	@card@
h	ABR	heure
15	NUM	@card@
sur	PRP	sur
france	NOM	france
3	NUM	@card@
national	NOM	national
.	SENT	.
