conformément	ADV	conformément
à	PRP	à
l'	DET:ART	le
arrêté	NOM	arrêté
préfectoral	ADJ	préfectoral
du	PRP:det	du
16	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
relatif	NOM	relatif
à	PRP	à
la	DET:ART	le
démission	NOM	démission
du	PRP:det	du
tiers	NOM	tiers
des	PRP:det	du
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
nécessaire	ADJ	nécessaire
de	PRP	de
procéder	VER:infi	procéder
à	PRP	à
une	DET:ART	un
élection	NOM	élection
complémentaire	ADJ	complémentaire
.	SENT	.
ces	PRO:DEM	ce
élections	NOM	élection
auront	VER:futu	avoir
lieu	NOM	lieu
les	DET:ART	le
12	NUM	@card@
et	KON	et
19	NUM	@card@
janvier	NOM	janvier
.	SENT	.
toute	PRO:IND	tout
personne	NOM	personne
désirant	ADJ	désirant
s'	PRO:PER	se
investir	VER:infi	investir
dans	PRP	dans
la	DET:ART	le
vie	NOM	vie
municipale	ADJ	municipal
peut	VER:pres	pouvoir
présenter	VER:infi	présenter
sa	DET:POS	son
candidature	NOM	candidature
selon	PRP	selon
les	DET:ART	le
conditions	NOM	condition
habituelles	ADJ	habituel
des	PRP:det	du
élections	NOM	élection
municipales	ADJ	municipal
.	SENT	.
pour	PRP	pour
tout	PRO:IND	tout
renseignement	NOM	renseignement
et	KON	et
candidature	NOM	candidature
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
vous	PRO:PER	vous
présenter	VER:infi	présenter
au	PRP:det	au
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
.	SENT	.
