correspondante	NOM	correspondant
:	PUN	:
anne	VER:simp	anne
richard	NOM	richard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
94.09	NUM	@card@
.	SENT	.
86	NUM	@card@
sartes	NOM	sartes
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
14	NUM	@card@
h	ABR	heure
50	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
50	NUM	@card@
rebeuville	NOM	rebeuville
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
tennis	NOM	tennis
de	PRP	de
table	NOM	table
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
jeunes	ADJ	jeune
),	NOM	),
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
adultes	ADJ	adulte
).	VER:futu	).
guichet	NOM	guichet
postal	ADJ	postal
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
40	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
40	NUM	@card@
landaville	NOM	landaville
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
circourt-sur-mouzon	NOM	circourt-sur-mouzon
:	PUN	:
atelier	NOM	atelier
de	PRP	de
peinture	NOM	peinture
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h.	ABR	h.
jainvillotte	NOM	jainvillotte
:	PUN	:
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
pompierre	NOM	pompierre
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
45	NUM	@card@
