c'	PRO:DEM	ce
est	VER:pres	être
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
que	PRO:REL	que
se	PRO:PER	se
déroulera	VER:futu	dérouler
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
le	DET:ART	le
loto	NOM	loto
de	PRP	de
l'	DET:ART	le
école	NOM	école
nicolas-ledoux	ADJ	nicolas-ledoux
.	SENT	.
organisé	VER:pper	organiser
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
et	KON	et
les	DET:ART	le
enseignants	NOM	enseignant
,	PUN	,
il	PRO:PER	il
propose	VER:pres	proposer
des	PRP:det	du
lots	NOM	lot
de	PRP	de
valeur	NOM	valeur
aux	PRP:det	au
plus	ADV	plus
chanceux	ADJ	chanceux
.	SENT	.
les	DET:ART	le
bénéfices	NOM	bénéfice
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
seront	VER:futu	être
intégralement	ADV	intégralement
affectés	VER:pper	affecter
à	PRP	à
la	DET:ART	le
coopérative	NOM	coopérative
scolaire	ADJ	scolaire
.	SENT	.
ouverture	NOM	ouverture
des	PRP:det	du
portes	NOM	porte
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
appel	NOM	appel
du	PRP:det	du
premier	NUM	premier
numéro	NOM	numéro
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
précises	ADJ	précis
.	SENT	.
buffet	NOM	buffet
et	KON	et
buvette	NOM	buvette
assurés	VER:pper	assurer
sur	PRP	sur
place	NOM	place
.	SENT	.
