correspondante	NOM	correspondant
:	PUN	:
anne	VER:simp	anne
richard	NOM	richard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
94.09	NUM	@card@
.	SENT	.
86	NUM	@card@
certilleux	NOM	certilleux
:	PUN	:
mairie	NOM	mairie
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
16	NUM	@card@
h	ABR	heure
05	NUM	@card@
à	PRP	à
17	NUM	@card@
h.	ABR	h.
jainvillotte	NOM	jainvillotte
:	PUN	:
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h.	ABR	h.
pompierre	NOM	pompierre
:,	ADJ	:,
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
45	NUM	@card@
rebeuville	NOM	rebeuville
:	PUN	:
comité	NOM	comité
des	PRP:det	du
jeunes	NOM	jeune
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
sartes	NOM	sartes
:	PUN	:
guichet	NOM	guichet
postal	ADJ	postal
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
50	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
50	NUM	@card@
tilleux	NOM	tilleux
:	PUN	:
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h.	ABR	h.
