c'	PRO:DEM	ce
était	VER:impf	être
tout	ADV	tout
simple	ADJ	simple
,	PUN	,
gratuit	ADJ	gratuit
,	PUN	,
mais	KON	mais
il	PRO:PER	il
fallait	VER:impf	falloir
y	PRO:PER	y
penser	VER:infi	penser
.	SENT	.
l'	DET:ART	le
association	NOM	association
de	PRP	de
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
du	PRP:det	du
rpi	NOM	rpi
des	PRP:det	du
trois	NUM	trois
villages	NOM	village
audeux	ADJ	audeux
,	PUN	,
chaucenne	ADJ	chaucenne
,	PUN	,
noironte	NOM	noironte
a	VER:pres	avoir
proposé	VER:pper	proposer
aux	PRP:det	au
enfants	NOM	enfant
de	PRP	de
se	PRO:PER	se
réunir	VER:infi	réunir
un	DET:ART	un
dimanche	NOM	dimanche
après-midi	NOM	après-midi
en	PRP	en
apportant	VER:ppre	apporter
leurs	DET:POS	leur
jeux	NOM	jeu
de	PRP	de
société	NOM	société
,	PUN	,
les	DET:ART	le
traditionnels	ADJ	traditionnel
ou	KON	ou
les	DET:ART	le
tout	ADV	tout
neufs	ADJ	neuf
,	PUN	,
apportés	VER:pper	apporter
par	PRP	par
le	DET:ART	le
père	NOM	père
noël	NOM	noël
.	SENT	.
une	DET:ART	un
mise	NOM	mise
en	PRP	en
commun	NOM	commun
s'	PRO:PER	se
est	VER:pres	être
tout	ADV	tout
naturellement	ADV	naturellement
effectuée	VER:pper	effectuer
,	PUN	,
mise	VER:pper	mettre
en	PRP	en
commun	NOM	commun
des	PRP:det	du
supports	NOM	support
,	PUN	,
mais	KON	mais
aussi	ADV	aussi
des	PRP:det	du
compétences	NOM	compétence
.	SENT	.
autour	ADV	autour
des	PRP:det	du
tables	NOM	table
,	PUN	,
des	PRP:det	du
parents	NOM	parent|parents
se	PRO:PER	se
sont	VER:pres	être
mis	VER:pper	mettre
au	PRP:det	au
«	PUN:cit	«
gaffe	NOM	gaffe
le	DET:ART	le
loup	NOM	loup
»	PUN:cit	»
ou	KON	ou
au	PRP:det	au
«	PUN:cit	«
bluffer	VER:infi	bluffer
»,	NOM	»,
d'	PRP	de
autres	ADJ	autre
ont	VER:pres	avoir
initié	VER:pper	initier
les	DET:ART	le
adolescents	NOM	adolescent
au	PRP:det	au
tarot	NOM	tarot
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
ont	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
monopoly	NOM	monopoly
aux	PRP:det	au
petits	NOM	petit
,	PUN	,
et	KON	et
un	DET:ART	un
scrabble	NOM	scrabble
s'	PRO:PER	se
est	VER:pres	être
organisé	VER:pper	organiser
entre	PRP	entre
adultes	NOM	adulte
tandis	KON	tandis
que	KON	que
petits	ADJ	petit
chevaux	NOM	cheval
et	KON	et
dominos	NOM	domino
ont	VER:pres	avoir
réuni	VER:pper	réunir
différentes	ADJ	différent
générations	NOM	génération
.	SENT	.
l'	DET:ART	le
après-midi	NOM	après-midi
s'	PRO:PER	se
est	VER:pres	être
terminée	VER:pper	terminer
par	PRP	par
un	DET:ART	un
goûter	NOM	goûter
.	SENT	.
