a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
,	PUN	,
les	DET:ART	le
membres	NOM	membre
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
rencontreront	VER:futu	rencontrer
les	DET:ART	le
responsables	ADJ	responsable
d'	PRP	de
associations	NOM	association
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
mercredi	NOM	mercredi
15	NUM	@card@
janvier	NOM	janvier
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
