«	PUN:cit	«
pour	PRP	pour
eux	PRO:PER	eux
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
rendez-vous	NOM	rendez-vous
le	DET:ART	le
plus	ADV	plus
huppé	ADJ	huppé
auquel	PRO:REL	auquel
ils	PRO:PER	il
puissent	VER:subp	pouvoir
participer	VER:infi	participer
,	PUN	,
car	KON	car
en	PRP	en
minimes	ADJ	minime
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
existe	VER:pres	exister
pas	ADV	pas
de	PRP	de
championnat	NOM	championnat
de	PRP	de
france	NOM	france
»,	ADJ	»,
explique	VER:pres	expliquer
gilles	NOM	gille
billi	NOM	billi
,	PUN	,
entraîneur	NOM	entraîneur
au	PRP:det	au
fcsmo	NOM	fcsmo
.	SENT	.
il	PRO:PER	il
peut	VER:pres	pouvoir
être	VER:infi	être
fier	VER:infi	fier
de	PRP	de
ses	DET:POS	son
poulains	NOM	poulain
,	PUN	,
gilles	NOM	gille
.	SENT	.
cinq	NUM	cinq
d'	PRP	de
entre	PRP	entre
eux	PRO:PER	eux
vont	VER:pres	aller
porter	VER:infi	porter
les	DET:ART	le
couleurs	NOM	couleur
du	PRP:det	du
club	NOM	club
au	PRP:det	au
plus	ADV	plus
haut	ADJ	haut
niveau	NOM	niveau
national	ADJ	national
.	SENT	.
une	DET:ART	un
place	NOM	place
méritée	VER:pper	mériter
,	PUN	,
en	PRP	en
regard	NOM	regard
de	PRP	de
leur	DET:POS	leur
assiduité	NOM	assiduité
et	KON	et
du	PRP:det	du
travail	NOM	travail
accompli	VER:pper	accomplir
au	PRP:det	au
fil	NOM	fil
des	PRP:det	du
mois	NOM	moi|mois
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
tous	PRO:IND	tout
démarré	VER:pper	démarrer
la	DET:ART	le
pratique	NOM	pratique
du	PRP:det	du
judo	NOM	judo
dès	PRP	dès
leur	PRO:PER	lui
plus	ADV	plus
jeune	ADJ	jeune
âge	NOM	âge
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
club	NOM	club
.	SENT	.
trois	NUM	trois
sont	VER:pres	être
actuellement	ADV	actuellement
en	PRP	en
classe	NOM	classe
départementale	ADJ	départemental
(	PUN	(
autrement	ADV	autrement
dit	VER:pper	dire
en	PRP	en
sport	NOM	sport
études	NOM	étude
)	PUN	)
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
thibaud	ADJ	thibaud
monnier	NOM	monnier
,	PUN	,
thomas	NOM	thomas
wendé	ADJ	wendé
et	KON	et
son	DET:POS	son
frère	NOM	frère
nicolas	VER:simp	nicolas
.	SENT	.
pour	PRP	pour
arriver	VER:infi	arriver
à	PRP	à
ce	PRO:DEM	ce
stade	NOM	stade
de	PRP	de
la	DET:ART	le
compétition	NOM	compétition
,	PUN	,
il	PRO:PER	il
leur	PRO:PER	lui
a	VER:pres	avoir
fallu	VER:pper	falloir
passer	VER:infi	passer
par	PRP	par
le	DET:ART	le
stade	NOM	stade
des	PRP:det	du
qualifications	NOM	qualification
départementales	ADJ	départemental
puis	ADV	puis
régionales	ADJ	régional
.	SENT	.
nicolas	NOM	nicolas
,	PUN	,
thibaud	NOM	thibaud
et	KON	et
leur	DET:POS	leur
copain	NOM	copain
régis	VER:pper	régir
saison	NOM	saison
sont	VER:pres	être
champions	NOM	champion
du	PRP:det	du
doubs	NOM	doubs
et	KON	et
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
d'	PRP	de
excellents	ADJ	excellent
classements	NOM	classement
en	PRP	en
région	NOM	région
.	SENT	.
thomas	NOM	thomas
s'	PRO:PER	se
est	VER:pres	être
classé	VER:pper	classer
3	NUM	@card@
e	NOM	e
du	PRP:det	du
doubs	NOM	doubs
,	PUN	,
aurélien	ADJ	aurélien
cordani	NOM	cordani
est	VER:pres	être
arrivé	VER:pper	arriver
5	NUM	@card@
e	NOM	e
en	PRP	en
départemental	ADJ	départemental
et	KON	et
second	NOM	second
en	PRP	en
ligue	NOM	ligue
.	SENT	.
tous	PRO:IND	tout
les	DET:ART	le
cinq	NOM	cinq
défendront	VER:futu	défendre
leurs	DET:POS	leur
chances	NOM	chance
devant	PRP	devant
l'	DET:ART	le
élite	NOM	élite
nationale	ADJ	national
le	DET:ART	le
16	NUM	@card@
février	NOM	février
à	PRP	à
epinal	NOM	epinal
.	SENT	.
en	PRO:PER	en
attendant	VER:ppre	attendre
,	PUN	,
ils	PRO:PER	il
s'	PRO:PER	se
entraînent	VER:pres	entraîner
chaque	PRO:IND	chaque
semaine	NOM	semaine
au	PRP:det	au
gymnase	NOM	gymnase
pajol	ADJ	pajol
,	PUN	,
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
police	NOM	police
,	PUN	,
les	DET:ART	le
mardis	NOM	mardi
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
gilles	NOM	gille
billi	NOM	billi
,	PUN	,
et	KON	et
le	DET:ART	le
jeudi	NOM	jeudi
(	PUN	(
même	ADJ	même
heure	NOM	heure
)	PUN	)
avec	PRP	avec
loïc	ADJ	loïc
laurençot	NOM	laurençot
.	SENT	.
