m.	ABR	m.
jean-louis	NOM	jean-louis
maudieu	VER:subi	maudieu
75	NUM	@card@
rue	NOM	rue
des	PRP:det	du
vannes	NOM	vanne|vannes
54340	NUM	@card@
pompey	NOM	pompey
.	SENT	.
quel	PRO:REL	quel
que	KON	que
soit	KON	soit
le	DET:ART	le
flou	NOM	flou
artistiquement	ADV	artistiquement
entretenu	VER:pper	entretenir
du	PRP:det	du
côté	NOM	côté
de	PRP	de
la	DET:ART	le
maison-blanche	NOM	maison-blanche
sur	PRP	sur
le	DET:ART	le
déclenchement	NOM	déclenchement
d'	PRP	de
une	DET:ART	un
action	NOM	action
militaire	ADJ	militaire
contre	PRP	contre
l'	DET:ART	le
irak	NOM	irak
,	PUN	,
le	DET:ART	le
fait	NOM	fait
majeur	ADJ	majeur
est	VER:pres	être
le	DET:ART	le
déploiement	NOM	déploiement
spectaculaire	ADJ	spectaculaire
et	KON	et
l'	DET:ART	le
implantation	NOM	implantation
solide	ADJ	solide
d'	PRP	de
un	DET:ART	un
dispositif	NOM	dispositif
complet	ADJ	complet
et	KON	et
puissant	ADJ	puissant
de	PRP	de
forces	NOM	force|forces
terrestres	ADJ	terrestre
,	PUN	,
aériennes	ADJ	aérien
,	PUN	,
navales	ADJ	naval
et	KON	et
logistiques	NOM	logistique
en	PRP	en
plein	ADJ	plein
centre	NOM	centre
du	PRP:det	du
moyen-orient	NOM	moyen-orient
et	KON	et
au	PRP:det	au
coeur	NOM	cœur
du	PRP:det	du
monde	NOM	monde
arabo-musulman	ADJ	arabo-musulman
.	SENT	.
par-delà	PRP	par-delà
la	DET:ART	le
croisade	NOM	croisade
contre	PRP	contre
saddam-satan	NOM	saddam-satan
et	KON	et
son	DET:POS	son
armement	NOM	armement
bricolé	VER:pper	bricoler
,	PUN	,
l'	DET:ART	le
objectif	NOM	objectif
stratégique	ADJ	stratégique
est	VER:pres	être
en	PRP	en
réalité	NOM	réalité
d'	PRP	de
affirmer	VER:infi	affirmer
la	DET:ART	le
suprématie	NOM	suprématie
de	PRP	de
l'	DET:ART	le
imperium	NOM	imperium
américain	ADJ	américain
à	PRP	à
la	DET:ART	le
source	NOM	source
même	ADJ	même
de	PRP	de
la	DET:ART	le
menace	NOM	menace
actuelle	ADJ	actuel
,	PUN	,
l'	DET:ART	le
intégrisme	NOM	intégrisme
islamique	ADJ	islamique
.	SENT	.
a	VER:pres	avoir
mi-distance	NOM	mi-distance
de	PRP	de
kaboul	NOM	kaboul
et	KON	et
ankara	NOM	ankara
,	PUN	,
entre	PRP	entre
tchétchénie	NOM	tchétchénie
et	KON	et
yemen	NOM	yemen
,	PUN	,
l'	DET:ART	le
armada	NOM	armada
navale	ADJ	naval
dans	PRP	dans
le	DET:ART	le
golfe	NOM	golfe
persique	ADJ	persique
et	KON	et
les	DET:ART	le
divisions	NOM	division
d'	PRP	de
élite	NOM	élite
dans	PRP	dans
la	DET:ART	le
péninsule	NOM	péninsule
arabique	ADJ	arabique
s'	PRO:PER	se
implantent	VER:pres	implanter
en	PRP	en
fait	NOM	fait
en	PRP	en
plein	ADJ	plein
terroir	NOM	terroir
de	PRP	de
ben	ADV	ben
laden	NOM	laden
tout	ADV	tout
autant	ADV	autant
que	KON	que
sur	PRP	sur
les	DET:ART	le
gisements	NOM	gisement
de	PRP	de
pétrole	NOM	pétrole
.	SENT	.
quant	PRP	quant
au	PRP:det	au
bien-fondé	NOM	bien-fondé
d'	PRP	de
une	DET:ART	un
offensive	NOM	offensive
,	PUN	,
si	KON	si
la	DET:ART	le
france	NOM	france
émet	VER:pres	émettre
des	PRP:det	du
réserves	NOM	réserve
mais	KON	mais
non	ADV	non
des	PRP:det	du
oppositions	NOM	opposition
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
qu'	KON	que
en	PRP	en
accord	NOM	accord
avec	PRP	avec
les	DET:ART	le
etats-unis	NOM	etats-unis
,	PUN	,
elle	PRO:PER	elle
se	PRO:PER	se
charge	VER:pres	charger
de	PRP	de
faire	VER:infi	faire
barrage	NOM	barrage
à	PRP	à
la	DET:ART	le
déstabilisation	NOM	déstabilisation
de	PRP	de
l'	DET:ART	le
afrique	NOM	afrique
noire	ADJ	noir
où	PRO:REL	où
est	VER:pres	être
observée	VER:pper	observer
ou	KON	ou
soupçonnée	VER:pper	soupçonner
la	DET:ART	le
main	NOM	main
de	PRP	de
kadhafi	NOM	kadhafi
,	PUN	,
de	PRP	de
bangui	NOM	bangui
à	PRP	à
bouaké	NOM	bouaké
,	PUN	,
en	PRO:PER	en
rafistolant	VER:ppre	rafistoler
à	PRP	à
la	DET:ART	le
hâte	NOM	hâte
les	DET:ART	le
pots	NOM	pot
cassés	VER:pper	casser
ivoiriens	ADJ	ivoirien
.	SENT	.
besogne	NOM	besogne
à	PRP	à
la	DET:ART	le
mesure	NOM	mesure
d'	PRP	de
un	DET:ART	un
vassal	NOM	vassal
parfois	ADV	parfois
turbulent	ADJ	turbulent
mais	KON	mais
néanmoins	ADV	néanmoins
utile	ADJ	utile
,	PUN	,
aux	PRP:det	au
moyens	NOM	moyen
infiniment	ADV	infiniment
moindres	ADJ	moindre
,	PUN	,
mais	KON	mais
stratégie	NOM	stratégie
globale	ADJ	global
et	KON	et
planétaire	ADJ	planétaire
dont	PRO:REL	dont
les	PRO:PER	la|le
dessous	ADV	dessous
se	PRO:PER	se
rejoignent	VER:pres	rejoindre
.	SENT	.
