c'	PRO:DEM	ce
est	VER:pres	être
politiquement	ADV	politiquement
correct	ADJ	correct
et	KON	et
financièrement	ADV	financièrement
plus	ADV	plus
soft	NOM	soft
.	SENT	.
la	DET:ART	le
facture	NOM	facture
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
,	PUN	,
payable	ADJ	payable
au	PRP:det	au
semestre	NOM	semestre
,	PUN	,
fait	VER:pres	faire
avaler	VER:infi	avaler
plus	ADV	plus
facilement	ADV	facilement
les	DET:ART	le
hausses	NOM	hausse
importantes	ADJ	important
intervenues	VER:pper	intervenir
depuis	PRP	depuis
un	DET:ART	un
an	NOM	an
.	SENT	.
depuis	PRP	depuis
que	KON	que
la	DET:ART	le
commune	NOM	commune
a	VER:pres	avoir
délégué	VER:pper	déléguer
sa	DET:POS	son
compétence	NOM	compétence
''	ADJ	''
ordures	NOM	ordure
ménagères'	ADJ	ménagères'
'	PUN	'
à	PRP	à
feu	ADJ	feu
le	DET:ART	le
sivom	NOM	sivom
du	PRP:det	du
grand	ADJ	grand
couronné	VER:pper	couronner
devenu	VER:pper	devenir
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
dernier	ADJ	dernier
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
un	DET:ART	un
an	NOM	an
,	PUN	,
christian	NOM	christian
guillaume	NOM	guillaume
,	PUN	,
alors	ADV	alors
président	NOM	président
du	PRP:det	du
sivom	NOM	sivom
,	PUN	,
avait	VER:impf	avoir
assuré	VER:pper	assurer
les	DET:ART	le
élus	NOM	élu
que	KON	que
la	DET:ART	le
redevance	NOM	redevance
par	PRP	par
habitant	NOM	habitant
et	KON	et
par	PRP	par
an	NOM	an
,	PUN	,
37,50	NUM	@card@
	NOM	
(	PUN	(
246	NUM	@card@
f	NOM	f
)	PUN	)
n'	ADV	ne
augmenterait	VER:cond	augmenter
pas	ADV	pas
,	PUN	,
bien	ADV	bien
que	KON	que
le	DET:ART	le
contrat	NOM	contrat
de	PRP	de
collecte	NOM	collecte
et	KON	et
de	PRP	de
traitement	NOM	traitement
des	PRP:det	du
ordures	NOM	ordure
ménagères	NOM	ménager|ménagère
vînt	VER:subi	venir
à	PRP	à
expiration	NOM	expiration
en	PRP	en
août	NOM	août
dernier	ADJ	dernier
.	SENT	.
la	DET:ART	le
promesse	NOM	promesse
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
tenue	VER:pper	tenir
par	PRP	par
le	DET:ART	le
même	ADJ	même
président	NOM	président
,	PUN	,
passé	VER:pper	passer
à	PRP	à
la	DET:ART	le
tête	NOM	tête
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
,	PUN	,
puisque	KON	puisque
la	DET:ART	le
redevance	NOM	redevance
a	VER:pres	avoir
été	VER:pper	être
de	PRP	de
50,12	NUM	@card@
	NOM	
(	PUN	(
328,75	NUM	@card@
f	NOM	f
)	PUN	)
en	PRP	en
2002	NUM	@card@
et	KON	et
qu'	KON	que
une	DET:ART	un
hausse	NOM	hausse
de	PRP	de
6	NUM	@card@
	NOM	
est	VER:pres	être
intervenue	VER:pper	intervenir
entre	PRP	entre
les	DET:ART	le
deux	NUM	deux
semestres	NOM	semestre
.	SENT	.
les	DET:ART	le
habitants	NOM	habitant
paient	VER:pres	payer
donc	ADV	donc
très	ADV	très
cher	ADV	cher
leur	DET:POS	leur
entrée	NOM	entrée
dans	PRP	dans
la	DET:ART	le
nouvelle	ADJ	nouveau
structure	NOM	structure
pour	PRP	pour
un	DET:ART	un
service	NOM	service
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
augmenté	VER:pper	augmenter
en	PRP	en
qualité	NOM	qualité
.	SENT	.
quant	PRP	quant
à	PRP	à
la	DET:ART	le
facture	NOM	facture
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
qu'	PRO:REL	que
ils	PRO:PER	il
ont	VER:pres	avoir
été	VER:pper	être
obligés	VER:pper	obliger
d'	PRP	de
intégrer	VER:infi	intégrer
,	PUN	,
ses	DET:POS	son
coûts	NOM	coût
sont	VER:pres	être
jusqu'ici	VER:pper	jusqu'ici
restés	VER:pper	rester
très	ADV	très
vagues	ADJ	vague
.	SENT	.
il	PRO:PER	il
en	PRO:PER	en
est	VER:pres	être
de	PRP	de
même	ADV	même
pour	PRP	pour
le	DET:ART	le
sivu	NOM	sivu
,	PUN	,
créé	VER:pper	créer
pour	PRP	pour
la	DET:ART	le
gestion	NOM	gestion
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
et	KON	et
dont	PRO:REL	dont
les	DET:ART	le
statuts	NOM	statut
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
encore	ADV	encore
connus	VER:pper	connaître
.	SENT	.
