déchetterie	NOM	déchetterie
:	PUN	:
ce	PRO:DEM	ce
lundi	NOM	lundi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
mercredi	NOM	mercredi
et	KON	et
vendredi	NOM	vendredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
:	PUN	:
le	DET:ART	le
secrétariat	NOM	secrétariat
est	VER:pres	être
ouvert	VER:pper	ouvrir
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
67.13	NUM	@card@
.	SENT	.
74.	ABR	@ord@
).	ABR	).
gymnastique	NOM	gymnastique
douce	ADJ	doux
:	PUN	:
séance	NOM	séance
animée	VER:pper	animer
par	PRP	par
laurent	VER:pres	laurer
,	PUN	,
ce	PRO:DEM	ce
mardi	NOM	mardi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
aide	NOM	aide
à	PRP	à
domicile	NOM	domicile
:	PUN	:
une	DET:ART	un
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
admr	NOM	admr
aura	VER:futu	avoir
lieu	NOM	lieu
lundi	NOM	lundi
,	PUN	,
mardi	NOM	mardi
,	PUN	,
jeudi	NOM	jeudi
et	KON	et
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
centre	NOM	centre
de	PRP	de
soins	NOM	soin
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
67.29	NUM	@card@
.	SENT	.
62.	ABR	@ord@
).	ABR	).
mairie	NOM	mairie
:	PUN	:
secrétariat	NOM	secrétariat
ouvert	VER:pper	ouvrir
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
sauf	PRP	sauf
le	DET:ART	le
mercredi	NOM	mercredi
où	PRO:REL	où
il	PRO:PER	il
ferme	VER:pres	fermer
à	PRP	à
17	NUM	@card@
h	ABR	heure
(	PUN	(
03.84	NUM	@card@
.	SENT	.
67.14	NUM	@card@
.	SENT	.
30.	ABR	@ord@
).	ABR	).
correspondance	NOM	correspondance
er	ADJ	er
:	PUN	:
antoine	NOM	antoine
et	KON	et
bertrand	NOM	bertrand
montenot	NOM	montenot
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
67.18	NUM	@card@
.	SENT	.
29	NUM	@card@
ou	KON	ou
03.84	NUM	@card@
.	SENT	.
67.37	NUM	@card@
.	SENT	.
36	NUM	@card@
)	PUN	)
avec	PRP	avec
le	DET:ART	le
concours	NOM	concours
de	PRP	de
rené	VER:pper	renaître
lejay	NOM	lejay
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
67.05	NUM	@card@
.	SENT	.
33.	ABR	@ord@
).	ABR	).
