c'	PRO:DEM	ce
est	VER:pres	être
samedi	NOM	samedi
soir	NOM	soir
que	KON	que
l'	DET:ART	le
association	NOM	association
culturelle	ADJ	culturel
et	KON	et
loisirs	NOM	loisir
de	PRP	de
bretagne	NOM	bretagne
organisait	VER:impf	organiser
sa	DET:POS	son
première	NUM	premier
soirée	NOM	soirée
crêpes	NOM	crêpe
.	SENT	.
près	ADV	près
de	PRP	de
50	NUM	@card@
personnes	NOM	personne
ont	VER:pres	avoir
répondu	VER:pper	répondre
présentes	ADJ	présent
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
pour	PRP	pour
déguster	VER:infi	déguster
la	DET:ART	le
spécialité	NOM	spécialité
traditionnelle	ADJ	traditionnel
de	PRP	de
la	DET:ART	le
chandeleur	NOM	chandeleur
:	PUN	:
les	DET:ART	le
crêpes	NOM	crêpe
.	SENT	.
le	DET:ART	le
principe	NOM	principe
retenu	ADJ	retenu
était	VER:impf	être
un	DET:ART	un
droit	NOM	droit
d'	PRP	de
entrée	NOM	entrée
par	PRP	par
personne	NOM	personne
et	KON	et
des	PRP:det	du
crêpes	NOM	crêpe
salées	ADJ	salé
et	KON	et
sucrées	VER:pper	sucrer
...	PUN	...
à	PRP	à
volonté	NOM	volonté
.	SENT	.
l'	DET:ART	le
association	NOM	association
compte	VER:pres	compter
bien	ADV	bien
renouveler	VER:infi	renouveler
l'	DET:ART	le
expérience	NOM	expérience
l'	DET:ART	le
année	NOM	année
prochaine	ADJ	prochain
.	SENT	.
en	PRO:PER	en
attendant	VER:ppre	attendre
,	PUN	,
elle	PRO:PER	elle
convie	VER:pres	convier
tous	PRO:IND	tout
les	DET:ART	le
férus	ADJ	féru
de	PRP	de
cartes	NOM	carte
à	PRP	à
la	DET:ART	le
grande	ADJ	grand
soirée	NOM	soirée
belote	NOM	belote
qui	PRO:REL	qui
se	PRO:PER	se
tiendra	VER:futu	tenir
le	DET:ART	le
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mars	NOM	mars
prochain	ADJ	prochain
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
