ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
séance	NOM	séance
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
en	PRP	en
mairie	NOM	mairie
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
tournoi	NOM	tournoi
intercomités	VER:pper	intercomités
de	PRP	de
basket	NOM	basket
au	PRP:det	au
cosec	NOM	cosec
et	KON	et
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
roger-boileau	ADJ	roger-boileau
.	SENT	.
a	VER:pres	avoir
11	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
chorale	NOM	chorale
de	PRP	de
la	DET:ART	le
ronde	NOM	ronde
des	PRP:det	du
âges	NOM	âge
au	PRP:det	au
rond-caillou	NOM	rond-caillou
.	SENT	.
a	VER:pres	avoir
partir	VER:infi	partir
de	PRP	de
12	NUM	@card@
h	ABR	heure
,	PUN	,
repas	NOM	repas
moules-frites	NOM	moules-frites
de	PRP	de
la	DET:ART	le
commission	NOM	commission
de	PRP	de
l'	DET:ART	le
animation	NOM	animation
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
