il	PRO:PER	il
était	VER:impf	être
12	NUM	@card@
h	ABR	heure
20	NUM	@card@
hier	NOM	hier
quand	KON	quand
un	DET:ART	un
automobiliste	NOM	automobiliste
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
rapide	ADJ	rapide
,	PUN	,
à	PRP	à
hauteur	NOM	hauteur
d'	PRP	de
igney	ADJ	igney
.	SENT	.
ses	DET:POS	son
blessures	NOM	blessure
ont	VER:pres	avoir
nécessité	VER:pper	nécessiter
une	DET:ART	un
désincarcération	NOM	désincarcération
avant	PRP	avant
un	DET:ART	un
transport	NOM	transport
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
d'	PRP	de
epinal	NOM	epinal
.	SENT	.
