l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
alain	NOM	alain
jeanson	NOM	jeanson
,	PUN	,
tél-fax	NOM	tél-fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.78	NUM	@card@
.	SENT	.
48	NUM	@card@
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
:	PUN	:
9	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
45	NUM	@card@
secrétariat	NOM	secrétariat
du	PRP:det	du
doyenné	NOM	doyenné
:	PUN	:
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.71	NUM	@card@
.	SENT	.
06	NUM	@card@
en	PRP	en
mairie	NOM	mairie
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
réunion	NOM	réunion
commune	ADJ	commun
,	PUN	,
propriétaires	NOM	propriétaire
forestiers	ADJ	forestier
,	PUN	,
centre	NOM	centre
régional	ADJ	régional
de	PRP	de
la	DET:ART	le
propriété	NOM	propriété
forestière	ADJ	forestier
;	PUN	;
(	PUN	(
création	NOM	création
d'	PRP	de
une	DET:ART	un
courte	ADJ	court
desservant	NOM	desservant
les	DET:ART	le
parcelles	NOM	parcelle
forestières	ADJ	forestier
).	ADJ	).
