ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
les	DET:ART	le
parents	NOM	parent|parents
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
pour	PRP	pour
une	DET:ART	un
réunion	NOM	réunion
préparatoire	ADJ	préparatoire
pour	PRP	pour
le	DET:ART	le
loto	NOM	loto
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
,	PUN	,
dimanche	NOM	dimanche
26	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h.	ABR	h.
après	PRP	après
avoir	VER:infi	avoir
mis	VER:pper	mettre
en	PRP	en
commun	NOM	commun
les	DET:ART	le
lots	NOM	lot
donnés	VER:pper	donner
par	PRP	par
les	DET:ART	le
commerçants	NOM	commerçant
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
convenu	VER:pper	convenir
d'	PRP	de
une	DET:ART	un
deuxième	NUM	deuxième
préparation	NOM	préparation
pour	PRP	pour
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
des	PRP:det	du
tables	NOM	table
et	KON	et
la	DET:ART	le
répartition	NOM	répartition
des	PRP:det	du
lots	NOM	lot
pour	PRP	pour
les	DET:ART	le
parties	NOM	partie
.	SENT	.
le	DET:ART	le
carton	NOM	carton
sera	VER:futu	être
au	PRP:det	au
prix	NOM	prix
de	PRP	de
3	NUM	@card@
	NOM	
et	KON	et
les	DET:ART	le
3	NUM	@card@
parties	NOM	partie
8	NUM	@card@
.	ABR	.
déjà	ADV	déjà
,	PUN	,
l'	DET:ART	le
association	NOM	association
autonome	ADJ	autonome
des	PRP:det	du
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
peut	VER:pres	pouvoir
vous	PRO:PER	vous
dire	VER:infi	dire
que	KON	que
de	PRP	de
superbes	ADJ	superbe
lots	NOM	lot
seront	VER:futu	être
à	PRP	à
gagner	VER:infi	gagner
.	SENT	.
sur	PRP	sur
place	NOM	place
gaufres	NOM	gaufre
et	KON	et
boissons	NOM	boisson
.	SENT	.
un	DET:ART	un
rendez-vous	NOM	rendez-vous
à	PRP	à
réserver	VER:infi	réserver
pour	PRP	pour
passer	VER:infi	passer
un	DET:ART	un
après-midi	NOM	après-midi
avec	PRP	avec
eux	PRO:PER	eux
.	SENT	.
et	KON	et
,	PUN	,
en	PRP	en
n'	ADV	ne
oubliant	VER:ppre	oublier
pas	ADV	pas
que	KON	que
l'	DET:ART	le
argent	NOM	argent
récolté	VER:pper	récolter
sert	VER:pres	servir
pour	PRP	pour
les	DET:ART	le
goûters	NOM	goûter
des	PRP:det	du
enfants	NOM	enfant
de	PRP	de
la	DET:ART	le
classe	NOM	classe
enfantine	ADJ	enfantin
et	KON	et
finance	NOM	finance
des	PRP:det	du
sorties	NOM	sortie
.	SENT	.
