ce	PRO:DEM	ce
week-end	NOM	week-end
avait	VER:impf	avoir
lieu	NOM	lieu
le	DET:ART	le
3	NUM	@card@
e	ADJ	e
tour	NOM	tour
du	PRP:det	du
critérium	NOM	critérium
fédéral	ADJ	fédéral
à	PRP	à
l'	DET:ART	le
échelon	NOM	échelon
régional	ADJ	régional
pour	PRP	pour
les	DET:ART	le
cadettes	NOM	cadet
,	PUN	,
minimes	ADJ	minime
(	PUN	(
garçons	NOM	garçon
et	KON	et
filles	NOM	fille
),	ADJ	),
ainsi	ADV	ainsi
que	KON	que
benjamins	NOM	benjamin
et	KON	et
benjamines	NOM	benjamin
.	SENT	.
sur	PRP	sur
les	DET:ART	le
huit	NUM	huit
jeunes	NOM	jeune
vésuliens	ADJ	vésuliens
présents	ADJ	présent
,	PUN	,
on	PRO:PER	on
dénombre	VER:pres	dénombrer
une	DET:ART	un
accession	NOM	accession
à	PRP	à
l'	DET:ART	le
échelon	NOM	échelon
supérieur	ADJ	supérieur
,	PUN	,
six	NUM	six
maintiens	NOM	maintien
et	KON	et
une	DET:ART	un
redescente	NOM	redescente
.	SENT	.
le	DET:ART	le
meilleur	ADJ	meilleur
résultat	NOM	résultat
est	VER:pres	être
l'	ADJ	l'
uvre	NOM	uvre
de	PRP	de
la	DET:ART	le
benjamine	NOM	benjamin
camille	VER:subp	camille
dormoy	NOM	dormoy
qui	PRO:REL	qui
prend	VER:pres	prendre
la	DET:ART	le
seconde	NUM	second
place	NOM	place
après	PRP	après
s'	PRO:PER	se
être	VER:infi	être
inclinée	VER:pper	incliner
à	PRP	à
une	DET:ART	un
seule	ADJ	seul
reprise	NOM	reprise
lors	ADV	lors
de	PRP	de
la	DET:ART	le
finale	ADJ	final
face	NOM	face
à	PRP	à
a.	ABR	a.
ollivier	NOM	ollivier
,	PUN	,
de	PRP	de
seloncourt	NOM	seloncourt
sur	PRP	sur
le	DET:ART	le
score	NOM	score
de	PRP	de
trois	NUM	trois
sets	NOM	set
à	PRP	à
zéro	NOM	zéro
.	SENT	.
dans	PRP	dans
la	DET:ART	le
même	ADJ	même
catégorie	NOM	catégorie
,	PUN	,
marie	VER:pres	marier
vincent	NOM	vincent
termine	VER:pres	terminer
troisième	NUM	troisième
après	PRP	après
s'	PRO:PER	se
être	VER:infi	être
inclinée	VER:pper	incliner
en	PRP	en
demi-finale	NOM	demi-finale
face	NOM	face
à	PRP	à
la	DET:ART	le
future	ADJ	futur
vainqueur	NOM	vainqueur
.	SENT	.
manon	NOM	manon
fivel	NOM	fivel
termine	VER:pres	terminer
cinquième	ADJ	cinquième
,	PUN	,
madeline	NOM	madeline
adrey	NOM	adrey
huitième	ADJ	huitième
et	KON	et
pauline	ADJ	pauline
keller	NOM	keller
neuvième	ADJ	neuvième
.	SENT	.
chez	PRP	chez
les	DET:ART	le
benjamins	NOM	benjamin
,	PUN	,
dorian	NOM	dorian
racine	NOM	racine
se	PRO:PER	se
classe	VER:pres	classer
sixième	NUM	sixième
et	KON	et
gil	ADJ	gil
muller	NOM	muller
,	PUN	,
huitième	ADJ	huitième
.	SENT	.
enfin	ADV	enfin
,	PUN	,
en	PRP	en
minimes	ADJ	minime
,	PUN	,
cédric	NOM	cédric
chague	NAM	chague
termine	VER:pres	terminer
à	PRP	à
la	DET:ART	le
seizième	ADJ	seizième
place	NOM	place
,	PUN	,
synonyme	ADJ	synonyme
de	PRP	de
redescente	NOM	redescente
en	PRP	en
départementale	ADJ	départemental
.	SENT	.
