simples	ADJ	simple
huitièmes	NOM	huitième
de	PRP	de
finale	NOM	finale
:	PUN	:
mraz	NOM	mraz
(	PUN	(
441	NUM	@card@
fra	NOM	fra
)	PUN	)
bat	VER:pres	battre
birnerova	NOM	birnerova
(	PUN	(
215	NUM	@card@
rep	NOM	rep
tch	ADJ	tch
)	PUN	)
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
quarts	NOM	quart
de	PRP	de
finale	NOM	finale
:	PUN	:
hedjova	NOM	hedjova
(	PUN	(
243	NUM	@card@
rep	NOM	rep
tch	ADJ	tch
)	PUN	)
bat	VER:pres	battre
liu	VER:pper	liu
(	PUN	(
296	NUM	@card@
chi	NOM	chi
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
sanchez	VER:pres	sanchez
(	PUN	(
373	NUM	@card@
fra	NOM	fra
)	PUN	)
bat	VER:pres	battre
sanchez	VER:impe	sanchez
alayeto	NOM	alayeto
(	PUN	(
345	NUM	@card@
esp	NOM	esp
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
keothavong	NOM	keothavong
(	PUN	(
235	NUM	@card@
ang	NOM	ang
)	PUN	)
bat	VER:pres	battre
taton	NOM	taton
(	PUN	(
398	NUM	@card@
bel	NOM	bel
)	PUN	)
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
vierin	NOM	vierin
(	PUN	(
163	NUM	@card@
ita	NOM	ita
)	PUN	)
bat	VER:pres	battre
mraz	NOM	mraz
(	PUN	(
441	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
doubles	ADJ	double
quarts	NOM	quart
de	PRP	de
finale	NOM	finale
:	PUN	:
kilsdonk/lefevre	NOM	kilsdonk/lefevre
battent	VER:pres	battre
edon/erre	NOM	edon/erre
6	NUM	@card@
-	PUN	-
1	NUM	@card@
5	NUM	@card@
-	PUN	-
7	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
demi-finales	NOM	demi-finale
:	PUN	:
liu/xie	NOM	liu/xie
battent	VER:pres	battre
gussoni/vedy	NOM	gussoni/vedy
6	NUM	@card@
-	PUN	-
0	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
kilsdonk/lefevre	NOM	kilsdonk/lefevre
battent	VER:pres	battre
hedjova/pullin	NOM	hedjova/pullin
6	NUM	@card@
-	PUN	-
3	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
