m.	ABR	m.
michel	NOM	michel
halle	NOM	halle
15	NUM	@card@
combe	NOM	combe
souache	NOM	souache
25400	NUM	@card@
audincourt	NOM	audincourt
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
télévision	NOM	télévision
,	PUN	,
comme	ADV	comme
des	PRP:det	du
millions	NOM	million
de	PRP	de
français	ADJ	français
,	PUN	,
ma	DET:POS	mon
femme	NOM	femme
et	KON	et
moi	PRO:PER	moi
regardons	VER:pres	regarder
les	DET:ART	le
matches	NOM	match
de	PRP	de
football	NOM	football
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
très	ADV	très
désagréable	ADJ	désagréable
de	PRP	de
voir	VER:infi	voir
la	DET:ART	le
plupart	NOM	plupart
des	PRP:det	du
joueurs	NOM	joueur
,	PUN	,
sinon	KON	sinon
tous	PRO:IND	tout
,	PUN	,
cracher	VER:infi	cracher
et	KON	et
se	PRO:PER	se
moucher	VER:infi	moucher
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
.	SENT	.
ceci	PRO:DEM	ceci
m'	PRO:PER	me
interroge	VER:pres	interroger
:	PUN	:
-	PUN	-
ce	PRO:DEM	ce
que	PRO:REL	que
les	DET:ART	le
grands	ADJ	grand
font	VER:pres	faire
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
est	VER:pres	être
largement	ADV	largement
imité	VER:pper	imiter
par	PRP	par
les	DET:ART	le
plus	ADV	plus
jeunes	ADJ	jeune
.	SENT	.
-	PUN	-
parents	ADJ	parent
,	PUN	,
femmes	NOM	femme
et	KON	et
enfants	NOM	enfant
de	PRP	de
joueurs	NOM	joueur
ne	ADV	ne
sont-ils	VER:subi	sont-ils
pas	ADV	pas
dégoûtés	VER:pper	dégoûter
de	PRP	de
ces	PRO:DEM	ce
agissements	NOM	agissements
et	KON	et
n'	ADV	ne
en	PRP	en
font-ils	NOM	font-ils
pas	ADV	pas
la	DET:ART	le
remarque	NOM	remarque
aux	PRP:det	au
intéressés	ADJ	intéressé
?	SENT	?
-	PUN	-
les	DET:ART	le
journalistes	NOM	journaliste
,	PUN	,
qu'	KON	que
en	PRP	en
pensent-ils	NOM	pensent-ils
?	SENT	?
bouche	NOM	bouche
cousue	ADJ	cousu
...	PUN	...
-	PUN	-
les	DET:ART	le
éducateurs	NOM	éducateur
(	PUN	(
entraîneurs	NOM	entraîneur
)	PUN	)
ne	ADV	ne
sont-ils	NOM	sont-ils
pas	ADV	pas
choqués	VER:pper	choquer
?	SENT	?
-	PUN	-
le	DET:ART	le
fair-play	NOM	fair-play
(	PUN	(
je	PRO:PER	je
préfère	VER:pres	préférer
la	DET:ART	le
courtoisie	NOM	courtoisie
)	PUN	)
n'	ADV	ne
inclut-il	ADJ	inclut-il
pas	ADV	pas
la	DET:ART	le
propreté	NOM	propreté
?	SENT	?
-	PUN	-
un	DET:ART	un
rappel	NOM	rappel
affiché	VER:pper	afficher
sur	PRP	sur
la	DET:ART	le
porte	NOM	porte
des	PRP:det	du
vestiaires	NOM	vestiaire
ou	KON	ou
savamment	ADV	savamment
glissé	VER:pper	glisser
à	PRP	à
l'	DET:ART	le
entraînement	NOM	entraînement
ne	ADV	ne
serait	VER:cond	être
pas	ADV	pas
superflu	ADJ	superflu
.	SENT	.
vous	PRO:PER	vous
en	PRO:PER	en
conviendrez	VER:futu	convenir
!...	VER:pper	!...
