c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
nombre	NOM	nombre
de	PRP	de
buts	NOM	but
marqués	VER:pper	marquer
tout	ADV	tout
au	PRP:det	au
long	NOM	long
des	PRP:det	du
matches	NOM	match
officiels	ADJ	officiel
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
la	DET:ART	le
ligue	NOM	ligue
à	PRP	à
besançon	NOM	besançon
.	SENT	.
en	PRP	en
trois	NUM	trois
jours	NOM	jour
et	KON	et
huit	NUM	huit
rencontres	NOM	rencontre
officielles	ADJ	officiel
(	PUN	(
les	DET:ART	le
matches	NOM	match
de	PRP	de
classement	NOM	classement
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
compte	NOM	compte
).	ABR	).
soit	KON	soit
une	DET:ART	un
moyenne	NOM	moyenne
de	PRP	de
50,5	NUM	@card@
buts	NOM	but
par	PRP	par
rencontre	NOM	rencontre
.	SENT	.
pas	ADV	pas
de	PRP	de
quoi	PRO	quoi
s'	PRO:PER	se
ennuyer	VER:infi	ennuyer
...	PUN	...
