suite	NOM	suite
à	PRP	à
la	DET:ART	le
fermeture	NOM	fermeture
des	PRP:det	du
bureaux	NOM	bureau
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
le	DET:ART	le
vendredi	NOM	vendredi
après-midi	NOM	après-midi
,	PUN	,
la	DET:ART	le
permanence	NOM	permanence
saint-vitoise	ADJ	saint-vitoise
du	PRP:det	du
conciliateur	NOM	conciliateur
de	PRP	de
justice	NOM	justice
qui	PRO:REL	qui
se	PRO:PER	se
déroulait	VER:impf	dérouler
chaque	PRO:IND	chaque
premier	NUM	premier
vendredi	NOM	vendredi
du	PRP:det	du
mois	NOM	moi|mois
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
est	VER:pres	être
supprimée	VER:pper	supprimer
.	SENT	.
cette	PRO:DEM	ce
permanence	NOM	permanence
,	PUN	,
tenue	VER:pper	tenir
par	PRP	par
jean	NOM	jean
vercellotti	NOM	vercellotti
,	PUN	,
notaire	NOM	notaire
honoraire	ADJ	honoraire
à	PRP	à
quingey	NOM	quingey
,	PUN	,
se	PRO:PER	se
déroulera	VER:futu	dérouler
désormais	ADV	désormais
pour	PRP	pour
les	DET:ART	le
habitants	NOM	habitant
du	PRP:det	du
canton	NOM	canton
de	PRP	de
boussières	NOM	boussières
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
boussières	NOM	boussières
,	PUN	,
les	DET:ART	le
premier	NUM	premier
et	KON	et
troisième	NUM	troisième
vendredi	NOM	vendredi
du	PRP:det	du
mois	NOM	moi|mois
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
il	PRO:PER	il
est	VER:pres	être
peut-être	ADV	peut-être
bon	ADJ	bon
de	PRP	de
rappeler	VER:infi	rappeler
que	KON	que
le	DET:ART	le
conciliateur	NOM	conciliateur
est	VER:pres	être
une	DET:ART	un
personne	NOM	personne
bénévole	ADJ	bénévole
.	SENT	.
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
un	DET:ART	un
magistrat	NOM	magistrat
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
nommé	VER:pper	nommer
par	PRP	par
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
cour	NOM	cour
d'	PRP	de
appel	NOM	appel
et	KON	et
présente	VER:pres	présenter
toutes	PRO:IND	tout
les	DET:ART	le
garanties	NOM	garantie
d'	PRP	de
impartialité	NOM	impartialité
et	KON	et
de	PRP	de
discrétion	NOM	discrétion
.	SENT	.
sa	DET:POS	son
mission	NOM	mission
est	VER:pres	être
de	PRP	de
favoriser	VER:infi	favoriser
et	KON	et
de	PRP	de
constater	VER:infi	constater
le	DET:ART	le
règlement	NOM	règlement
à	PRP	à
l'	DET:ART	le
amiable	ADJ	amiable
des	PRP:det	du
conflits	NOM	conflit
qui	PRO:REL	qui
lui	PRO:PER	lui
sont	VER:pres	être
soumis	VER:pper	soumettre
.	SENT	.
il	PRO:PER	il
peut	VER:pres	pouvoir
intervenir	VER:infi	intervenir
dans	PRP	dans
de	PRP	de
nombreuses	ADJ	nombreux
affaires	NOM	affaire
:	PUN	:
problèmes	NOM	problème
de	PRP	de
mitoyenneté	NOM	mitoyenneté
,	PUN	,
conflit	NOM	conflit
entre	PRP	entre
propriétaires	NOM	propriétaire
et	KON	et
locataires	NOM	locataire
,	PUN	,
querelles	NOM	querelle
de	PRP	de
voisinage	NOM	voisinage
ou	KON	ou
de	PRP	de
famille	NOM	famille
,	PUN	,
contestation	NOM	contestation
de	PRP	de
factures	NOM	facture
...	PUN	...
en	PRP	en
aucun	PRO:IND	aucun
cas	NOM	cas
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
peut	VER:pres	pouvoir
intervenir	VER:infi	intervenir
dans	PRP	dans
les	DET:ART	le
conflits	NOM	conflit
entre	PRP	entre
vous	PRO:PER	vous
et	KON	et
l'	DET:ART	le
administration	NOM	administration
,	PUN	,
concernant	VER:ppre	concerner
l'	DET:ART	le
état	NOM	état
civil	ADJ	civil
,	PUN	,
le	DET:ART	le
divorce	NOM	divorce
,	PUN	,
les	DET:ART	le
pensions	NOM	pension
alimentaires	ADJ	alimentaire
...	PUN	...
aussi	ADV	aussi
,	PUN	,
si	KON	si
d'	PRP	de
aventure	NOM	aventure
vous	PRO:PER	vous
êtes	VER:pres	être
en	PRP	en
désaccord	NOM	désaccord
avec	PRP	avec
une	DET:ART	un
personne	NOM	personne
et	KON	et
si	KON	si
un	DET:ART	un
procès	NOM	procès
vous	PRO:PER	vous
paraît	VER:pres	paraître
disproportionné	VER:pper	disproportionner
avec	PRP	avec
l'	DET:ART	le
importance	NOM	importance
du	PRP:det	du
problème	NOM	problème
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
vous	PRO:PER	vous
adresser	VER:infi	adresser
à	PRP	à
lui	PRO:PER	lui
.	SENT	.
il	PRO:PER	il
vous	PRO:PER	vous
proposera	VER:futu	proposer
alors	ADV	alors
un	DET:ART	un
entretien	NOM	entretien
au	PRP:det	au
cours	NOM	cour|cours
duquel	PRO:REL	duquel
il	PRO:PER	il
vous	PRO:PER	vous
écoutera	VER:futu	écouter
et	KON	et
cherchera	VER:futu	chercher
une	DET:ART	un
solution	NOM	solution
de	PRP	de
compromis	NOM	compromis
pour	PRP	pour
vous	PRO:PER	vous
et	KON	et
votre	DET:POS	votre
adversaire	NOM	adversaire
.	SENT	.
si	KON	si
vous	PRO:PER	vous
vous	PRO:PER	vous
présentez	VER:pres	présenter
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
,	PUN	,
il	PRO:PER	il
tentera	VER:futu	tenter
de	PRP	de
trouver	VER:infi	trouver
un	DET:ART	un
terrain	NOM	terrain
d'	PRP	de
entente	NOM	entente
.	SENT	.
et	KON	et
dans	PRP	dans
le	DET:ART	le
cas	NOM	cas
d'	PRP	de
un	DET:ART	un
accord	NOM	accord
avec	PRP	avec
votre	DET:POS	votre
adversaire	NOM	adversaire
,	PUN	,
le	DET:ART	le
conciliateur	NOM	conciliateur
pourra	VER:futu	pouvoir
constater	VER:infi	constater
par	PRP	par
écrit	NOM	écrit
(	PUN	(
procès-verbal	NOM	procès-verbal
déposé	VER:pper	déposer
auprès	ADV	auprès
du	PRP:det	du
tribunal	NOM	tribunal
d'	PRP	de
instance	NOM	instance
)	PUN	)
même	ADV	même
en	PRP	en
cas	NOM	cas
de	PRP	de
conciliation	NOM	conciliation
partielle	ADJ	partiel
.	SENT	.
si	KON	si
vous	PRO:PER	vous
souhaitez	VER:pres	souhaiter
ses	DET:POS	son
services	NOM	service
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
le	PRO:PER	le
rencontrer	VER:infi	rencontrer
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
ses	DET:POS	son
deux	NUM	deux
permanences	NOM	permanence
en	PRP	en
mairie	NOM	mairie
de	PRP	de
boussières	NOM	boussières
,	PUN	,
les	DET:ART	le
premier	NUM	premier
et	KON	et
troisième	NUM	troisième
vendredi	NOM	vendredi
du	PRP:det	du
mois	NOM	moi|mois
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
ou	KON	ou
prendre	VER:infi	prendre
rendez-vous	NOM	rendez-vous
en	PRP	en
lui	PRO:PER	lui
téléphonant	VER:ppre	téléphoner
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
63.69	NUM	@card@
.	SENT	.
69	NUM	@card@
il	PRO:PER	il
est	VER:pres	être
à	PRP	à
votre	DET:POS	votre
disposition	NOM	disposition
ne	ADV	ne
serait-ce	ADJ	serait-ce
que	KON	que
pour	PRP	pour
un	DET:ART	un
conseil	NOM	conseil
ou	KON	ou
une	DET:ART	un
orientation	NOM	orientation
.	SENT	.
et	KON	et
tout	PRO:IND	tout
cela	PRO:DEM	cela
gracieusement	ADV	gracieusement
!	SENT	!
