ce	PRO:DEM	ce
mercredi	NOM	mercredi
8	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
saint-martin	ADJ	saint-martin
,	PUN	,
la	DET:ART	le
municipalité	NOM	municipalité
a	VER:pres	avoir
invité	VER:pper	inviter
les	DET:ART	le
chefs	NOM	chef
d'	PRP	de
entreprise	NOM	entreprise
,	PUN	,
les	DET:ART	le
présidents	NOM	président
d'	PRP	de
associations	NOM	association
,	PUN	,
les	DET:ART	le
représentants	NOM	représentant
d'	PRP	de
administrations	NOM	administration
,	PUN	,
les	DET:ART	le
membres	NOM	membre
des	PRP:det	du
commissions	NOM	commission
et	KON	et
les	DET:ART	le
bénévoles	NOM	bénévole
ayant	VER:ppre	avoir
	NOM	
uvré	ADJ	uvré
pour	PRP	pour
la	DET:ART	le
commune	NOM	commune
en	PRP	en
2002	NUM	@card@
après	PRP	après
avoir	VER:infi	avoir
rappelé	VER:pper	rappeler
le	DET:ART	le
bilan	NOM	bilan
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
,	PUN	,
le	DET:ART	le
maire	NOM	maire
jacques	NOM	jacque|jacques
tervel	ADJ	tervel
a	VER:pres	avoir
présenté	VER:pper	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
la	DET:ART	le
réussite	NOM	réussite
de	PRP	de
projets	NOM	projet
à	PRP	à
mener	VER:infi	mener
en	PRP	en
2003	NUM	@card@
:	PUN	:
installation	NOM	installation
définitive	ADJ	définitif
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
imprimgraph	ADJ	imprimgraph
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
industrielle	ADJ	industriel
;	PUN	;
conclusion	NOM	conclusion
de	PRP	de
l'	DET:ART	le
étude	NOM	étude
sur	PRP	sur
la	DET:ART	le
sécurité	NOM	sécurité
de	PRP	de
la	DET:ART	le
traversée	NOM	traversée
du	PRP:det	du
village	NOM	village
,	PUN	,
étude	NOM	étude
présentée	VER:pper	présenter
par	PRP	par
mmes	ADJ	mmes
chartier	NOM	chartier
et	KON	et
corrado	NOM	corrado
,	PUN	,
urbanistes	ADJ	urbaniste
;	PUN	;
aménagement	NOM	aménagement
des	PRP:det	du
ateliers	NOM	atelier
municipaux	ADJ	municipal
dont	PRO:REL	dont
le	DET:ART	le
site	NOM	site
est	VER:pres	être
connu	VER:pper	connaître
;	PUN	;
aménagement	NOM	aménagement
des	PRP:det	du
deux	NUM	deux
lotissements	NOM	lotissement
communaux	ADJ	communal
des	PRP:det	du
prés	NOM	pré
de	PRP	de
la	DET:ART	le
noue	NOM	noue
et	KON	et
de	PRP	de
la	DET:ART	le
plantière	NOM	plantière
;	PUN	;
reprise	NOM	reprise
«	PUN:cit	«
si	KON	si
possible	ADJ	possible
»	PUN:cit	»
de	PRP	de
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
essarts	NOM	essart
;	PUN	;
aménagement	NOM	aménagement
de	PRP	de
chemins	NOM	chemin
piétonniers	ADJ	piétonnier
et	KON	et
du	PRP:det	du
jardin	NOM	jardin
public	ADJ	public
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
de	PRP	de
loisirs	NOM	loisir
;	PUN	;
faire	VER:infi	faire
vivre	VER:infi	vivre
le	DET:ART	le
ctl	NOM	ctl
(	PUN	(
contrat	NOM	contrat
temps	NOM	temps
libre	ADJ	libre
)	PUN	)
par	PRP	par
des	PRP:det	du
animations	NOM	animation
à	PRP	à
proposer	VER:infi	proposer
aux	PRP:det	au
plus	ADV	plus
jeunes	ADJ	jeune
;	PUN	;
prospection	NOM	prospection
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
industrielle	ADJ	industriel
;	PUN	;
reprise	NOM	reprise
du	PRP:det	du
mobilier	NOM	mobilier
scolaire	ADJ	scolaire
;	PUN	;
reprise	NOM	reprise
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
selon	PRP	selon
plan	NOM	plan
d'	PRP	de
équipement	NOM	équipement
pluriannuel	ADJ	pluriannuel
;	PUN	;
mise	VER:pper	mettre
en	PRP	en
place	NOM	place
d'	PRP	de
un	DET:ART	un
règlement	NOM	règlement
du	PRP:det	du
cimetière	NOM	cimetière
;	PUN	;
aller	VER:infi	aller
plus	ADV	plus
loin	ADV	loin
dans	PRP	dans
la	DET:ART	le
réflexion	NOM	réflexion
d'	PRP	de
un	DET:ART	un
jumelage	NOM	jumelage
avec	PRP	avec
un	DET:ART	un
village	NOM	village
partenaire	NOM	partenaire
.	SENT	.
souhaitant	VER:ppre	souhaiter
une	DET:ART	un
bonne	ADJ	bon
année	NOM	année
tout	ADV	tout
en	PRO:PER	en
demandant	VER:ppre	demander
de	PRP	de
continuer	VER:infi	continuer
leur	DET:POS	leur
bon	ADJ	bon
travail	NOM	travail
,	PUN	,
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
invité	VER:pper	inviter
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
à	PRP	à
tirer	VER:infi	tirer
les	DET:ART	le
rois	NOM	roi
en	PRP	en
partageant	VER:ppre	partager
le	DET:ART	le
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
