m.	ABR	m.
pierre	NOM	pierre
limonier	NOM	limonier
24	NUM	@card@
avenue	NOM	avenue
notre-dame	NOM	notre-dame
70170	NUM	@card@
port-sur-saône	NOM	port-sur-saône
.	SENT	.
on	PRO:PER	on
parle	VER:pres	parler
beaucoup	ADV	beaucoup
du	PRP:det	du
métier	NOM	métier
d'	PRP	de
infirmière	NOM	infirmier
,	PUN	,
métier	NOM	métier
ô	INT	ô
combien	ADV	combien
noble	ADJ	noble
,	PUN	,
estimable	ADJ	estimable
mais	KON	mais
qui	PRO:REL	qui
,	PUN	,
malheureusement	ADV	malheureusement
,	PUN	,
a	VER:pres	avoir
longtemps	ADV	longtemps
été	VER:pper	être
délaissé	VER:pper	délaisser
et	KON	et
peu	ADV	peu
revalorisé	VER:pper	revaloriser
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
sens	NOM	sen|sens
du	PRP:det	du
terme	NOM	terme
.	SENT	.
on	PRO:PER	on
essaie	VER:pres	essayer
d'	PRP	de
y	PRO:PER	y
remédier	VER:infi	remédier
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
bien	ADV	bien
.	SENT	.
un	DET:ART	un
autre	ADJ	autre
métier	NOM	métier
est	VER:pres	être
souvent	ADV	souvent
ignoré	VER:pper	ignorer
.	SENT	.
il	PRO:PER	il
devrait	VER:cond	devoir
tout	ADV	tout
autant	ADV	autant
être	VER:infi	être
réhabilité	VER:pper	réhabiliter
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
celui	PRO:DEM	celui
d'	PRP	de
éducateur	NOM	éducateur
.	SENT	.
durant	PRP	durant
huit	NUM	huit
ans	NOM	an
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
effectué	VER:pper	effectuer
du	PRP:det	du
suivi	NOM	suivi
scolaire	ADJ	scolaire
dans	PRP	dans
un	DET:ART	un
établissement	NOM	établissement
spécialisé	VER:pper	spécialiser
qui	PRO:REL	qui
accueille	VER:pres	accueillir
des	PRP:det	du
enfants	NOM	enfant
en	PRP	en
grandes	ADJ	grand
difficultés	NOM	difficulté
,	PUN	,
attachants	ADJ	attachant
au	PRP:det	au
demeurant	NOM	demeurant
,	PUN	,
mais	KON	mais
qui	PRO:REL	qui
sont	VER:pres	être
placés	VER:pper	placer
là	ADV	là
d'	PRP	de
abord	NOM	abord
parce	KON	parce
que	KON	que
leurs	DET:POS	leur
parents	NOM	parent|parents
sont	VER:pres	être
débordés	VER:pper	déborder
et	KON	et
ne	ADV	ne
les	PRO:PER	la|le
supportent	VER:pres	supporter
plus	ADV	plus
.	SENT	.
d'	PRP	de
autres	ADJ	autre
sont	VER:pres	être
retirés	VER:pper	retirer
des	PRP:det	du
familles	NOM	famille
par	PRP	par
le	DET:ART	le
juge	NOM	juge
des	PRP:det	du
enfants	NOM	enfant
pour	PRP	pour
cause	NOM	cause
de	PRP	de
mauvais	ADJ	mauvais
traitements	NOM	traitement
,	PUN	,
inceste	NOM	inceste
,	PUN	,
viol	NOM	viol
ou	KON	ou
divorce	NOM	divorce
.	SENT	.
pour	PRP	pour
avoir	VER:infi	avoir
longtemps	ADV	longtemps
fréquenté	VER:pper	fréquenter
toutes	PRO:IND	tout
ces	PRO:DEM	ce
personnes	NOM	personne
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
un	DET:ART	un
témoin	NOM	témoin
admiratif	ADJ	admiratif
du	PRP:det	du
travail	NOM	travail
extraordinaire	ADJ	extraordinaire
effectué	VER:pper	effectuer
par	PRP	par
ces	PRO:DEM	ce
éducateurs	NOM	éducateur
auprès	ADV	auprès
d'	PRP	de
enfants	NOM	enfant
