c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
présence	NOM	présence
des	PRP:det	du
représentants	NOM	représentant
du	PRP:det	du
conseil	NOM	conseil
général	ADJ	général
,	PUN	,
de	PRP	de
la	DET:ART	le
gendarmerie	NOM	gendarmerie
,	PUN	,
de	PRP	de
la	DET:ART	le
dde	NOM	dde
,	PUN	,
du	PRP:det	du
comité	NOM	comité
d'	PRP	de
agglomération	NOM	agglomération
et	KON	et
des	PRP:det	du
maires	NOM	maire
des	PRP:det	du
communes	NOM	commune
environnantes	ADJ	environnant
que	KON	que
gérard	ADJ	gérard
galliot	NOM	galliot
,	PUN	,
maire	NOM	maire
de	PRP	de
la	DET:ART	le
commune	NOM	commune
a	VER:pres	avoir
présenté	VER:pper	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
aux	PRP:det	au
présidents	NOM	président
des	PRP:det	du
associations	NOM	association
de	PRP	de
dannemarie	NOM	dannemarie
,	PUN	,
aux	PRP:det	au
bénévoles	NOM	bénévole
du	PRP:det	du
ccas	NOM	ccas
,	PUN	,
aux	PRP:det	au
membres	NOM	membre
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
qu'	PRO:REL	que
il	PRO:PER	il
remercia	VER:simp	remercier
pour	PRP	pour
le	DET:ART	le
travail	NOM	travail
accompli	ADJ	accompli
.	SENT	.
dans	PRP	dans
son	DET:POS	son
discours	NOM	discours
,	PUN	,
le	DET:ART	le
maire	NOM	maire
parla	VER:simp	parler
des	PRP:det	du
travaux	NOM	travail
envisagés	VER:pper	envisager
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
2003	NUM	@card@
la	DET:ART	le
rénovation	NOM	rénovation
de	PRP	de
la	DET:ART	le
mezzanine	NOM	mezzanine
de	PRP	de
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
du	PRP:det	du
fleurissement	NOM	fleurissement
de	PRP	de
la	DET:ART	le
commune	NOM	commune
et	KON	et
de	PRP	de
diverses	ADJ	divers
autres	ADJ	autre
tâches	NOM	tâche
qui	PRO:REL	qui
attendent	VER:pres	attendre
les	DET:ART	le
conseillers	NOM	conseiller
.	SENT	.
après	PRP	après
le	DET:ART	le
discours	NOM	discours
de	PRP	de
bienvenue	NOM	bienvenu|bienvenue
et	KON	et
de	PRP	de
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
la	DET:ART	le
commune	NOM	commune
offrit	VER:simp	offrir
aux	PRP:det	au
nombreux	ADJ	nombreux
présents	NOM	présent
le	DET:ART	le
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
