c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
grande	ADJ	grand
tristesse	NOM	tristesse
que	KON	que
les	DET:ART	le
habitants	NOM	habitant
de	PRP	de
chanteraine	NOM	chanteraine
ont	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
d'	PRP	de
une	DET:ART	un
véritable	ADJ	véritable
figure	NOM	figure
du	PRP:det	du
village	NOM	village
,	PUN	,
marius	NOM	marius
laurent	VER:pres	laurer
,	PUN	,
survenu	VER:pper	survenir
le	DET:ART	le
4	NUM	@card@
janvier	NOM	janvier
dans	PRP	dans
sa	DET:POS	son
74	NUM	@card@
e	NOM	e
année	NOM	année
.	SENT	.
le	DET:ART	le
défunt	NOM	défunt
était	VER:impf	être
particulièrement	ADV	particulièrement
connu	VER:pper	connaître
pour	PRP	pour
ses	DET:POS	son
multiples	ADJ	multiple
activités	NOM	activité
passées	VER:pper	passer
.	SENT	.
né	VER:pper	naître
le	DET:ART	le
27	NUM	@card@
juillet	NOM	juillet
1929	NUM	@card@
à	PRP	à
morlaincourt	NOM	morlaincourt
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
quittera	VER:futu	quitter
que	KON	que
rarement	ADV	rarement
son	DET:POS	son
village	NOM	village
natal	ADJ	natal
où	PRO:REL	où
il	PRO:PER	il
passera	VER:futu	passer
une	DET:ART	un
enfance	NOM	enfance
paisible	ADJ	paisible
en	PRP	en
compagnie	NOM	compagnie
de	PRP	de
ses	DET:POS	son
trois	NUM	trois
s	NOM	s
	ADJ	
urs	NOM	urs
.	SENT	.
a	VER:pres	avoir
14	NUM	@card@
ans	NOM	an
,	PUN	,
il	PRO:PER	il
entre	VER:subp	entrer
dans	PRP	dans
l'	DET:ART	le
actuelle	ADJ	actuel
entreprise	NOM	entreprise
essilor	NOM	essilor
,	PUN	,
marchant	VER:ppre	marcher
dans	PRP	dans
les	DET:ART	le
traces	NOM	trace
de	PRP	de
son	DET:POS	son
père	NOM	père
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
passera	VER:futu	passer
toute	PRO:IND	tout
sa	DET:POS	son
carrière	NOM	carrière
professionnelle	ADJ	professionnel
soit	KON	soit
46	NUM	@card@
années	NOM	année
de	PRP	de
bon	ADJ	bon
travail	NOM	travail
jusqu'à	NOM	jusqu'à
sa	DET:POS	son
retraite	NOM	retraite
en	PRP	en
1989	NUM	@card@
il	PRO:PER	il
épousera	VER:futu	épouser
gisèle	NOM	gisèle
lagabbe	NOM	lagabbe
,	PUN	,
elle	PRO:PER	elle
aussi	ADV	aussi
enfant	NOM	enfant
du	PRP:det	du
pays	NOM	pays
,	PUN	,
le	DET:ART	le
27	NUM	@card@
février	NOM	février
1954	NUM	@card@
très	ADV	très
apprécié	VER:pper	apprécier
dans	PRP	dans
le	DET:ART	le
pays	NOM	pays
,	PUN	,
il	PRO:PER	il
occupera	VER:futu	occuper
pour	PRP	pour
de	PRP	de
nombreux	ADJ	nombreux
mandats	NOM	mandat
un	DET:ART	un
poste	NOM	poste
de	PRP	de
conseiller	NOM	conseiller
municipal	ADJ	municipal
.	SENT	.
de	PRP	de
son	DET:POS	son
union	NOM	union
avec	PRP	avec
gisèle	NOM	gisèle
sont	VER:pres	être
nés	VER:pper	naître
deux	NUM	deux
enfants	NOM	enfant
,	PUN	,
danielle	ADJ	danielle
et	KON	et
martial	ADJ	martial
qui	PRO:REL	qui
,	PUN	,
à	PRP	à
leur	DET:POS	leur
tour	NOM	tour
,	PUN	,
lui	PRO:PER	lui
donneront	VER:futu	donner
le	DET:ART	le
plaisir	NOM	plaisir
d'	PRP	de
être	VER:infi	être
les	DET:ART	le
grands-parents	NOM	grands-parents
de	PRP	de
quatre	NUM	quatre
petits-enfants	NOM	petits-enfants
,	PUN	,
séverine	ADJ	séverine
,	PUN	,
cédric	NOM	cédric
,	PUN	,
fabien	NOM	fabien
et	KON	et
stéphane	NOM	stéphane
.	SENT	.
veillant	VER:ppre	veiller
sur	PRP	sur
leur	DET:POS	leur
bonheur	NOM	bonheur
à	PRP	à
tous	PRO:IND	tout
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
fondé	VER:pper	fonder
une	DET:ART	un
famille	NOM	famille
des	PRP:det	du
plus	ADV	plus
unies	VER:pper	unir
qui	PRO:REL	qui
vit	VER:pres	vivre
encore	ADV	encore
au	PRP:det	au
village	NOM	village
,	PUN	,
dans	PRP	dans
les	DET:ART	le
demeures	NOM	demeure
familiales	ADJ	familial
transmises	VER:pper	transmettre
de	PRP	de
génération	NOM	génération
en	PRP	en
génération	NOM	génération
.	SENT	.
d'	PRP	de
une	DET:ART	un
nature	NOM	nature
enjouée	ADJ	enjoué
et	KON	et
dynamique	ADJ	dynamique
,	PUN	,
marius	NOM	marius
aimait	VER:impf	aimer
aller	VER:infi	aller
au	PRP:det	au
bois	NOM	bois
,	PUN	,
faisait	VER:impf	faire
du	PRP:det	du
jardinage	NOM	jardinage
et	KON	et
passait	VER:impf	passer
aussi	ADV	aussi
beaucoup	ADV	beaucoup
de	PRP	de
temps	NOM	temps
sur	PRP	sur
son	DET:POS	son
motoculteur	NOM	motoculteur
qui	PRO:REL	qui
faisait	VER:impf	faire
office	NOM	office
de	PRP	de
véhicule	NOM	véhicule
tout-terrain	ADJ	tout-terrain
.	SENT	.
de	PRP	de
l'	DET:ART	le
avis	NOM	avis
de	PRP	de
tous	PRO:IND	tout
,	PUN	,
sa	DET:POS	son
bonne	ADJ	bon
humeur	NOM	humeur
était	VER:impf	être
contagieuse	ADJ	contagieux
et	KON	et
il	PRO:PER	il
ne	ADV	ne
passait	VER:impf	passer
pas	ADV	pas
une	DET:ART	un
fête	NOM	fête
sans	PRP	sans
un	DET:ART	un
air	NOM	air
d'	PRP	de
accordéon	NOM	accordéon
.	SENT	.
sans	PRP	sans
avoir	VER:infi	avoir
jamais	ADV	jamais
pris	VER:pper	prendre
une	DET:ART	un
seule	ADJ	seul
heure	NOM	heure
de	PRP	de
cours	NOM	cour|cours
,	PUN	,
il	PRO:PER	il
jouait	VER:impf	jouer
des	PRP:det	du
airs	NOM	air
appris	VER:pper	apprendre
par	PRP	par
c	ADJ	c
	NOM	
ur	VER:subi	ur
pour	PRP	pour
les	DET:ART	le
bals	NOM	bal
et	KON	et
les	DET:ART	le
réunions	NOM	réunion
familiales	ADJ	familial
.	SENT	.
très	ADV	très
actif	ADJ	actif
,	PUN	,
il	PRO:PER	il
suivait	VER:impf	suivre
encore	ADV	encore
récemment	ADV	récemment
les	DET:ART	le
activités	NOM	activité
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
du	PRP:det	du
foyer	NOM	foyer
saint-rémi	ADJ	saint-rémi
,	PUN	,
l'	DET:ART	le
association	NOM	association
dont	PRO:REL	dont
il	PRO:PER	il
était	VER:impf	être
membre	NOM	membre
bienfaiteur	NOM	bienfaiteur
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
auront	VER:futu	avoir
aujourd'hui	ADV	aujourd'hui
,	PUN	,
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
morlaincourt	NOM	morlaincourt
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
a	VER:pres	avoir
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
présente	VER:pres	présenter
ses	DET:POS	son
condoléances	NOM	condoléance
.	SENT	.
