c'	PRO:DEM	ce
est	VER:pres	être
autour	ADV	autour
de	PRP	de
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
que	KON	que
les	DET:ART	le
adeptes	NOM	adepte
de	PRP	de
la	DET:ART	le
danse	NOM	danse
de	PRP	de
salon	NOM	salon
,	PUN	,
ont	VER:pres	avoir
tiré	VER:pper	tirer
les	DET:ART	le
rois	NOM	roi
.	SENT	.
la	DET:ART	le
soirée	NOM	soirée
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
dans	PRP	dans
la	DET:ART	le
convivialité	NOM	convivialité
et	KON	et
la	DET:ART	le
bonne	ADJ	bon
humeur	NOM	humeur
,	PUN	,
les	DET:ART	le
têtes	NOM	tête
couronnées	VER:pper	couronner
ont	VER:pres	avoir
levé	VER:pper	lever
le	DET:ART	le
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
sous	PRP	sous
les	DET:ART	le
applaudissements	NOM	applaudissement
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
présente	ADJ	présent
.	SENT	.
si	KON	si
la	DET:ART	le
danse	NOM	danse
vous	PRO:PER	vous
fait	VER:pres	faire
envie	NOM	envie
,	PUN	,
venez	VER:pres	venir
rejoindre	VER:infi	rejoindre
les	DET:ART	le
groupes	NOM	groupe
du	PRP:det	du
mardi	NOM	mardi
et	KON	et
du	PRP:det	du
jeudi	NOM	jeudi
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
chaque	PRO:IND	chaque
semaine	NOM	semaine
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
pour	PRP	pour
tout	PRO:IND	tout
renseignement	NOM	renseignement
,	PUN	,
contacter	VER:infi	contacter
marie-claude	NOM	marie-claude
marin	ADJ	marin
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
67.31	NUM	@card@
.	SENT	.
41	NUM	@card@
