dernièrement	ADV	dernièrement
,	PUN	,
la	DET:ART	le
commission	NOM	commission
loisirs	NOM	loisir
et	KON	et
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
différentes	ADJ	différent
associations	NOM	association
locales	ADJ	local
et	KON	et
du	PRP:det	du
secteur	NOM	secteur
se	PRO:PER	se
sont	VER:pres	être
réunis	VER:pper	réunir
en	PRP	en
mairie	NOM	mairie
pour	PRP	pour
établir	VER:infi	établir
le	DET:ART	le
calendrier	NOM	calendrier
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
le	DET:ART	le
but	NOM	but
de	PRP	de
cette	PRO:DEM	ce
rencontre	NOM	rencontre
était	VER:impf	être
de	PRP	de
tenir	VER:infi	tenir
compte	NOM	compte
des	PRP:det	du
particularités	NOM	particularité
de	PRP	de
chaque	PRO:IND	chaque
village	NOM	village
pour	PRP	pour
assurer	VER:infi	assurer
au	PRP:det	au
mieux	ADV	mieux
le	DET:ART	le
succès	NOM	succès
des	PRP:det	du
fêtes	NOM	fête
locales	ADJ	local
.	SENT	.
quelques	PRO:IND	quelque
associations	NOM	association
non	ADV	non
présentes	ADJ	présent
avaient	VER:impf	avoir
envoyé	VER:pper	envoyer
les	DET:ART	le
dates	NOM	date
de	PRP	de
leurs	DET:POS	leur
manifestations	NOM	manifestation
.	SENT	.
le	DET:ART	le
calendrier	NOM	calendrier
s'	PRO:PER	se
annonce	VER:pres	annoncer
chargé	VER:pper	charger
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
prouve	VER:pres	prouver
le	DET:ART	le
dynamisme	NOM	dynamisme
des	PRP:det	du
associations	NOM	association
du	PRP:det	du
secteur	NOM	secteur
.	SENT	.
janvier	NOM	janvier
:	PUN	:
19	NUM	@card@
epiphanie	NOM	epiphanie
à	PRP	à
rembercourt	NOM	rembercourt
.	SENT	.
février	NOM	février
:	PUN	:
1	NUM	@card@
et	KON	et
2	NUM	@card@
championnat	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
de	PRP	de
badminton	NOM	badminton
en	PRP	en
catégories	NOM	catégorie
benjamins	NOM	benjamin
,	PUN	,
minimes	ADJ	minime
et	KON	et
vétérans	NOM	vétéran
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
thiaucourt	NOM	thiaucourt
;	PUN	;
1	NUM	@card@
paella	NOM	paella
et	KON	et
galette	NOM	galette
à	PRP	à
pannes	NOM	panne
;	PUN	;
2	NUM	@card@
loto	NOM	loto
et	KON	et
galette	NOM	galette
à	PRP	à
viéville	NOM	viéville
;	PUN	;
9	NUM	@card@
thé	NOM	thé
dansant	VER:ppre	danser
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
yves	VER:subp	yves
duteil	NOM	duteil
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
20	NUM	@card@
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
club	NOM	club
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
de	PRP	de
la	DET:ART	le
vallée	NOM	vallée
du	PRP:det	du
rupt-de-mad	NOM	rupt-de-mad
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
22	NUM	@card@
soirée	NOM	soirée
cartes	NOM	carte
à	PRP	à
rembercourt	NOM	rembercourt
et	KON	et
soirée	NOM	soirée
repas	NOM	repas
à	PRP	à
viéville	NOM	viéville
;	PUN	;
23	NUM	@card@
concours	NOM	concours
de	PRP	de
belote	NOM	belote
à	PRP	à
pannes	NOM	panne
.	SENT	.
mars	NOM	mars
:	PUN	:
19	NUM	@card@
cérémonie	NOM	cérémonie
de	PRP	de
la	DET:ART	le
fnaca	NOM	fnaca
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
26	NUM	@card@
carnaval	NOM	carnaval
du	PRP:det	du
fep	NOM	fep
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
29	NUM	@card@
repas	NOM	repas
à	PRP	à
rembercourt	NOM	rembercourt
;	PUN	;
30	NUM	@card@
choucroute	NOM	choucroute
à	PRP	à
pannes	NOM	panne
.	SENT	.
avril	NOM	avril
:	PUN	:
5	NUM	@card@
choucroute	NOM	choucroute
gst	ADJ	gst
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
27	NUM	@card@
vide-greniers	NOM	vide-greniers
organisé	VER:pper	organiser
par	PRP	par
le	DET:ART	le
fep	NOM	fep
à	PRP	à
thiaucourt	NOM	thiaucourt
.	SENT	.
mai	NOM	mai
:	PUN	:
1	NUM	@card@
sortie	NOM	sortie
solex	NOM	solex
organisée	VER:pper	organiser
par	PRP	par
le	DET:ART	le
fep	NOM	fep
;	PUN	;
8	NUM	@card@
cérémonie	NOM	cérémonie
patriotique	ADJ	patriotique
à	PRP	à
thiaucourt	NOM	thiaucourt
et	KON	et
brocante	NOM	brocante
à	PRP	à
fey-en-haye	NOM	fey-en-haye
;	PUN	;
11	NUM	@card@
sortie	NOM	sortie
vtt	NOM	vtt
à	PRP	à
pannes	NOM	panne
;	PUN	;
16	NUM	@card@
et	KON	et
17	NUM	@card@
spectacle	NOM	spectacle
du	PRP:det	du
collège	NOM	collège
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
17	NUM	@card@
repas	NOM	repas
à	PRP	à
thèmes	NOM	thème
à	PRP	à
xammes	NOM	xammes
;	PUN	;
18	NUM	@card@
portes	NOM	porte
ouvertes	VER:pper	ouvrir
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	ADJ	retrait
sainte-sophie	NOM	sainte-sophie
et	KON	et
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
rembercourt	NOM	rembercourt
;	PUN	;
25	NUM	@card@
mémorial	NOM	mémorial
day	ADJ	day
;	PUN	;
29	NUM	@card@
challenge	NOM	challenge
didier	ADJ	didier
thiriot	ADJ	thiriot
gst	NOM	gst
à	PRP	à
thiaucourt	NOM	thiaucourt
.	SENT	.
juin	NOM	juin
:	PUN	:
1	NUM	@card@
brocante	NOM	brocante
à	PRP	à
flirey	NOM	flirey
;	PUN	;
fête	NOM	fête
de	PRP	de
la	DET:ART	le
pêche	NOM	pêche
à	PRP	à
thiaucourt	NOM	thiaucourt
et	KON	et
fête	NOM	fête
