suite	NOM	suite
aux	PRP:det	au
dégâts	NOM	dégât
des	PRP:det	du
eaux	NOM	eau
dus	VER:pper	devoir
à	PRP	à
une	DET:ART	un
rupture	NOM	rupture
d'	PRP	de
une	DET:ART	un
canalisation	NOM	canalisation
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
se	PRO:PER	se
déroulait	VER:impf	dérouler
exceptionnellement	ADV	exceptionnellement
au	PRP:det	au
foyer	NOM	foyer
des	PRP:det	du
anciens	NOM	ancien
.	SENT	.
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
réorganisation	NOM	réorganisation
de	PRP	de
la	DET:ART	le
compétence	NOM	compétence
voirie	NOM	voirie
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
convenu	VER:pper	convenir
que	KON	que
la	DET:ART	le
viabilité	NOM	viabilité
hivernale	ADJ	hivernal
nécessitait	VER:impf	nécessiter
un	DET:ART	un
traitement	NOM	traitement
particulier	ADJ	particulier
en	PRP	en
raison	NOM	raison
de	PRP	de
son	DET:POS	son
caractère	NOM	caractère
ponctuel	ADJ	ponctuel
,	PUN	,
des	PRP:det	du
moyens	NOM	moyen
humains	ADJ	humain
et	KON	et
matériels	ADJ	matériel
qui	PRO:REL	qui
doivent	VER:pres	devoir
être	VER:infi	être
mobilisés	VER:pper	mobiliser
.	SENT	.
a	VER:pres	avoir
cet	PRO:DEM	ce
effet	NOM	effet
,	PUN	,
un	DET:ART	un
projet	NOM	projet
de	PRP	de
convention	NOM	convention
fixant	VER:ppre	fixer
les	DET:ART	le
moyens	NOM	moyen
,	PUN	,
les	DET:ART	le
modalités	NOM	modalité
de	PRP	de
leur	DET:POS	leur
engagement	NOM	engagement
et	KON	et
les	DET:ART	le
dispositions	NOM	disposition
concernant	VER:ppre	concerner
le	DET:ART	le
remboursement	NOM	remboursement
des	PRP:det	du
communes	NOM	commune
de	PRP	de
la	DET:ART	le
prestation	NOM	prestation
qu'	PRO:REL	que
elles	PRO:PER	elle
continuent	VER:pres	continuer
d'	PRP	de
effectuer	VER:infi	effectuer
pour	PRP	pour
le	DET:ART	le
compte	NOM	compte
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
urbaine	ADJ	urbain
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
élaboré	VER:pper	élaborer
.	SENT	.
pour	PRP	pour
ce	PRO:DEM	ce
qui	PRO:REL	qui
la	PRO:PER	la
concerne	VER:pres	concerner
,	PUN	,
la	DET:ART	le
commune	NOM	commune
continue	ADJ	continu
,	PUN	,
comme	ADV	comme
auparavant	ADV	auparavant
,	PUN	,
d'	PRP	de
assurer	VER:infi	assurer
les	DET:ART	le
opérations	NOM	opération
de	PRP	de
viabilité	NOM	viabilité
hivernale	ADJ	hivernal
sur	PRP	sur
son	DET:POS	son
territoire	NOM	territoire
,	PUN	,
prestation	NOM	prestation
qui	PRO:REL	qui
pourra	VER:futu	pouvoir
,	PUN	,
en	PRP	en
cas	NOM	cas
de	PRP	de
besoin	NOM	besoin
,	PUN	,
être	VER:infi	être
étendue	VER:pper	étendre
à	PRP	à
l'	DET:ART	le
ensemble	NOM	ensemble
du	PRP:det	du
territoire	NOM	territoire
communautaire	ADJ	communautaire
.	SENT	.
la	DET:ART	le
communauté	NOM	communauté
urbaine	ADJ	urbain
,	PUN	,
de	PRP	de
son	DET:POS	son
côté	NOM	côté
,	PUN	,
pourra	VER:futu	pouvoir
pallier	VER:infi	pallier
à	PRP	à
une	DET:ART	un
défaillance	NOM	défaillance
momentanée	ADJ	momentané
des	PRP:det	du
moyens	NOM	moyen
communaux	ADJ	communal
.	SENT	.
sur	PRP	sur
l'	DET:ART	le
