leur	DET:POS	leur
motivation	NOM	motivation
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
faibli	VER:pper	faiblir
.	SENT	.
une	DET:ART	un
nouvelle	ADJ	nouveau
fois	NOM	foi|fois
.	SENT	.
les	DET:ART	le
élèves	NOM	élève
de	PRP	de
cm	NOM	cm
1	NUM	@card@
et	KON	et
de	PRP	de
cm	NOM	cm
2	NUM	@card@
du	PRP:det	du
marteroy	NOM	marteroy
se	PRO:PER	se
sont	VER:pres	être
encore	ADV	encore
distingués	VER:pper	distinguer
en	PRP	en
participant	VER:ppre	participer
efficacement	ADV	efficacement
à	PRP	à
l'	DET:ART	le
opération	NOM	opération
«	PUN:cit	«
pièces	NOM	pièce
jaunes	ADJ	jaune
».	VER:simp	».
hier	ADV	hier
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
allés	VER:pper	aller
remettre	VER:infi	remettre
70	NUM	@card@
kg	ABR	kg
(	PUN	(
environ	PRP	environ
350	NUM	@card@
)	NOM	)
de	PRP	de
ce	PRO:DEM	ce
trésor	NOM	trésor
de	PRP	de
solidarité	NOM	solidarité
au	PRP:det	au
bureau	NOM	bureau
ile-verte	VER:pper	ile-verte
de	PRP	de
la	DET:ART	le
poste	NOM	poste
,	PUN	,
partenaire	NOM	partenaire
de	PRP	de
l'	DET:ART	le
événement	NOM	événement
.	SENT	.
claude	NOM	claude
tuzet	NOM	tuzet
,	PUN	,
responsable	ADJ	responsable
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
à	PRP	à
la	DET:ART	le
poste	NOM	poste
,	PUN	,
a	VER:pres	avoir
réceptionné	VER:pper	réceptionner
les	DET:ART	le
dons	NOM	don
en	PRP	en
rappelant	VER:ppre	rappeler
que	KON	que
c'	PRO:DEM	ce
était	VER:impf	être
«	PUN:cit	«
les	DET:ART	le
enfants	NOM	enfant
qui	PRO:REL	qui
faisaient	VER:impf	faire
le	DET:ART	le
succès	NOM	succès
de	PRP	de
cette	PRO:DEM	ce
action	NOM	action
d'	PRP	de
envergure	NOM	envergure
».	VER:subi	».
l'	DET:ART	le
an	NOM	an
dernier	ADJ	dernier
,	PUN	,
333	NUM	@card@
sacs	NOM	sac
de	PRP	de
25	NUM	@card@
kg	ABR	kg
,	PUN	,
soit	KON	soit
41.625	NUM	@card@
,	NOM	,
avaient	VER:impf	avoir
été	VER:pper	être
réunis	VER:pper	réunir
en	PRP	en
haute-saône	NOM	haute-saône
.	SENT	.
passage	NOM	passage
à	PRP	à
l'	DET:ART	le
euro	NAM	euro
oblige	VER:pres	obliger
,	PUN	,
cette	PRO:DEM	ce
collecte	NOM	collecte
avait	VER:impf	avoir
été	VER:pper	être
deux	NUM	deux
fois	NOM	foi|fois
supérieure	ADJ	supérieur
à	PRP	à
celle	PRO:DEM	celui
de	PRP	de
2001	NUM	@card@
en	PRP	en
2003	NUM	@card@
elle	PRO:PER	elle
devrait	VER:cond	devoir
renouer	VER:infi	renouer
avec	PRP	avec
des	PRP:det	du
chiffres	NOM	chiffre
plus	ADV	plus
conformes	ADJ	conforme
aux	PRP:det	au
années	NOM	année
antérieures	ADJ	antérieur
.	SENT	.
les	DET:ART	le
résultats	NOM	résultat
nationaux	ADJ	national
définitifs	ADJ	définitif
de	PRP	de
cette	PRO:DEM	ce
collecte	NOM	collecte
destinée	VER:pper	destiner
aux	PRP:det	au
hôpitaux	NOM	hôpital
de	PRP	de
paris	NOM	pari
et	KON	et
de	PRP	de
france	NOM	france
seront	VER:futu	être
divulgués	VER:pper	divulguer
en	PRP	en
septembre	NOM	septembre
.	SENT	.
