on	PRO:PER	on
a	VER:pres	avoir
déploré	VER:pper	déplorer
deux	NUM	deux
chutes	NOM	chute
sur	PRP	sur
les	DET:ART	le
pistes	NOM	piste
de	PRP	de
ski	NOM	ski
dimanche	NOM	dimanche
matin	NOM	matin
,	PUN	,
l'	DET:ART	le
une	NOM	un
à	PRP	à
métabief	NOM	métabief
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
à	PRP	à
jougne	NOM	jougne
.	SENT	.
deux	NUM	deux
personnes	NOM	personne
tombées	VER:pper	tomber
seules	ADJ	seul
et	KON	et
évacuées	VER:pper	évacuer
sur	PRP	sur
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pontarlier	NOM	pontarlier
par	PRP	par
les	DET:ART	le
pompiers	NOM	pompier
.	SENT	.
