{	NOM	{
nouveaux	ADJ	nouveau
delits	NOM	delits
et	KON	et
sanctions	NOM	sanction
-	PUN	-
racolage	NOM	racolage
passif	ADJ	passif
:	PUN	:
inciter	VER:infi	inciter
publiquement	ADV	publiquement
à	PRP	à
des	PRP:det	du
relations	NOM	relation
sexuelles	ADJ	sexuel
«	PUN:cit	«
par	PRP	par
son	DET:POS	son
attitude	NOM	attitude
,	PUN	,
même	ADV	même
passive	ADJ	passif
»	PUN:cit	»
est	VER:pres	être
passible	ADJ	passible
de	PRP	de
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
et	KON	et
3.750	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
.	SENT	.
la	DET:ART	le
référence	NOM	référence
à	PRP	à
la	DET:ART	le
tenue	NOM	tenue
vestimentaire	ADJ	vestimentaire
a	VER:pres	avoir
été	VER:pper	être
supprimée	VER:pper	supprimer
au	PRP:det	au
sénat	NOM	sénat
.	SENT	.
un	DET:ART	un
amendement	NOM	amendement
de	PRP	de
la	DET:ART	le
commission	NOM	commission
des	PRP:det	du
lois	NOM	loi
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
propose	VER:pres	proposer
de	PRP	de
ramener	VER:infi	ramener
la	DET:ART	le
peine	NOM	peine
de	PRP	de
prison	NOM	prison
à	PRP	à
deux	NUM	deux
mois	NOM	moi|mois
.	SENT	.
un	DET:ART	un
titre	NOM	titre
de	PRP	de
séjour	NOM	séjour
provisoire	ADJ	provisoire
pourra	VER:futu	pouvoir
être	VER:infi	être
accordé	VER:pper	accorder
à	PRP	à
une	DET:ART	un
prostituée	NOM	prostitué
d'	PRP	de
origine	NOM	origine
étrangère	ADJ	étranger
si	KON	si
elle	PRO:PER	elle
porte	VER:pres	porter
plainte	VER:pper	plaindre
contre	PRP	contre
son	DET:POS	son
proxénète	NOM	proxénète
.	SENT	.
-	PUN	-
gens	NOM	gens
du	PRP:det	du
voyage	NOM	voyage
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
fait	NOM	fait
de	PRP	de
s'	PRO:PER	se
installer	VER:infi	installer
en	PRP	en
réunion	NOM	réunion
sur	PRP	sur
ou	KON	ou
dans	PRP	dans
un	DET:ART	un
bien	ADV	bien
immobilier	ADJ	immobilier
appartenant	VER:ppre	appartenir
à	PRP	à
autrui	NOM	autrui
»	PUN:cit	»
est	VER:pres	être
puni	VER:pper	punir
de	PRP	de
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
et	KON	et
3.750	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
.	SENT	.
si	KON	si
cette	PRO:DEM	ce
occupation	NOM	occupation
est	VER:pres	être
effectuée	VER:pper	effectuer
au	PRP:det	au
moyen	NOM	moyen
d'	PRP	de
un	DET:ART	un
véhicule	NOM	véhicule
,	PUN	,
celui-ci	ADJ	celui-ci
pourra	VER:futu	pouvoir
être	VER:infi	être
saisi	VER:pper	saisir
.	SENT	.
-	PUN	-
halls	NOM	hall
d'	PRP	de
immeubles	NOM	immeuble
:	PUN	:
«	PUN:cit	«
entraver	VER:infi	entraver
la	DET:ART	le
libre	ADJ	libre
circulation	NOM	circulation
des	PRP:det	du
personnes	NOM	personne
»	PUN:cit	»
dans	PRP	dans
les	DET:ART	le
cages	NOM	cage
d'	PRP	de
escalier	NOM	escalier
ou	KON	ou
les	DET:ART	le
parties	ADJ	parti
communes	NOM	commune
d'	PRP	de
immeubles	NOM	immeuble
devient	VER:pres	devenir
passible	ADJ	passible
de	PRP	de
deux	NUM	deux
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
et	KON	et
3.750	NUM	@card@
euros	NOM	euro
