hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
contrôle	NOM	contrôle
de	PRP	de
dépistage	NOM	dépistage
d'	PRP	de
alcoolémie	NOM	alcoolémie
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
au	PRP:det	au
carrefour	NOM	carrefour
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
à	PRP	à
saint-maurice-sur-moselle	NOM	saint-maurice-sur-moselle
.	SENT	.
sous	PRP	sous
la	DET:ART	le
direction	NOM	direction
de	PRP	de
l'	DET:ART	le
adjudant	NOM	adjudant
schupp	NOM	schupp
,	PUN	,
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
gendarmes	NOM	gendarme
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
cette	PRO:DEM	ce
opération	NOM	opération
,	PUN	,
sur	PRP	sur
réquisition	NOM	réquisition
du	PRP:det	du
procureur	NOM	procureur
.	SENT	.
quatre	NUM	quatre
cents	NOM	cent
dépistages	NOM	dépistage
ont	VER:pres	avoir
été	VER:pper	être
effectués	VER:pper	effectuer
,	PUN	,
un	DET:ART	un
seul	NOM	seul
se	PRO:PER	se
révélant	VER:ppre	révéler
positif	ADJ	positif
,	PUN	,
avec	PRP	avec
un	DET:ART	un
taux	NOM	tau|taux
de	PRP	de
0.82	NUM	@card@
g/l	NOM	g/l
de	PRP	de
sang	NOM	sang
.	SENT	.
