lors	ADV	lors
de	PRP	de
la	DET:ART	le
rencontre	NOM	rencontre
de	PRP	de
championnat	NOM	championnat
entre	PRP	entre
les	DET:ART	le
équipes	NOM	équipe
de	PRP	de
tennis	NOM	tennis
de	PRP	de
scey-sur-saône	NOM	scey-sur-saône
et	KON	et
de	PRP	de
l'	DET:ART	le
as	NOM	as
dampierre-savoyeux	ADJ	dampierre-savoyeux
2	NUM	@card@
les	DET:ART	le
tennismen	NOM	tennismen
locaux	ADJ	local
ont	VER:pres	avoir
réalisé	VER:pper	réaliser
deux	NUM	deux
«	PUN:cit	«
perfs	NOM	perfs
»	PUN:cit	»
pour	PRP	pour
l'	PRO:PER	la|le
emporter	VER:infi	emporter
.	SENT	.
si	KON	si
les	DET:ART	le
victoires	NOM	victoire
de	PRP	de
florian	NOM	florian
pothiat	ADJ	pothiat
et	KON	et
laurent	VER:pres	laurer
castillo	NOM	castillo
ont	VER:pres	avoir
été	VER:pper	être
relativement	ADV	relativement
aisées	ADJ	aisé
,	PUN	,
emmanuel	ADJ	emmanuel
méréo	NOM	méréo
a	VER:pres	avoir
dû	VER:pper	devoir
aller	VER:infi	aller
très	ADV	très
loin	ADV	loin
pour	PRP	pour
remporter	VER:infi	remporter
son	DET:POS	son
match	NOM	match
et	KON	et
disputer	VER:infi	disputer
trois	NUM	trois
sets	NOM	set
.	SENT	.
florian	ADJ	florian
pothiat	NOM	pothiat
(	PUN	(
30	NUM	@card@
/	PUN	/
4	NUM	@card@
)	PUN	)
bat	VER:pres	battre
patrick	NOM	patrick
belmouri	ADJ	belmouri
(	PUN	(
nc	NOM	nc
),	NOM	),
6	NUM	@card@
/	PUN	/
0	NUM	@card@
6	NUM	@card@
/	PUN	/
0	NUM	@card@
laurent	VER:pres	laurer
castillo	NOM	castillo
(	PUN	(
30	NUM	@card@
/	PUN	/
4	NUM	@card@
)	PUN	)
bat	VER:pres	battre
florent	ADJ	florent
belmouri	NOM	belmouri
(	PUN	(
30	NUM	@card@
/	PUN	/
3	NUM	@card@
),	ABR	),
6	NUM	@card@
/	PUN	/
2	NUM	@card@
6	NUM	@card@
/	PUN	/
0	NUM	@card@
emmanuel	ADJ	emmanuel
méréo	NOM	méréo
(	PUN	(
30	NUM	@card@
/	PUN	/
1	NUM	@card@
)	PUN	)
bat	VER:pres	battre
eric	ADJ	eric
boudot	NOM	boudot
(	PUN	(
15	NUM	@card@
/	PUN	/
5	NUM	@card@
),	ABR	),
6	NUM	@card@
/	PUN	/
1	NUM	@card@
2	NUM	@card@
/	PUN	/
6	NUM	@card@
6	NUM	@card@
/	PUN	/
4	NUM	@card@
dans	PRP	dans
le	DET:ART	le
double	NOM	double
,	PUN	,
la	DET:ART	le
pression	NOM	pression
était	VER:impf	être
tombée	VER:pper	tomber
et	KON	et
ce	PRO:DEM	ce
fut	VER:simp	être
une	DET:ART	un
rencontre	NOM	rencontre
très	ADV	très
disputée	VER:pper	disputer
dans	PRP	dans
un	DET:ART	un
climat	NOM	climat
amical	ADJ	amical
.	SENT	.
la	DET:ART	le
paire	NOM	paire
de	PRP	de
scey-sur-saône	NOM	scey-sur-saône
s'	PRO:PER	se
est	VER:pres	être
imposée	VER:pper	imposer
en	PRP	en
trois	NUM	trois
sets	NOM	set
.	SENT	.
florent	ADJ	florent
belmouri	NOM	belmouri
et	KON	et
eric	NOM	eric
boudot	NOM	boudot
ont	VER:pres	avoir
battu	VER:pper	battre
laurent	VER:pres	laurer
castillo	NOM	castillo
et	KON	et
emmanuel	ADJ	emmanuel
méréo	NOM	méréo
,	PUN	,
6	NUM	@card@
/	PUN	/
4	NUM	@card@
3	NUM	@card@
/	PUN	/
6	NUM	@card@
7	NUM	@card@
/	PUN	/
5	NUM	@card@
