m.	ABR	m.
philippe	ADJ	philippe
jeannin	NOM	jeannin
66	NUM	@card@
rue	NOM	rue
d'	PRP	de
afn	NOM	afn
54300	NUM	@card@
lunéville	NOM	lunéville
.	SENT	.
trois	NUM	trois
terroristes	NOM	terroriste
ont	VER:pres	avoir
été	VER:pper	être
arrêtés	VER:pper	arrêter
en	PRP	en
ile-de-france	NOM	ile-de-france
.	SENT	.
ils	PRO:PER	il
avaient	VER:impf	avoir
beaucoup	ADV	beaucoup
d'	PRP	de
argent	NOM	argent
et	KON	et
on	PRO:PER	on
sait	VER:pres	savoir
qu'	KON	que
ils	PRO:PER	il
voyageaient	VER:impf	voyager
beaucoup	ADV	beaucoup
(	PUN	(
afghanistan	NAM	Afghanistan
,	PUN	,
tchétchénie	NOM	tchétchénie
..).	VER:pper	..).
rien	ADV	rien
de	PRP	de
nouveau	ADJ	nouveau
.	SENT	.
le	DET:ART	le
terrorisme	NOM	terrorisme
est	VER:pres	être
une	DET:ART	un
activité	NOM	activité
coûteuse	ADJ	coûteux
,	PUN	,
qui	PRO:REL	qui
prend	VER:pres	prendre
du	PRP:det	du
temps	NOM	temps
et	KON	et
de	PRP	de
l'	DET:ART	le
énergie	NOM	énergie
.	SENT	.
ces	PRO:DEM	ce
gens	NOM	gens
venaient	VER:impf	venir
de	PRP	de
pays	NOM	pays
d'	PRP	de
afrique	NOM	afrique
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
est	VER:pres	être
charitable	ADJ	charitable
de	PRP	de
ne	ADV	ne
pas	ADV	pas
nommer	VER:infi	nommer
mais	KON	mais
qui	PRO:REL	qui
sont	VER:pres	être
des	PRP:det	du
pays	NOM	pays
du	PRP:det	du
tiers	NOM	tiers
monde	ADJ	monde
.	SENT	.
si	KON	si
ces	PRO:DEM	ce
terroristes	NOM	terroriste
utilisaient	VER:impf	utiliser
leur	DET:POS	leur
argent	NOM	argent
et	KON	et
leurs	DET:POS	leur
efforts	NOM	effort
pour	PRP	pour
développer	VER:infi	développer
l'	DET:ART	le
économie	NOM	économie
dans	PRP	dans
ces	PRO:DEM	ce
pays	NOM	pays
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
pratiquer	VER:infi	pratiquer
un	DET:ART	un
fanatisme	NOM	fanatisme
moyenâgeux	ADJ	moyenâgeux
,	PUN	,
ce	PRO:DEM	ce
ne	ADV	ne
serait	VER:cond	être
sûrement	ADV	sûrement
plus	ADV	plus
le	DET:ART	le
tiers	NOM	tiers
monde	ADJ	monde
.	SENT	.
on	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
habitude	NOM	habitude
de	PRP	de
croire	VER:infi	croire
que	KON	que
la	DET:ART	le
pauvreté	NOM	pauvreté
fait	VER:pres	faire
le	DET:ART	le
fanatisme	NOM	fanatisme
mais	KON	mais
l'	DET:ART	le
inverse	NOM	inverse
me	PRO:PER	me
paraît	VER:pres	paraître
tout	ADV	tout
aussi	ADV	aussi
logique	ADJ	logique
,	PUN	,
surtout	ADV	surtout
quand	KON	quand
on	PRO:PER	on
constate	VER:pres	constater
le	DET:ART	le
nombre	NOM	nombre
de	PRP	de
diplômés	NOM	diplômé
parmi	PRP	parmi
ces	PRO:DEM	ce
gens	NOM	gens
.	SENT	.
quel	PRO:REL	quel
gâchis	NOM	gâchis
d'	PRP	de
argent	NOM	argent
et	KON	et
d'	PRP	de
intelligence	NOM	intelligence
acquis	VER:pper	acquérir
à	PRP	à
un	DET:ART	un
nihilisme	NOM	nihilisme
stérile	ADJ	stérile
!	SENT	!
que	KON	que
d'	PRP	de
efforts	NOM	effort
pour	PRP	pour
une	DET:ART	un
utopie	NOM	utopie
rétrograde	ADJ	rétrograde
!	SENT	!
